順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.397296	121.307340	1898.2	gpx		2021-04-03T20:37:21+00:00
2	24.397243	121.307401	1896.0	gpx		2021-04-03T20:37:42+00:00
3	24.397238	121.306910	1900.7	gpx		2021-04-03T20:37:53+00:00
4	24.397269	121.307483	1896.3	gpx		2021-04-03T20:38:33+00:00
5	24.397265	121.307276	1895.4	gpx		2021-04-03T20:40:40+00:00
6	24.396968	121.307543	1896.0	gpx		2021-04-03T20:41:09+00:00
7(路標指示 0 k 起點)	24.397000	121.307700	1400.0	comm	路標指示 0 k 起點	2021-04-03T20:41:19.240223838+00:00
8	24.397091	121.307663	1895.7	gpx		2021-04-03T20:41:20+00:00
9	24.397297	121.307085	1896.4	gpx		2021-04-03T20:41:50+00:00
10	24.397092	121.307478	1897.4	gpx		2021-04-03T20:42:22+00:00
11	24.397341	121.307278	1896.1	gpx		2021-04-03T20:42:45+00:00
12	24.397155	121.307360	1897.8	gpx		2021-04-03T20:43:40+00:00
13	24.397290	121.307125	1895.8	gpx		2021-04-03T20:44:46+00:00
14	24.397112	121.307325	1896.4	gpx		2021-04-03T20:45:16+00:00
15	24.397198	121.307331	1896.3	gpx		2021-04-03T20:45:41+00:00
16	24.397102	121.307162	1897.5	gpx		2021-04-03T20:46:19+00:00
17	24.397016	121.307244	1898.3	gpx		2021-04-03T20:46:23+00:00
18	24.397167	121.307239	1900.2	gpx		2021-04-03T20:47:13+00:00
19	24.396866	121.307353	1897.7	gpx		2021-04-03T20:48:25+00:00
20	24.397042	121.307933	1891.7	gpx		2021-04-03T20:50:31+00:00
21	24.397378	121.307938	1888.2	gpx		2021-04-03T20:51:07+00:00
22	24.397715	121.307768	1890.9	gpx		2021-04-03T20:51:32+00:00
23	24.398038	121.307902	1896.1	gpx		2021-04-03T20:52:03+00:00
24	24.398906	121.308181	1906.9	gpx		2021-04-03T20:53:35+00:00
25(路標指示 0.5 k)	24.398900	121.308300	1450.0	comm	路標指示 0.5 k	2021-04-03T20:53:35+00:00
26	24.399155	121.308336	1911.0	gpx		2021-04-03T20:53:59+00:00
27	24.399739	121.307743	1921.8	gpx		2021-04-03T20:55:05+00:00
28	24.400577	121.307372	1926.2	gpx		2021-04-03T20:56:35+00:00
29	24.401408	121.306965	1944.2	gpx		2021-04-03T20:58:07+00:00
30	24.401958	121.306846	1944.0	gpx		2021-04-03T20:59:03+00:00
31	24.402334	121.306997	1956.3	gpx		2021-04-03T20:59:39+00:00
32	24.403235	121.307151	1964.5	gpx		2021-04-03T21:01:10+00:00
33	24.404138	121.307293	1972.2	gpx		2021-04-03T21:02:39+00:00
34	24.405042	121.307550	1982.8	gpx		2021-04-03T21:04:07+00:00
35	24.405129	121.307518	1987.9	gpx		2021-04-03T21:09:14+00:00
36	24.405030	121.307652	1983.3	gpx		2021-04-03T21:10:06+00:00
37	24.405197	121.307634	1981.1	gpx		2021-04-03T21:10:22+00:00
38	24.405252	121.307472	1983.8	gpx		2021-04-03T21:10:41+00:00
39	24.404991	121.307204	1993.1	gpx		2021-04-03T21:11:14+00:00
40	24.404276	121.306989	1991.4	gpx		2021-04-03T21:12:21+00:00
41	24.404095	121.307019	1994.1	gpx		2021-04-03T21:12:41+00:00
42	24.403456	121.306567	1997.2	gpx		2021-04-03T21:13:50+00:00
43	24.402881	121.306173	1998.0	gpx		2021-04-03T21:14:51+00:00
44	24.402929	121.306080	1996.9	gpx		2021-04-03T21:14:58+00:00
45	24.403374	121.306206	2008.7	gpx		2021-04-03T21:15:44+00:00
46	24.403925	121.305693	2026.5	gpx		2021-04-03T21:17:10+00:00
47	24.404342	121.304806	2039.2	gpx		2021-04-03T21:18:35+00:00
48	24.404423	121.304545	2044.6	gpx		2021-04-03T21:18:57+00:00
49	24.404874	121.304002	2058.2	gpx		2021-04-03T21:20:02+00:00
50	24.405450	121.303223	2062.6	gpx		2021-04-03T21:21:31+00:00
51	24.405742	121.303030	2068.0	gpx		2021-04-03T21:22:03+00:00
52	24.405757	121.302698	2080.6	gpx		2021-04-03T21:22:39+00:00
53	24.405927	121.302704	2077.6	gpx		2021-04-03T21:22:53+00:00
54	24.406049	121.302954	2083.6	gpx		2021-04-03T21:23:11+00:00
55	24.405751	121.303255	2080.5	gpx		2021-04-03T21:23:50+00:00
56	24.405488	121.304220	2088.5	gpx		2021-04-03T21:25:17+00:00
57	24.405016	121.305082	2092.8	gpx		2021-04-03T21:26:42+00:00
58	24.404927	121.305440	2096.9	gpx		2021-04-03T21:27:16+00:00
59	24.405050	121.305760	2092.0	gpx		2021-04-03T21:27:51+00:00
60	24.405192	121.305151	2105.0	gpx		2021-04-03T21:28:53+00:00
61	24.405745	121.304489	2114.0	gpx		2021-04-03T21:30:06+00:00
62	24.406180	121.303608	2117.0	gpx		2021-04-03T21:31:24+00:00
63	24.406346	121.303630	2119.8	gpx		2021-04-03T21:31:40+00:00
64	24.406163	121.303981	2128.2	gpx		2021-04-03T21:32:10+00:00
65	24.406127	121.304595	2135.5	gpx		2021-04-03T21:33:02+00:00
66	24.405906	121.305002	2139.0	gpx		2021-04-03T21:33:43+00:00
67	24.405948	121.305508	2138.0	gpx		2021-04-03T21:34:29+00:00
68	24.406032	121.305142	2145.2	gpx		2021-04-03T21:35:16+00:00
69	24.406814	121.303938	2164.1	gpx		2021-04-03T21:39:56+00:00
70	24.407131	121.303803	2170.9	gpx		2021-04-03T21:40:27+00:00
71	24.406802	121.304252	2174.0	gpx		2021-04-03T21:41:15+00:00
72	24.406767	121.304933	2184.5	gpx		2021-04-03T21:42:11+00:00
73	24.406819	121.305465	2182.7	gpx		2021-04-03T21:42:56+00:00
74	24.406959	121.305567	2180.6	gpx		2021-04-03T21:43:14+00:00
75	24.406993	121.304958	2194.7	gpx		2021-04-03T21:44:15+00:00
76	24.407490	121.304476	2208.4	gpx		2021-04-03T21:45:19+00:00
77	24.407590	121.304689	2215.2	gpx		2021-04-03T21:45:44+00:00
78	24.407320	121.304996	2209.4	gpx		2021-04-03T21:46:27+00:00
79	24.407464	121.305072	2212.2	gpx		2021-04-03T21:47:01+00:00
80	24.407679	121.304938	2215.6	gpx		2021-04-03T21:47:39+00:00
81	24.407864	121.304878	2216.8	gpx		2021-04-03T21:48:00+00:00
82	24.407991	121.304560	2224.5	gpx		2021-04-03T21:49:01+00:00
83(池有品田 0 k)	24.408000	121.304500	2200.0	comm	池有品田 0 k	2021-04-03T21:49:01+00:00
84	24.408042	121.304584	2221.6	gpx		2021-04-03T22:04:02+00:00
85	24.408346	121.303655	2251.5	gpx		2021-04-03T22:07:21+00:00
86	24.408636	121.303333	2272.7	gpx		2021-04-03T22:09:21+00:00
