順序	緯度	經度	海拔（約）	類型	名稱
1	22.615088	120.702209	1202	gpx	N/A
2	22.614958	120.701885	1203.7	gpx	N/A
3	22.615205	120.701695	1236	gpx	N/A
4	22.615405	120.701642	1247.5	gpx	N/A
5	22.615677	120.701779	1253.6	gpx	N/A
6	22.615880	120.701480	1253.7	gpx	N/A
7	22.616116	120.701584	1253.9	gpx	N/A
8	22.616251	120.701439	1254	gpx	N/A
9	22.616275	120.701188	1254.1	gpx	N/A
10	22.616550	120.701017	1301	gpx	N/A
11	22.616439	120.700561	1281.3	gpx	N/A
12	22.616764	120.700355	1284.4	gpx	N/A
13	22.617318	120.700609	1286.9	gpx	N/A
14	22.618166	120.701233	1295.1	gpx	N/A
15	22.619461	120.701734	1309.4	gpx	N/A
16	22.619619	120.701982	1312.4	gpx	N/A
17	22.619485	120.701458	1315.7	gpx	N/A
18	22.620426	120.701896	1344.7	gpx	N/A
19	22.620730	120.702303	1360.9	gpx	N/A
20	22.620792	120.702620	1376	gpx	N/A
21	22.621032	120.702676	1387	gpx	N/A
22	22.621214	120.702556	1397.3	gpx	N/A
23	22.621729	120.702874	1415.5	gpx	N/A
24	22.622546	120.705485	1434.2	gpx	N/A
25	22.623720	120.706189	1433.9	gpx	N/A
26	22.623856	120.706697	1436.1	gpx	N/A
27	22.624200	120.707074	1437.6	gpx	N/A
28	22.624323	120.707581	1438	gpx	N/A
29	22.624844	120.707748	1440.2	gpx	N/A
30	22.624675	120.708718	1449.2	gpx	N/A
31	22.624932	120.709112	1460.6	gpx	N/A
32	22.624794	120.710199	1477.9	gpx	N/A
33	22.624925	120.710606	1484.9	gpx	N/A
34	22.623903	120.711130	1488.9	gpx	N/A
35	22.624322	120.711856	1487.3	gpx	N/A
36	22.623795	120.712828	1491	gpx	N/A
37	22.623984	120.713167	1492.8	gpx	N/A
38	22.623957	120.713540	1494.4	gpx	N/A
39	22.624145	120.713690	1495.3	gpx	N/A
40	22.624361	120.714203	1497.5	gpx	N/A
41	22.624500	120.714500	1497.5	comm	comm
42	22.624406	120.714921	1498	gpx	N/A
43	22.624693	120.715078	1498	gpx	N/A
44	22.624550	120.715505	1499.2	gpx	N/A
45	22.624323	120.715595	1500.9	gpx	N/A
46	22.624235	120.715995	1505.6	gpx	N/A
47	22.624406	120.716172	1508.7	gpx	N/A
48	22.624397	120.716434	1512.8	gpx	N/A
49	22.623824	120.717122	1533.4	gpx	N/A
50	22.623446	120.717382	1544.8	gpx	N/A
51	22.623467	120.717730	1552.4	gpx	N/A
52	22.622927	120.718777	1594.8	gpx	N/A
53	22.621794	120.719720	1604.1	gpx	N/A
54	22.620767	120.719769	1591.7	gpx	N/A
55	22.620363	120.719953	1579	gpx	N/A
56	22.620062	120.719868	1570.2	gpx	N/A
57	22.619715	120.720103	1561.4	gpx	N/A
58	22.618615	120.721561	1561.7	gpx	N/A
59	22.618130	120.721843	1561.9	gpx	N/A
60	22.617746	120.722332	1569	gpx	N/A
61	22.617414	120.723169	1591.7	gpx	N/A
62	22.616765	120.724182	1626.1	gpx	N/A
63	22.615768	120.724745	1636	gpx	N/A
64	22.615667	120.724922	1642.3	gpx	N/A
65	22.615142	120.724867	1653.9	gpx	N/A
66	22.615101	120.724985	1656.4	gpx	N/A
67	22.615294	120.725274	1663.7	gpx	N/A
68	22.615803	120.725402	1671.9	gpx	N/A
69	22.615998	120.725581	1673.9	gpx	N/A
70	22.616233	120.725996	1677.2	gpx	N/A
71	22.616233	120.726336	1679.2	gpx	N/A
72	22.616350	120.726560	1679.2	comm	comm
73	22.616565	120.726885	1695.9	gpx	N/A
74	22.616550	120.727080	1706.8	gpx	N/A
75	22.616889	120.727424	1735.9	gpx	N/A
76	22.616964	120.727771	1752.3	gpx	N/A
77	22.617617	120.728680	1786.5	gpx	N/A
78	22.617977	120.730038	1772	gpx	N/A
79	22.617642	120.731872	1768.2	gpx	N/A
80	22.617168	120.732803	1770.7	gpx	N/A
81	22.616526	120.733148	1775.5	gpx	N/A
82	22.616358	120.733832	1781.2	gpx	N/A
83	22.616428	120.734366	1789	gpx	N/A
84	22.615731	120.735039	1810.2	gpx	N/A
85	22.615790	120.735780	1840.2	gpx	N/A
86	22.615669	120.736270	1864.2	gpx	N/A
87	22.615826	120.736583	1885.9	gpx	N/A
88	22.615669	120.736583	1890	gpx	N/A
89	22.615606	120.736769	1896.8	gpx	N/A
90	22.615652	120.737114	1905.3	gpx	N/A
91	22.615325	120.737049	1913.3	gpx	N/A
92	22.615239	120.737131	1918.3	gpx	N/A
93	22.615348	120.737370	1927.6	gpx	N/A
94	22.615177	120.737470	1933.3	gpx	N/A
95	22.615205	120.737965	1940.7	gpx	N/A
96	22.614807	120.738215	1947.5	gpx	N/A
97	22.614941	120.738351	1950.8	gpx	N/A
98	22.614652	120.738955	1987.4	gpx	N/A
99	22.614597	120.739715	2000.3	gpx	N/A
100	22.614665	120.740254	2008.6	gpx	N/A
101	22.615116	120.741212	2052.7	gpx	N/A
102	22.615284	120.742200	2103.9	comm	cabin
103	22.615284	120.742200	2103.9	gpx	N/A
104	22.615284	120.742200	2139.5	gpx	N/A
105	22.615116	120.741212	2125.2	gpx	N/A
106	22.614665	120.740254	2112.3	gpx	N/A
107	22.614658	120.741309	2095.3	gpx	N/A
108	22.614431	120.741522	2098.5	gpx	N/A
109	22.614531	120.742248	2128.4	gpx	N/A
110	22.613680	120.742493	2185.1	gpx	N/A
111	22.613673	120.742893	2201.3	gpx	N/A
112	22.613325	120.742896	2213.7	gpx	N/A
113	22.613059	120.743093	2223.7	gpx	N/A
114	22.613034	120.743446	2232.1	gpx	N/A
115	22.612669	120.743643	2240.9	gpx	N/A
116	22.612530	120.743887	2247.4	gpx	N/A
117	22.612393	120.744282	2260.7	gpx	N/A
118	22.612439	120.745151	2287.7	gpx	N/A
119	22.612654	120.745494	2310	gpx	N/A
120	22.612499	120.746042	2333.3	gpx	N/A
121	22.613635	120.747171	2402	gpx	N/A
122	22.614277	120.747492	2433	gpx	N/A
123	22.614250	120.747800	2451.571294386407	comm	comm
124	22.614314	120.747843	2454.2	gpx	N/A
125	22.614767	120.748047	2476.1	gpx	N/A
126	22.614784	120.748346	2484.3	gpx	N/A
127	22.615110	120.748611	2491.7	gpx	N/A
128	22.615073	120.748970	2497.1	gpx	N/A
129	22.614785	120.748771	2500.4	gpx	N/A
130	22.614586	120.749825	2520	gpx	N/A
131	22.614877	120.750921	2550.5	gpx	N/A
132	22.614901	120.751543	2575.8	gpx	N/A
133	22.615300	120.751919	2602	gpx	N/A
134	22.616176	120.752076	2668	gpx	N/A
135	22.616698	120.752627	2708.6	gpx	N/A
136	22.617110	120.752630	2728.6	gpx	N/A
137	22.617861	120.752316	2749.8	gpx	N/A
138	22.617325	120.753359	2766.6	gpx	N/A
139	22.617304	120.753444	2768.6	gpx	N/A
140	22.617613	120.753307	2774.1	gpx	N/A
141	22.617656	120.753385	2777.8	gpx	N/A
142	22.617538	120.753677	N/A	gpx	N/A
143	22.617681	120.753666	N/A	gpx	N/A
144	22.617536	120.753939	2796.5	gpx	N/A
145	22.617289	120.754112	2806	gpx	N/A
146	22.617398	120.754261	2809.2	gpx	N/A
147	22.617181	120.754339	2817.1	gpx	N/A
148	22.616816	120.754109	2824.9	gpx	N/A
149	22.616270	120.754321	2833.9	gpx	N/A
150	22.617211	120.754759	2838.5	gpx	N/A
151	22.617915	120.755217	2852.6	gpx	N/A
152	22.618087	120.755504	2857.6	gpx	N/A
153	22.617997	120.755300	2860.8	gpx	N/A
154	22.619105	120.756017	2877.7	gpx	N/A
155	22.620253	120.756514	2909.1	gpx	N/A
156	22.620517	120.756888	2921.2	gpx	N/A
157	22.621481	120.757019	2945.8	gpx	N/A
158	22.622206	120.757289	2942.3	gpx	N/A
159	22.623093	120.757846	2933.5	gpx	N/A
160	22.624196	120.759212	2934.1	gpx	N/A
161	22.624434	120.759903	2937.6	gpx	N/A
162	22.625831	120.760781	2958.3	gpx	N/A
163	22.627070	120.761374	3000.7	gpx	N/A
164	22.627070	120.761374	3000.7	comm	peak
