順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.263931	120.960866	2737.2	gpx		2022-08-27T23:30:37+00:00
2	23.263977	120.960819	2739.9	gpx		2022-08-27T23:30:47+00:00
3	23.264041	120.960814	2740.9	gpx		2022-08-27T23:30:57+00:00
4	23.264114	120.960852	2740.4	gpx		2022-08-27T23:31:07+00:00
5	23.264156	120.960903	2738.1	gpx		2022-08-27T23:31:17+00:00
6	23.264187	120.960945	2739.4	gpx		2022-08-27T23:31:27+00:00
7	23.264222	120.961000	2738.6	gpx		2022-08-27T23:31:37+00:00
8	23.264294	120.961084	2738.0	gpx		2022-08-27T23:31:47+00:00
9	23.264364	120.961132	2738.9	gpx		2022-08-27T23:31:57+00:00
10(start)	23.264190	120.961460	2739.5	comm	start	2022-08-27T23:32:07+00:00
11	23.264398	120.961160	2739.5	gpx		2022-08-27T23:32:07+00:00
12	23.264457	120.961132	2742.8	gpx		2022-08-27T23:32:17+00:00
13	23.264483	120.961107	2745.6	gpx		2022-08-27T23:32:27+00:00
14	23.264483	120.961072	2747.3	gpx		2022-08-27T23:32:37+00:00
15	23.264507	120.961059	2750.3	gpx		2022-08-27T23:32:47+00:00
16	23.264527	120.961026	2750.3	gpx		2022-08-27T23:32:57+00:00
17	23.264590	120.960942	2752.7	gpx		2022-08-27T23:33:47+00:00
18	23.264658	120.960851	2762.2	gpx		2022-08-27T23:34:27+00:00
19	23.264644	120.960809	2764.8	gpx		2022-08-27T23:34:37+00:00
20	23.264609	120.960786	2766.6	gpx		2022-08-27T23:34:47+00:00
21	23.264556	120.960760	2768.4	gpx		2022-08-27T23:34:57+00:00
22	23.264557	120.960716	2771.1	gpx		2022-08-27T23:35:07+00:00
23	23.264598	120.960685	2773.1	gpx		2022-08-27T23:35:17+00:00
24	23.264616	120.960655	2775.2	gpx		2022-08-27T23:35:27+00:00
25	23.264639	120.960635	2776.1	gpx		2022-08-27T23:35:37+00:00
26	23.264683	120.960561	2777.6	gpx		2022-08-27T23:36:27+00:00
27	23.264747	120.960377	2787.9	gpx		2022-08-27T23:37:47+00:00
28	23.264725	120.960279	2796.4	gpx		2022-08-27T23:38:27+00:00
29	23.264699	120.960263	2798.3	gpx		2022-08-27T23:38:37+00:00
30	23.264679	120.960238	2799.8	gpx		2022-08-27T23:38:47+00:00
31	23.264707	120.960198	2801.0	gpx		2022-08-27T23:38:57+00:00
32	23.264734	120.960168	2801.7	gpx		2022-08-27T23:39:07+00:00
33	23.264758	120.960100	2803.1	gpx		2022-08-27T23:40:07+00:00
34	23.264736	120.960027	2811.3	gpx		2022-08-27T23:40:57+00:00
35	23.264698	120.960011	2814.1	gpx		2022-08-27T23:41:07+00:00
36	23.264679	120.959980	2815.4	gpx		2022-08-27T23:41:17+00:00
37	23.264652	120.959961	2817.4	gpx		2022-08-27T23:41:27+00:00
38	23.264667	120.959908	2819.8	gpx		2022-08-27T23:41:37+00:00
39	23.264765	120.959728	2822.0	gpx		2022-08-27T23:44:47+00:00
40	23.264718	120.959541	2837.3	gpx		2022-08-27T23:48:17+00:00
41	23.264715	120.959424	2850.0	gpx		2022-08-27T23:48:57+00:00
42	23.264728	120.959392	2851.0	gpx		2022-08-27T23:49:07+00:00
