順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.475540	120.903025	2645.9	gpx		2020-10-31T00:10:39+00:00
2	23.475492	120.903159	2648.3	gpx		2020-10-31T00:11:46+00:00
3	23.475411	120.903251	2646.9	gpx		2020-10-31T00:12:00+00:00
4	23.475345	120.903366	2649.0	gpx		2020-10-31T00:12:59+00:00
5	23.475263	120.903460	2647.9	gpx		2020-10-31T00:13:11+00:00
6	23.475171	120.903538	2646.7	gpx		2020-10-31T00:13:24+00:00
7	23.475091	120.903628	2648.6	gpx		2020-10-31T00:13:35+00:00
8	23.474974	120.903676	2650.8	gpx		2020-10-31T00:13:50+00:00
9	23.474920	120.903773	2649.6	gpx		2020-10-31T00:13:59+00:00
10	23.474797	120.903893	2648.5	gpx		2020-10-31T00:14:14+00:00
11	23.474746	120.904005	2651.5	gpx		2020-10-31T00:14:47+00:00
12	23.474652	120.904074	2653.1	gpx		2020-10-31T00:15:12+00:00
13	23.474550	120.904148	2653.2	gpx		2020-10-31T00:15:36+00:00
14	23.474455	120.904219	2657.9	gpx		2020-10-31T00:16:00+00:00
15	23.474377	120.904309	2657.1	gpx		2020-10-31T00:16:13+00:00
16	23.474313	120.904425	2658.3	gpx		2020-10-31T00:16:24+00:00
17	23.474262	120.904432	2657.7	gpx		2020-10-31T00:16:48+00:00
18	23.474212	120.904549	2657.3	gpx		2020-10-31T00:17:16+00:00
19	23.474147	120.904676	2658.3	gpx		2020-10-31T00:17:35+00:00
20	23.474083	120.904795	2661.6	gpx		2020-10-31T00:17:49+00:00
21	23.473986	120.904877	2663.1	gpx		2020-10-31T00:18:02+00:00
22	23.473889	120.904971	2664.7	gpx		2020-10-31T00:18:24+00:00
23	23.473777	120.904984	2664.8	gpx		2020-10-31T00:18:45+00:00
24	23.473706	120.905088	2661.1	gpx		2020-10-31T00:19:54+00:00
25	23.473658	120.905171	2660.4	gpx		2020-10-31T00:20:09+00:00
26	23.473573	120.905271	2664.4	gpx		2020-10-31T00:20:27+00:00
27	23.473473	120.905332	2665.7	gpx		2020-10-31T00:20:44+00:00
28	23.473407	120.905433	2665.2	gpx		2020-10-31T00:21:12+00:00
29	23.473339	120.905551	2668.5	gpx		2020-10-31T00:21:49+00:00
30	23.473450	120.905481	2671.6	gpx		2020-10-31T00:22:09+00:00
31	23.473437	120.905607	2676.3	gpx		2020-10-31T00:24:58+00:00
32	23.473549	120.905667	2675.3	gpx		2020-10-31T00:25:40+00:00
33	23.473593	120.905552	2683.6	gpx		2020-10-31T00:26:30+00:00
34	23.473670	120.905453	2683.0	gpx		2020-10-31T00:31:05+00:00
35	23.473770	120.905388	2688.1	gpx		2020-10-31T00:33:04+00:00
36	23.473896	120.905394	2692.2	gpx		2020-10-31T00:34:22+00:00
37	23.474010	120.905358	2696.8	gpx		2020-10-31T00:34:47+00:00
38	23.473925	120.905458	2704.3	gpx		2020-10-31T00:37:26+00:00
39	23.473836	120.905539	2702.7	gpx		2020-10-31T00:37:48+00:00
40	23.473793	120.905657	2706.9	gpx		2020-10-31T00:38:45+00:00
41	23.473772	120.905848	2702.8	gpx		2020-10-31T00:39:23+00:00
42	23.473665	120.905910	2716.3	gpx		2020-10-31T00:41:21+00:00
43	23.473613	120.906024	2713.7	gpx		2020-10-31T00:41:48+00:00
44	23.473714	120.905965	2719.1	gpx		2020-10-31T00:43:01+00:00
45	23.473802	120.905888	2723.8	gpx		2020-10-31T00:43:35+00:00
46	23.473912	120.905832	2724.6	gpx		2020-10-31T00:47:03+00:00
47	23.474014	120.905776	2724.9	gpx		2020-10-31T00:47:15+00:00
48	23.474115	120.905719	2729.1	gpx		2020-10-31T00:47:38+00:00
49	23.474236	120.905714	2735.3	gpx		2020-10-31T00:48:39+00:00
50	23.474348	120.905674	2737.3	gpx		2020-10-31T00:49:01+00:00
51	23.474449	120.905616	2744.3	gpx		2020-10-31T00:50:07+00:00
52	23.474369	120.905704	2744.7	gpx		2020-10-31T00:50:44+00:00
53	23.474281	120.905798	2746.4	gpx		2020-10-31T00:52:11+00:00
54	23.474170	120.905851	2746.8	gpx		2020-10-31T00:52:32+00:00
55	23.474103	120.905950	2746.6	gpx		2020-10-31T00:53:24+00:00
56	23.474090	120.906017	2746.4	gpx		2020-10-31T00:55:01+00:00
57	23.474000	120.906091	2751.0	gpx		2020-10-31T00:55:55+00:00
58	23.473923	120.906203	2753.5	gpx		2020-10-31T00:57:34+00:00
59	23.473866	120.906312	2760.5	gpx		2020-10-31T00:57:57+00:00
60	23.473816	120.906422	2765.1	gpx		2020-10-31T00:59:01+00:00
61	23.473763	120.906546	2768.0	gpx		2020-10-31T00:59:28+00:00
62	23.473716	120.906658	2768.9	gpx		2020-10-31T01:00:32+00:00
63	23.473643	120.906771	2771.0	gpx		2020-10-31T01:00:52+00:00
64	23.473587	120.906858	2770.0	gpx		2020-10-31T01:01:06+00:00
65	23.473521	120.906971	2772.8	gpx		2020-10-31T01:01:16+00:00
66	23.473463	120.907080	2776.2	gpx		2020-10-31T01:01:28+00:00
67	23.473374	120.907168	2775.5	gpx		2020-10-31T01:01:41+00:00
68	23.473275	120.907231	2772.9	gpx		2020-10-31T01:04:14+00:00
69	23.473190	120.907327	2773.7	gpx		2020-10-31T01:04:37+00:00
70	23.473158	120.907451	2777.2	gpx		2020-10-31T01:05:48+00:00
71	23.473271	120.907489	2788.8	gpx		2020-10-31T01:07:00+00:00
72	23.473164	120.907543	2797.8	gpx		2020-10-31T01:09:09+00:00
73	23.473274	120.907574	2794.8	gpx		2020-10-31T01:09:32+00:00
74	23.473216	120.907724	2804.6	gpx		2020-10-31T01:12:05+00:00
75	23.473231	120.907749	2805.4	gpx		2020-10-31T01:12:09+00:00
76	23.473215	120.907878	2803.4	gpx		2020-10-31T01:13:02+00:00
77	23.473156	120.907988	2805.7	gpx		2020-10-31T01:13:34+00:00
78	23.473195	120.908115	2808.0	gpx		2020-10-31T01:14:29+00:00
79	23.473196	120.908250	2804.6	gpx		2020-10-31T01:14:44+00:00
80	23.473120	120.908358	2804.1	gpx		2020-10-31T01:14:57+00:00
81	23.473083	120.908478	2801.9	gpx		2020-10-31T01:15:10+00:00
82	23.473045	120.908607	2798.9	gpx		2020-10-31T01:15:33+00:00
83	23.472988	120.908721	2796.3	gpx		2020-10-31T01:15:45+00:00
84	23.472909	120.908831	2796.5	gpx		2020-10-31T01:15:56+00:00
85	23.472822	120.908945	2794.3	gpx		2020-10-31T01:16:19+00:00
86	23.472744	120.909039	2793.3	gpx		2020-10-31T01:16:31+00:00
87	23.472703	120.909166	2789.6	gpx		2020-10-31T01:16:40+00:00
88	23.472745	120.909290	2788.4	gpx		2020-10-31T01:16:59+00:00
89	23.472716	120.909418	2789.9	gpx		2020-10-31T01:17:44+00:00
90	23.472717	120.909543	2790.0	gpx		2020-10-31T01:17:55+00:00
91	23.472652	120.909629	2791.0	gpx		2020-10-31T01:18:02+00:00
92	23.472591	120.909744	2789.8	gpx		2020-10-31T01:18:08+00:00
93	23.472556	120.909864	2789.5	gpx		2020-10-31T01:18:16+00:00
94	23.472489	120.909965	2790.0	gpx		2020-10-31T01:18:22+00:00
95	23.472415	120.910067	2794.2	gpx		2020-10-31T01:18:29+00:00
96	23.472389	120.910194	2792.7	gpx		2020-10-31T01:18:38+00:00
97	23.472336	120.910314	2794.9	gpx		2020-10-31T01:18:51+00:00
98	23.472271	120.910425	2799.3	gpx		2020-10-31T01:19:10+00:00
99	23.472193	120.910481	2795.5	gpx		2020-10-31T01:19:27+00:00
100	23.472084	120.910521	2797.3	gpx		2020-10-31T01:22:34+00:00
101	23.472002	120.910436	2797.6	gpx		2020-10-31T01:25:38+00:00
102	23.471913	120.910519	2801.0	gpx		2020-10-31T01:26:27+00:00
103	23.471796	120.910540	2801.8	gpx		2020-10-31T01:27:32+00:00
104	23.471679	120.910575	2805.0	gpx		2020-10-31T01:29:37+00:00
105	23.471598	120.910664	2803.5	gpx		2020-10-31T01:29:49+00:00
106	23.471484	120.910645	2801.6	gpx		2020-10-31T01:30:55+00:00
107	23.471364	120.910653	2800.0	gpx		2020-10-31T01:31:36+00:00
108	23.471247	120.910630	2799.9	gpx		2020-10-31T01:31:55+00:00
109	23.471220	120.910626	2800.2	gpx		2020-10-31T01:31:56+00:00
110	23.471306	120.910363	2798.7	gpx		2020-10-31T01:32:00+00:00
111	23.471344	120.910502	2799.0	gpx		2020-10-31T01:32:02+00:00
112	23.471376	120.910624	2798.2	gpx		2020-10-31T01:32:10+00:00
113	23.471461	120.910723	2798.4	gpx		2020-10-31T01:33:36+00:00
114	23.471423	120.910846	2803.5	gpx		2020-10-31T01:35:10+00:00
115	23.471397	120.910971	2804.2	gpx		2020-10-31T01:35:27+00:00
116	23.471338	120.911090	2808.1	gpx		2020-10-31T01:35:44+00:00
117	23.471318	120.911211	2808.1	gpx		2020-10-31T01:35:55+00:00
118	23.471326	120.911345	2808.4	gpx		2020-10-31T01:36:57+00:00
119	23.471284	120.911467	2809.8	gpx		2020-10-31T01:37:11+00:00
120	23.471254	120.911602	2813.6	gpx		2020-10-31T01:37:50+00:00
121	23.471251	120.911609	2813.4	gpx		2020-10-31T01:37:52+00:00
122	23.471131	120.911607	2811.6	gpx		2020-10-31T01:38:14+00:00
123	23.471073	120.911727	2812.7	gpx		2020-10-31T01:38:37+00:00
124	23.470993	120.911818	2809.0	gpx		2020-10-31T01:38:49+00:00
125	23.470977	120.911939	2809.0	gpx		2020-10-31T01:39:03+00:00
126	23.471045	120.912047	2810.7	gpx		2020-10-31T01:41:07+00:00
127	23.471142	120.912113	2814.9	gpx		2020-10-31T01:41:27+00:00
128	23.471190	120.912228	2817.5	gpx		2020-10-31T01:41:41+00:00
129	23.471114	120.912327	2818.2	gpx		2020-10-31T01:42:44+00:00
130	23.471067	120.912450	2817.9	gpx		2020-10-31T01:43:53+00:00
131	23.471068	120.912572	2817.5	gpx		2020-10-31T01:44:41+00:00
132(comm)	23.471090	120.912700	2820.2	comm	comm	2020-10-31T01:46:02.076235351+00:00
133	23.471044	120.912708	2820.4	gpx		2020-10-31T01:46:07+00:00
134	23.470976	120.912806	2821.6	gpx		2020-10-31T01:46:20+00:00
135	23.470898	120.912897	2821.7	gpx		2020-10-31T01:46:31+00:00
136	23.470785	120.912971	2821.0	gpx		2020-10-31T01:47:53+00:00
137	23.470791	120.913096	2820.4	gpx		2020-10-31T01:48:18+00:00
138	23.470788	120.913219	2824.0	gpx		2020-10-31T01:50:22+00:00
139	23.470814	120.913350	2823.7	gpx		2020-10-31T01:50:32+00:00
140	23.470809	120.913476	2825.4	gpx		2020-10-31T01:50:42+00:00
141	23.470777	120.913530	2828.3	gpx		2020-10-31T01:50:46+00:00
142	23.470698	120.913629	2831.5	gpx		2020-10-31T01:50:55+00:00
143	23.470664	120.913750	2831.3	gpx		2020-10-31T01:51:10+00:00
144	23.470529	120.913745	2829.0	gpx		2020-10-31T01:51:30+00:00
145	23.470418	120.913723	2828.9	gpx		2020-10-31T01:52:43+00:00
146	23.470380	120.913843	2831.7	gpx		2020-10-31T01:53:14+00:00
147	23.470385	120.913980	2836.1	gpx		2020-10-31T01:53:58+00:00
148	23.470394	120.914117	2831.2	gpx		2020-10-31T01:54:30+00:00
149	23.470430	120.914239	2836.1	gpx		2020-10-31T01:54:53+00:00
150	23.470466	120.914357	2836.1	gpx		2020-10-31T01:56:15+00:00
151	23.470468	120.914418	2840.6	gpx		2020-10-31T01:56:39+00:00
152	23.470567	120.914491	2841.9	gpx		2020-10-31T01:56:57+00:00
153	23.470656	120.914567	2846.0	gpx		2020-10-31T01:57:15+00:00
154	23.470764	120.914612	2846.9	gpx		2020-10-31T01:57:37+00:00
155	23.470843	120.914719	2848.2	gpx		2020-10-31T01:58:38+00:00
156	23.470844	120.914854	2847.6	gpx		2020-10-31T01:58:55+00:00
157	23.470914	120.914962	2848.8	gpx		2020-10-31T01:59:07+00:00
158	23.471006	120.915036	2850.0	gpx		2020-10-31T01:59:33+00:00
159	23.471039	120.915178	2857.9	gpx		2020-10-31T02:00:32+00:00
160	23.471039	120.915192	2858.2	gpx		2020-10-31T02:00:38+00:00
161	23.470994	120.915074	2852.4	gpx		2020-10-31T02:01:48+00:00
162	23.471117	120.915175	2849.4	gpx		2020-10-31T02:02:04+00:00
163	23.471209	120.915251	2855.4	gpx		2020-10-31T02:02:15+00:00
164	23.471247	120.915411	2861.9	gpx		2020-10-31T02:02:39+00:00
165	23.471235	120.915545	2864.0	gpx		2020-10-31T02:03:27+00:00
166	23.471264	120.915674	2866.5	gpx		2020-10-31T02:04:04+00:00
167	23.471229	120.915805	2865.2	gpx		2020-10-31T02:04:58+00:00
168	23.471168	120.915926	2867.7	gpx		2020-10-31T02:05:08+00:00
169	23.471068	120.915995	2866.2	gpx		2020-10-31T02:05:27+00:00
170	23.470984	120.916081	2858.7	gpx		2020-10-31T02:06:24+00:00
171	23.470936	120.916170	2859.9	gpx		2020-10-31T02:06:34+00:00
172	23.470893	120.916294	2860.5	gpx		2020-10-31T02:06:48+00:00
173	23.470859	120.916419	2861.2	gpx		2020-10-31T02:07:00+00:00
174	23.470801	120.916527	2862.1	gpx		2020-10-31T02:07:11+00:00
