順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.475916	120.899869	2610.9	gpx		2021-09-05T22:00:50+00:00
2	23.475788	120.899952	2603.6	gpx		2021-09-05T22:02:31+00:00
3(start)	23.475793	120.900170	2602.6	comm	start	2021-09-05T22:03:22.557608160+00:00
4	23.475776	120.900379	2601.6	gpx		2021-09-05T22:04:12+00:00
5	23.475979	120.900963	2604.3	gpx		2021-09-05T22:06:43+00:00
6	23.476016	120.901580	2609.4	gpx		2021-09-05T22:09:15+00:00
7	23.475626	120.903109	2633.1	gpx		2021-09-05T22:13:27+00:00
8	23.474472	120.904283	2645.9	gpx		2021-09-05T22:20:11+00:00
9	23.474006	120.904942	2650.6	gpx		2021-09-05T22:23:33+00:00
10	23.473421	120.905413	2659.3	gpx		2021-09-05T22:26:55+00:00
11	23.473509	120.905586	2665.8	gpx		2021-09-05T22:30:17+00:00
12	23.473759	120.905403	2669.8	gpx		2021-09-05T22:32:48+00:00
13	23.473935	120.905421	2671.0	gpx		2021-09-05T22:33:38+00:00
14	23.473691	120.905933	2681.0	gpx		2021-09-05T22:37:51+00:00
15	23.474328	120.905705	2688.3	gpx		2021-09-05T22:42:54+00:00
16	23.473537	120.907138	2720.4	gpx		2021-09-05T22:51:18+00:00
17	23.473197	120.907289	2740.4	gpx		2021-09-05T22:53:50+00:00
18	23.473322	120.907763	2777.9	gpx		2021-09-05T22:59:43+00:00
19	23.473146	120.908110	2795.5	gpx		2021-09-05T23:03:05+00:00
20	23.473104	120.908652	2803.8	gpx		2021-09-05T23:04:46+00:00
21	23.472701	120.909242	2803.8	gpx		2021-09-05T23:07:17+00:00
22	23.472739	120.909532	2802.3	gpx		2021-09-05T23:08:58+00:00
23	23.472323	120.910460	2810.5	gpx		2021-09-05T23:11:11+00:00
24	23.471799	120.910606	2813.3	gpx		2021-09-05T23:14:36+00:00
25	23.471414	120.910982	2816.3	gpx		2021-09-05T23:18:42+00:00
26	23.471310	120.911583	2823.7	gpx		2021-09-05T23:20:04+00:00
27	23.471052	120.911888	2832.1	gpx		2021-09-05T23:22:48+00:00
28	23.471170	120.912355	2844.4	gpx		2021-09-05T23:25:32+00:00
29(comm)	23.471086	120.912690	2849.8	comm	comm	2021-09-05T23:26:48.951440200+00:00
30	23.471042	120.912892	2853.0	gpx		2021-09-05T23:27:35+00:00
31	23.470795	120.913030	2854.1	gpx		2021-09-05T23:28:57+00:00
32	23.470797	120.913629	2849.2	gpx		2021-09-05T23:31:00+00:00
33	23.470662	120.913804	2847.1	gpx		2021-09-05T23:32:22+00:00
34	23.470402	120.913810	2843.6	gpx		2021-09-05T23:33:44+00:00
35	23.470442	120.914431	2843.6	gpx		2021-09-05T23:35:47+00:00
36	23.470762	120.914611	2850.1	gpx		2021-09-05T23:36:28+00:00
37	23.470918	120.915042	2862.0	gpx		2021-09-05T23:37:09+00:00
38	23.471072	120.915081	2868.6	gpx		2021-09-05T23:38:31+00:00
39	23.471246	120.915371	2882.1	gpx		2021-09-05T23:40:34+00:00
40	23.471332	120.915723	2893.0	gpx		2021-09-05T23:41:57+00:00
41	23.470822	120.916418	2902.0	gpx		2021-09-05T23:46:44+00:00
42	23.470681	120.916841	2899.6	gpx		2021-09-05T23:47:25+00:00
43	23.470817	120.917274	2892.9	gpx		2021-09-05T23:49:28+00:00
44	23.470534	120.917722	2882.1	gpx		2021-09-05T23:51:31+00:00
45(comm)	23.470603	120.918010	2816.0	comm	comm	2021-09-05T23:54:29.068328872+00:00
46	23.470477	120.918075	2802.3	gpx		2021-09-05T23:55:06+00:00
47	23.470805	120.918472	2864.5	gpx		2021-09-05T23:57:25+00:00
48	23.471494	120.918755	2875.5	gpx		2021-09-05T23:59:44+00:00
49	23.471631	120.919187	2877.6	gpx		2021-09-06T00:02:03+00:00
50	23.471392	120.919502	2882.4	gpx		2021-09-06T00:03:36+00:00
51	23.471284	120.919965	2885.8	gpx		2021-09-06T00:06:41+00:00
52	23.471294	120.920210	2884.4	gpx		2021-09-06T00:08:14+00:00
53	23.471636	120.920549	2880.4	gpx		2021-09-06T00:11:19+00:00
54	23.471472	120.920637	2878.7	gpx		2021-09-06T00:12:52+00:00
55	23.471457	120.920813	2875.5	gpx		2021-09-06T00:15:11+00:00
56	23.472099	120.921171	2869.7	gpx		2021-09-06T00:19:02+00:00
57	23.472097	120.921453	2867.3	gpx		2021-09-06T00:21:21+00:00
58	23.472512	120.921716	2864.3	gpx		2021-09-06T00:24:27+00:00
59	23.472350	120.921874	2863.0	gpx		2021-09-06T00:27:32+00:00
60	23.472244	120.922390	2867.4	gpx		2021-09-06T00:31:23+00:00
61	23.471504	120.922901	2885.0	gpx		2021-09-06T00:35:15+00:00
62	23.471551	120.923194	2895.8	gpx		2021-09-06T00:36:48+00:00
63	23.471749	120.923423	2902.8	gpx		2021-09-06T00:38:20+00:00
64	23.471618	120.923819	2918.0	gpx		2021-09-06T00:41:26+00:00
65	23.471742	120.924088	2927.7	gpx		2021-09-06T00:44:31+00:00
66	23.471185	120.924247	2935.9	gpx		2021-09-06T00:46:50+00:00
67	23.470921	120.924695	2938.0	gpx		2021-09-06T00:49:09+00:00
68	23.468575	120.925544	2974.0	gpx		2021-09-06T00:58:25+00:00
69	23.467854	120.926436	2956.7	gpx		2021-09-06T01:04:35+00:00
70	23.467168	120.926372	2954.6	gpx		2021-09-06T01:10:00+00:00
71	23.466219	120.927579	2962.9	gpx		2021-09-06T01:14:37+00:00
72	23.466009	120.928253	2966.5	gpx		2021-09-06T01:17:43+00:00
73	23.465444	120.928856	2989.8	gpx		2021-09-06T01:20:48+00:00
74	23.465306	120.929289	3011.7	gpx		2021-09-06T01:23:53+00:00
75	23.464869	120.929608	3033.3	gpx		2021-09-06T01:26:12+00:00
76	23.464717	120.929898	3040.5	gpx		2021-09-06T01:27:45+00:00
77	23.464164	120.930096	3042.8	gpx		2021-09-06T01:30:50+00:00
78	23.463945	120.930345	3038.2	gpx		2021-09-06T01:32:23+00:00
79	23.463934	120.930596	3034.3	gpx		2021-09-06T01:33:55+00:00
80	23.464533	120.931077	3074.7	gpx		2021-09-06T01:39:04+00:00
81	23.464685	120.931818	3082.9	gpx		2021-09-06T01:44:00+00:00
82	23.464962	120.931880	3086.0	gpx		2021-09-06T01:46:07+00:00
83	23.465129	120.931683	3088.2	gpx		2021-09-06T01:48:15+00:00
84	23.465219	120.931914	3094.3	gpx		2021-09-06T01:51:46+00:00
85	23.465941	120.932153	3105.1	gpx		2021-09-06T01:55:18+00:00
86	23.466236	120.932351	3112.0	gpx		2021-09-06T01:56:00+00:00
87	23.466263	120.932500	3118.0	gpx		2021-09-06T01:57:25+00:00
88	23.467004	120.932639	3144.9	gpx		2021-09-06T01:59:32+00:00
89	23.467465	120.933842	3178.1	gpx		2021-09-06T02:04:29+00:00
90	23.467370	120.934130	3178.0	gpx		2021-09-06T02:05:11+00:00
91	23.467458	120.934324	3174.7	gpx		2021-09-06T02:05:53+00:00
92	23.466840	120.935120	3154.1	gpx		2021-09-06T02:10:08+00:00
93	23.466944	120.935292	3145.4	gpx		2021-09-06T02:12:57+00:00
94	23.467836	120.935663	3137.2	gpx		2021-09-06T02:17:11+00:00
95	23.468185	120.936070	3149.4	gpx		2021-09-06T02:20:01+00:00
96	23.468720	120.936250	3172.4	gpx		2021-09-06T02:22:08+00:00
97	23.468693	120.936922	3207.5	gpx		2021-09-06T02:24:57+00:00
98	23.469300	120.938076	3230.9	gpx		2021-09-06T02:29:11+00:00
99	23.469286	120.938545	3230.6	gpx		2021-09-06T02:31:18+00:00
100	23.468612	120.939377	3234.7	gpx		2021-09-06T02:32:43+00:00
101	23.467984	120.939845	3240.0	gpx		2021-09-06T02:34:50+00:00
102	23.466843	120.940351	3243.1	gpx		2021-09-06T02:39:04+00:00
103	23.466677	120.941118	3230.2	gpx		2021-09-06T02:42:36+00:00
104	23.465977	120.941470	3215.4	gpx		2021-09-06T02:46:50+00:00
105	23.465473	120.941428	3215.0	gpx		2021-09-06T02:50:22+00:00
106	23.465079	120.942006	3225.2	gpx		2021-09-06T02:53:54+00:00
107	23.465284	120.942799	3244.5	gpx		2021-09-06T02:57:25+00:00
108	23.465034	120.943267	3255.7	gpx		2021-09-06T03:00:57+00:00
109	23.465140	120.943699	3260.6	gpx		2021-09-06T03:03:04+00:00
110	23.465585	120.944060	3268.3	gpx		2021-09-06T03:07:18+00:00
111	23.465829	120.944054	3269.8	gpx		2021-09-06T03:08:43+00:00
112	23.465462	120.944689	3273.1	gpx		2021-09-06T03:12:15+00:00
113	23.465353	120.945378	3280.7	gpx		2021-09-06T03:13:40+00:00
114	23.465449	120.946227	3293.7	gpx		2021-09-06T03:15:47+00:00
115	23.465563	120.945395	3308.1	gpx		2021-09-06T03:19:19+00:00
116	23.466011	120.946373	3308.5	gpx		2021-09-06T03:27:04+00:00
117	23.465678	120.947192	3314.7	gpx		2021-09-06T03:30:36+00:00
118	23.465855	120.947997	3321.0	gpx		2021-09-06T03:33:26+00:00
119	23.465652	120.948408	3328.4	gpx		2021-09-06T03:36:57+00:00
120	23.465790	120.948568	3335.5	gpx		2021-09-06T03:39:47+00:00
121	23.466063	120.948530	3340.5	gpx		2021-09-06T03:40:29+00:00
122	23.466186	120.948856	3349.4	gpx		2021-09-06T03:44:43+00:00
123	23.466626	120.949183	3356.4	gpx		2021-09-06T03:46:50+00:00
124	23.466547	120.949681	3365.3	gpx		2021-09-06T03:50:22+00:00
125(cabin)	23.466506	120.949710	3365.3	comm	cabin	2021-09-06T03:50:22+00:00
126	23.466270	120.950131	3377.6	gpx		2021-09-06T03:58:51+00:00
127	23.466270	120.950131	3396.0	gpx		2021-09-06T22:00:52+00:00
128	23.466376	120.949985	3396.0	gpx		2021-09-06T22:01:44+00:00
129	23.466270	120.950131	3396.0	gpx		2021-09-06T22:07:50+00:00
130	23.466392	120.950290	3396.0	gpx		2021-09-06T22:08:43+00:00
131	23.466382	120.950751	3397.4	gpx		2021-09-06T22:09:35+00:00
132	23.466103	120.951509	3405.7	gpx		2021-09-06T22:13:04+00:00
133	23.466242	120.951423	3415.1	gpx		2021-09-06T22:14:49+00:00
134	23.466371	120.951680	3435.4	gpx		2021-09-06T22:19:11+00:00
135	23.466445	120.951564	3439.7	gpx		2021-09-06T22:20:03+00:00
136	23.466448	120.952631	3490.6	gpx		2021-09-06T22:26:09+00:00
137	23.466593	120.952504	3496.7	gpx		2021-09-06T22:27:54+00:00
138	23.466739	120.952702	3503.4	gpx		2021-09-06T22:29:39+00:00
139	23.466819	120.952652	3506.0	gpx		2021-09-06T22:30:31+00:00
140	23.466811	120.952832	3511.2	gpx		2021-09-06T22:32:16+00:00
141	23.466598	120.953051	3518.8	gpx		2021-09-06T22:33:08+00:00
142	23.466626	120.953228	3524.6	gpx		2021-09-06T22:34:53+00:00
143	23.467093	120.953093	3529.3	gpx		2021-09-06T22:36:37+00:00
144	23.466929	120.953348	3530.7	gpx		2021-09-06T22:39:14+00:00
145	23.466912	120.953981	3535.0	gpx		2021-09-06T22:40:59+00:00
146	23.467197	120.953742	3615.7	gpx		2021-09-06T22:45:22+00:00
147	23.467134	120.954074	3624.3	gpx		2021-09-06T22:46:32+00:00
148	23.467257	120.954522	3628.6	gpx		2021-09-06T22:47:43+00:00
149	23.467395	120.954269	3629.9	gpx		2021-09-06T22:50:03+00:00
150(comm)	23.467393	120.954250	3629.9	comm	comm	2021-09-06T22:50:03+00:00
151	23.467474	120.954591	3630.6	gpx		2021-09-06T22:51:14+00:00
152	23.467809	120.954193	3637.4	gpx		2021-09-06T22:52:24+00:00
153	23.468166	120.954034	3645.8	gpx		2021-09-06T22:53:34+00:00
154	23.468099	120.954909	3666.7	gpx		2021-09-06T22:57:05+00:00
155	23.468890	120.954098	3703.4	gpx		2021-09-06T23:00:36+00:00
156	23.468661	120.955219	3729.6	gpx		2021-09-06T23:02:57+00:00
157	23.469345	120.954482	3739.4	gpx		2021-09-06T23:09:59+00:00
158	23.469238	120.955548	3748.9	gpx		2021-09-06T23:15:50+00:00
159	23.469269	120.955645	3749.9	gpx		2021-09-06T23:17:00+00:00
160	23.469389	120.955558	3750.8	gpx		2021-09-06T23:18:11+00:00
161	23.469454	120.955843	3755.5	gpx		2021-09-06T23:22:52+00:00
162	23.469239	120.956065	3763.6	gpx		2021-09-06T23:27:33+00:00
163	23.469580	120.956063	3768.7	gpx		2021-09-06T23:32:14+00:00
164	23.469579	120.956178	3770.2	gpx		2021-09-06T23:33:25+00:00
165	23.469877	120.956060	3773.2	gpx		2021-09-06T23:36:56+00:00
166	23.470021	120.956212	3778.8	gpx		2021-09-06T23:40:39+00:00
167	23.470446	120.956039	3769.7	gpx		2021-09-06T23:44:28+00:00
168	23.470445	120.956426	3804.2	gpx		2021-09-06T23:48:17+00:00
169	23.470104	120.956675	3825.1	gpx		2021-09-06T23:50:50+00:00
170	23.470025	120.956811	3828.3	gpx		2021-09-06T23:52:07+00:00
171	23.470145	120.956832	3831.2	gpx		2021-09-06T23:53:23+00:00
172	23.470105	120.956944	3833.6	gpx		2021-09-06T23:54:40+00:00
173(peak)	23.470018	120.957270	3833.6	comm	peak	2021-09-06T23:54:40+00:00
