順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.475792	120.900195	2600.0	gpx		2023-06-14T22:00:00+00:00
2	23.475776	120.900379	2600.0	gpx		2023-06-14T22:00:49+00:00
3	23.475829	120.900555	2601.1	gpx		2023-06-14T22:01:38+00:00
4	23.475864	120.900730	2603.1	gpx		2023-06-14T22:02:28+00:00
5	23.475979	120.900963	2606.0	gpx		2023-06-14T22:03:17+00:00
6	23.475991	120.901176	2608.7	gpx		2023-06-14T22:04:07+00:00
7	23.475960	120.901389	2610.7	gpx		2023-06-14T22:04:56+00:00
8	23.476016	120.901580	2612.4	gpx		2023-06-14T22:05:45+00:00
9	23.476014	120.901635	2613.3	gpx		2023-06-14T22:06:35+00:00
10	23.475934	120.901851	2615.5	gpx		2023-06-14T22:07:24+00:00
11	23.475815	120.902058	2617.7	gpx		2023-06-14T22:08:14+00:00
12	23.475812	120.902500	2622.9	gpx		2023-06-14T22:09:03+00:00
13	23.475626	120.903109	2633.1	gpx		2023-06-14T22:09:53+00:00
14	23.475574	120.903203	2634.4	gpx		2023-06-14T22:10:42+00:00
15	23.475437	120.903298	2635.7	gpx		2023-06-14T22:11:31+00:00
16	23.475311	120.903533	2638.2	gpx		2023-06-14T22:12:21+00:00
17	23.474931	120.903824	2642.7	gpx		2023-06-14T22:13:10+00:00
18	23.474809	120.903967	2643.3	gpx		2023-06-14T22:14:00+00:00
19	23.474707	120.904121	2644.1	gpx		2023-06-14T22:14:49+00:00
20	23.474652	120.904174	2644.8	gpx		2023-06-14T22:15:38+00:00
21	23.474472	120.904283	2646.1	gpx		2023-06-14T22:16:28+00:00
22	23.474334	120.904504	2647.4	gpx		2023-06-14T22:17:17+00:00
23	23.474221	120.904638	2648.2	gpx		2023-06-14T22:18:07+00:00
24	23.474133	120.904789	2649.2	gpx		2023-06-14T22:18:56+00:00
25	23.474006	120.904942	2651.3	gpx		2023-06-14T22:19:46+00:00
26	23.473903	120.904987	2652.5	gpx		2023-06-14T22:20:35+00:00
27	23.473721	120.905112	2654.7	gpx		2023-06-14T22:21:24+00:00
28	23.473599	120.905299	2657.5	gpx		2023-06-14T22:22:14+00:00
29	23.473421	120.905413	2660.8	gpx		2023-06-14T22:23:03+00:00
30	23.473401	120.905463	2662.5	gpx		2023-06-14T22:23:53+00:00
31	23.473426	120.905515	2664.3	gpx		2023-06-14T22:24:42+00:00
