順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.596061	120.946761	2869.0	gpx		2023-10-02T22:00:00+00:00
2(start)	23.596061	120.946761	2869.0	comm	start	2023-10-02T22:00:00+00:00
3	23.596078	120.946465	2869.0	gpx		2023-10-02T22:01:08+00:00
4	23.596125	120.946367	2869.0	gpx		2023-10-02T22:02:17+00:00
5	23.596309	120.945938	2871.5	gpx		2023-10-02T22:03:25+00:00
6	23.596373	120.945765	2872.2	gpx		2023-10-02T22:04:34+00:00
7	23.596376	120.945693	2872.9	gpx		2023-10-02T22:05:43+00:00
8	23.596497	120.945517	2873.8	gpx		2023-10-02T22:06:51+00:00
9	23.596526	120.945341	2874.6	gpx		2023-10-02T22:08:00+00:00
10	23.596458	120.945253	2877.9	gpx		2023-10-02T22:09:08+00:00
11	23.596244	120.945129	2884.1	gpx		2023-10-02T22:10:17+00:00
12	23.595992	120.945048	2890.1	gpx		2023-10-02T22:11:26+00:00
13	23.595766	120.944924	2897.5	gpx		2023-10-02T22:12:34+00:00
14	23.595441	120.944901	2911.3	gpx		2023-10-02T22:13:43+00:00
15	23.595210	120.944946	2920.9	gpx		2023-10-02T22:14:51+00:00
16	23.595074	120.945178	2930.2	gpx		2023-10-02T22:16:00+00:00
17	23.594700	120.945066	2948.2	gpx		2023-10-02T22:17:09+00:00
18	23.594545	120.945045	2952.9	gpx		2023-10-02T22:18:17+00:00
19	23.594426	120.945010	2957.3	gpx		2023-10-02T22:19:26+00:00
20	23.594386	120.944942	2959.7	gpx		2023-10-02T22:20:34+00:00
21	23.594339	120.944740	2963.9	gpx		2023-10-02T22:21:43+00:00
22	23.594348	120.944527	2967.0	gpx		2023-10-02T22:22:52+00:00
23	23.594322	120.944391	2968.0	gpx		2023-10-02T22:24:00+00:00
24	23.594247	120.944311	2968.8	gpx		2023-10-02T22:25:09+00:00
25	23.594142	120.944313	2969.4	gpx		2023-10-02T22:26:17+00:00
26	23.594102	120.944351	2970.3	gpx		2023-10-02T22:27:26+00:00
27	23.594081	120.944324	2970.8	gpx		2023-10-02T22:28:35+00:00
28(comm)	23.594081	120.944324	2970.8	comm	comm	2023-10-02T22:28:35+00:00
29	23.594081	120.944324	2972.5	gpx		2023-10-02T22:29:43+00:00
30	23.594102	120.944351	2975.8	gpx		2023-10-02T22:30:21+00:00
31	23.593768	120.944739	2972.5	gpx		2023-10-02T22:30:58+00:00
32	23.593479	120.944937	2970.3	gpx		2023-10-02T22:31:35+00:00
33	23.593391	120.945070	2969.8	gpx		2023-10-02T22:32:12+00:00
34	23.593389	120.945146	2969.3	gpx		2023-10-02T22:32:50+00:00
35	23.593316	120.945296	2968.7	gpx		2023-10-02T22:33:27+00:00
36	23.593273	120.945496	2967.6	gpx		2023-10-02T22:34:04+00:00
37	23.593250	120.945525	2967.1	gpx		2023-10-02T22:34:42+00:00
38	23.593216	120.945626	2966.5	gpx		2023-10-02T22:35:19+00:00
39	23.593082	120.945831	2965.6	gpx		2023-10-02T22:35:56+00:00
40	23.593034	120.946042	2964.7	gpx		2023-10-02T22:36:34+00:00
41	23.592981	120.946172	2963.8	gpx		2023-10-02T22:37:11+00:00
42	23.592967	120.946280	2963.1	gpx		2023-10-02T22:37:48+00:00
43	23.592938	120.946327	2963.9	gpx		2023-10-02T22:38:26+00:00
44	23.592906	120.946381	2965.0	gpx		2023-10-02T22:39:03+00:00
45	23.592743	120.946813	2970.1	gpx		2023-10-02T22:39:40+00:00
46	23.592663	120.946897	2971.5	gpx		2023-10-02T22:40:18+00:00
47	23.592631	120.946976	2972.9	gpx		2023-10-02T22:40:55+00:00
48	23.592536	120.947109	2974.4	gpx		2023-10-02T22:41:32+00:00
49	23.592235	120.947433	2980.8	gpx		2023-10-02T22:42:10+00:00
50	23.592183	120.947467	2982.6	gpx		2023-10-02T22:42:47+00:00
51	23.592115	120.947674	2986.1	gpx		2023-10-02T22:43:24+00:00
52	23.592099	120.947735	2987.8	gpx		2023-10-02T22:44:02+00:00
53	23.592131	120.948500	2993.7	gpx		2023-10-02T22:44:39+00:00
54	23.592146	120.948566	2993.9	gpx		2023-10-02T22:45:16+00:00
55	23.592122	120.948729	2994.2	gpx		2023-10-02T22:45:54+00:00
56	23.592062	120.948875	2994.5	gpx		2023-10-02T22:46:31+00:00
57	23.592064	120.948935	2994.8	gpx		2023-10-02T22:47:08+00:00
58	23.592013	120.949111	2995.2	gpx		2023-10-02T22:47:46+00:00
59	23.592028	120.949137	2995.5	gpx		2023-10-02T22:48:23+00:00
60	23.592015	120.949217	2995.9	gpx		2023-10-02T22:49:00+00:00
61	23.591932	120.949413	2997.0	gpx		2023-10-02T22:49:38+00:00
62	23.591851	120.949433	2997.6	gpx		2023-10-02T22:50:15+00:00
63	23.591793	120.949472	2998.3	gpx		2023-10-02T22:50:52+00:00
64	23.591747	120.949547	2998.9	gpx		2023-10-02T22:51:30+00:00
65	23.591633	120.949630	2999.6	gpx		2023-10-02T22:52:07+00:00
66	23.591554	120.949668	3000.3	gpx		2023-10-02T22:52:44+00:00
67	23.591515	120.949781	3001.0	gpx		2023-10-02T22:53:21+00:00
68	23.591394	120.949928	3002.7	gpx		2023-10-02T22:53:59+00:00
69	23.591249	120.950027	3003.7	gpx		2023-10-02T22:54:36+00:00
70	23.591208	120.950085	3004.8	gpx		2023-10-02T22:55:13+00:00
71	23.591188	120.950201	3006.0	gpx		2023-10-02T22:55:51+00:00
72	23.591116	120.950368	3007.4	gpx		2023-10-02T22:56:28+00:00
73	23.591012	120.950429	3009.1	gpx		2023-10-02T22:57:05+00:00
74	23.590933	120.950595	3010.9	gpx		2023-10-02T22:57:43+00:00
75	23.590921	120.950670	3012.8	gpx		2023-10-02T22:58:20+00:00
76	23.590881	120.950722	3014.8	gpx		2023-10-02T22:58:57+00:00
77	23.590829	120.950832	3017.0	gpx		2023-10-02T22:59:35+00:00
78	23.590863	120.950953	3019.1	gpx		2023-10-02T23:00:12+00:00
79	23.590776	120.951061	3021.4	gpx		2023-10-02T23:00:49+00:00
80	23.590643	120.951330	3028.4	gpx		2023-10-02T23:01:27+00:00
81	23.590613	120.951341	3030.7	gpx		2023-10-02T23:02:04+00:00
82	23.590485	120.951466	3033.2	gpx		2023-10-02T23:02:41+00:00
83	23.590407	120.951589	3035.8	gpx		2023-10-02T23:03:19+00:00
84	23.590371	120.951705	3038.7	gpx		2023-10-02T23:03:56+00:00
85	23.590463	120.951760	3041.4	gpx		2023-10-02T23:04:33+00:00
86	23.590469	120.951829	3044.0	gpx		2023-10-02T23:05:11+00:00
87	23.590450	120.951962	3046.5	gpx		2023-10-02T23:05:48+00:00
88	23.590499	120.952023	3049.0	gpx		2023-10-02T23:06:25+00:00
