順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.266310	120.939398	2612.1	gpx		2023-07-10T00:29:36+00:00
2(start)	23.266420	120.939360	2614.8	comm	start	2023-07-10T00:30:46.960363969+00:00
3	23.266333	120.939219	2616.3	gpx		2023-07-10T00:31:26+00:00
4	23.266238	120.939070	2622.3	gpx		2023-07-10T00:33:06+00:00
5	23.266102	120.938947	2630.5	gpx		2023-07-10T00:34:26+00:00
6	23.265965	120.938825	2638.8	gpx		2023-07-10T00:35:46+00:00
7	23.265837	120.938709	2647.0	gpx		2023-07-10T00:36:56+00:00
8	23.265765	120.938634	2653.8	gpx		2023-07-10T00:37:36+00:00
9	23.265744	120.938614	2654.7	gpx		2023-07-10T00:37:46+00:00
10	23.265723	120.938594	2655.5	gpx		2023-07-10T00:37:56+00:00
11	23.265703	120.938575	2656.4	gpx		2023-07-10T00:38:06+00:00
12	23.265682	120.938555	2657.3	gpx		2023-07-10T00:38:16+00:00
13	23.265661	120.938535	2658.1	gpx		2023-07-10T00:38:26+00:00
14	23.265640	120.938515	2659.0	gpx		2023-07-10T00:38:36+00:00
15	23.265619	120.938496	2659.8	gpx		2023-07-10T00:38:46+00:00
16	23.265599	120.938476	2660.7	gpx		2023-07-10T00:38:56+00:00
17	23.265578	120.938456	2661.6	gpx		2023-07-10T00:39:06+00:00
18	23.265557	120.938436	2662.4	gpx		2023-07-10T00:39:16+00:00
19	23.265527	120.938424	2663.1	gpx		2023-07-10T00:39:26+00:00
20	23.265492	120.938416	2663.6	gpx		2023-07-10T00:39:36+00:00
21	23.265456	120.938408	2664.1	gpx		2023-07-10T00:39:46+00:00
22	23.265420	120.938400	2664.6	gpx		2023-07-10T00:39:56+00:00
23	23.265384	120.938393	2665.1	gpx		2023-07-10T00:40:06+00:00
24	23.265349	120.938385	2665.6	gpx		2023-07-10T00:40:16+00:00
25	23.265313	120.938377	2666.1	gpx		2023-07-10T00:40:26+00:00
26	23.265277	120.938369	2666.6	gpx		2023-07-10T00:40:36+00:00
27	23.265241	120.938361	2667.1	gpx		2023-07-10T00:40:46+00:00
28	23.265205	120.938354	2667.6	gpx		2023-07-10T00:40:56+00:00
29	23.265170	120.938346	2668.0	gpx		2023-07-10T00:41:06+00:00
30	23.265134	120.938338	2668.5	gpx		2023-07-10T00:41:16+00:00
31	23.265098	120.938330	2669.0	gpx		2023-07-10T00:41:26+00:00
32	23.265062	120.938322	2669.5	gpx		2023-07-10T00:41:36+00:00
33	23.265027	120.938315	2670.0	gpx		2023-07-10T00:41:46+00:00
34	23.264991	120.938307	2670.5	gpx		2023-07-10T00:41:56+00:00
35	23.264955	120.938299	2671.0	gpx		2023-07-10T00:42:06+00:00
36	23.264919	120.938291	2671.5	gpx		2023-07-10T00:42:16+00:00
37	23.264873	120.938270	2674.4	gpx		2023-07-10T00:42:26+00:00
38	23.264864	120.938236	2676.2	gpx		2023-07-10T00:42:36+00:00
39	23.264856	120.938203	2678.0	gpx		2023-07-10T00:42:46+00:00
40	23.264848	120.938170	2679.9	gpx		2023-07-10T00:42:56+00:00
41	23.264840	120.938137	2681.7	gpx		2023-07-10T00:43:06+00:00
42	23.264831	120.938103	2683.5	gpx		2023-07-10T00:43:16+00:00
43	23.264823	120.938070	2685.4	gpx		2023-07-10T00:43:26+00:00
44	23.264815	120.938037	2687.2	gpx		2023-07-10T00:43:36+00:00
45	23.264786	120.938012	2688.8	gpx		2023-07-10T00:43:46+00:00
46	23.264737	120.937995	2690.1	gpx		2023-07-10T00:43:56+00:00
47	23.264688	120.937978	2691.5	gpx		2023-07-10T00:44:06+00:00
48	23.264638	120.937960	2692.8	gpx		2023-07-10T00:44:16+00:00
49	23.264589	120.937943	2694.2	gpx		2023-07-10T00:44:26+00:00
50	23.264540	120.937926	2695.5	gpx		2023-07-10T00:44:36+00:00
51	23.264491	120.937909	2696.9	gpx		2023-07-10T00:44:46+00:00
52	23.264442	120.937892	2698.3	gpx		2023-07-10T00:44:56+00:00
53	23.264397	120.937879	2699.4	gpx		2023-07-10T00:45:06+00:00
54	23.264370	120.937881	2699.6	gpx		2023-07-10T00:45:16+00:00
55	23.264342	120.937883	2699.8	gpx		2023-07-10T00:45:26+00:00
56	23.264315	120.937885	2700.0	gpx		2023-07-10T00:45:36+00:00
57	23.264288	120.937888	2700.2	gpx		2023-07-10T00:45:46+00:00
58	23.264260	120.937890	2700.4	gpx		2023-07-10T00:45:56+00:00
59	23.264233	120.937892	2700.6	gpx		2023-07-10T00:46:06+00:00
60	23.264203	120.937901	2700.7	gpx		2023-07-10T00:46:16+00:00
61	23.264148	120.937966	2700.6	gpx		2023-07-10T00:46:26+00:00
62	23.264094	120.938031	2700.5	gpx		2023-07-10T00:46:36+00:00
63	23.264039	120.938096	2700.4	gpx		2023-07-10T00:46:46+00:00
64	23.263984	120.938161	2700.2	gpx		2023-07-10T00:46:56+00:00
65	23.263848	120.938283	2699.6	gpx		2023-07-10T00:48:06+00:00
66	23.263771	120.938340	2708.0	gpx		2023-07-10T00:49:06+00:00
67	23.263759	120.938390	2707.9	gpx		2023-07-10T00:49:16+00:00
68	23.263748	120.938440	2707.8	gpx		2023-07-10T00:49:26+00:00
69	23.263729	120.938469	2707.8	gpx		2023-07-10T00:49:36+00:00
70	23.263691	120.938445	2708.2	gpx		2023-07-10T00:49:46+00:00
71	23.263648	120.938408	2708.7	gpx		2023-07-10T00:49:56+00:00
72	23.263606	120.938370	2709.2	gpx		2023-07-10T00:50:06+00:00
73	23.263563	120.938333	2709.7	gpx		2023-07-10T00:50:16+00:00
