順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.397523	121.307019	1899.0	gpx		2020-10-13T22:24:44+00:00
2	24.397334	121.306925	1899.0	gpx		2020-10-13T22:26:14+00:00
3	24.397307	121.306911	1899.0	gpx		2020-10-13T22:27:43+00:00
4	24.397209	121.306915	1899.0	gpx		2020-10-13T22:29:12+00:00
5	24.397185	121.307010	1899.5	gpx		2020-10-13T22:30:42+00:00
6	24.396892	121.307373	1900.4	gpx		2020-10-13T22:32:11+00:00
7	24.396891	121.307424	1900.5	gpx		2020-10-13T22:33:40+00:00
8(0 k 起點)	24.397000	121.307700	1400.0	comm	0 k 起點	2020-10-13T22:34:27.434553950+00:00
9	24.397081	121.307954	1900.7	gpx		2020-10-13T22:35:10+00:00
10	24.397140	121.307990	1900.7	gpx		2020-10-13T22:36:39+00:00
11	24.397487	121.307933	1900.7	gpx		2020-10-13T22:38:09+00:00
12	24.397537	121.307905	1900.8	gpx		2020-10-13T22:39:38+00:00
13	24.397662	121.307742	1901.0	gpx		2020-10-13T22:41:07+00:00
14	24.397925	121.307816	1902.5	gpx		2020-10-13T22:42:37+00:00
15	24.398296	121.307955	1905.1	gpx		2020-10-13T22:44:06+00:00
16	24.398514	121.308101	1906.6	gpx		2020-10-13T22:45:36+00:00
17	24.398782	121.308182	1908.9	gpx		2020-10-13T22:47:05+00:00
18	24.399099	121.308315	1911.1	gpx		2020-10-13T22:48:34+00:00
19	24.399156	121.308324	1911.9	gpx		2020-10-13T22:50:04+00:00
20	24.399457	121.308101	1915.2	gpx		2020-10-13T22:51:33+00:00
21	24.399663	121.307886	1916.5	gpx		2020-10-13T22:53:02+00:00
22	24.399935	121.307736	1917.4	gpx		2020-10-13T22:54:32+00:00
23	24.400384	121.307369	1920.9	gpx		2020-10-13T22:56:01+00:00
24	24.400447	121.307352	1921.7	gpx		2020-10-13T22:57:31+00:00
25	24.400531	121.307357	1922.7	gpx		2020-10-13T22:59:00+00:00
26	24.400971	121.307125	1927.8	gpx		2020-10-13T23:00:29+00:00
27	24.401079	121.307034	1928.8	gpx		2020-10-13T23:01:59+00:00
28	24.401183	121.306979	1929.9	gpx		2020-10-13T23:03:28+00:00
29	24.401310	121.306961	1930.9	gpx		2020-10-13T23:04:58+00:00
30	24.401718	121.306991	1934.8	gpx		2020-10-13T23:06:27+00:00
31	24.401808	121.306985	1935.8	gpx		2020-10-13T23:07:56+00:00
32	24.401885	121.306937	1936.7	gpx		2020-10-13T23:09:26+00:00
33	24.401948	121.306937	1937.6	gpx		2020-10-13T23:10:55+00:00
34	24.402175	121.306990	1939.5	gpx		2020-10-13T23:12:24+00:00
35	24.402497	121.307124	1942.6	gpx		2020-10-13T23:13:54+00:00
36	24.402744	121.307189	1944.9	gpx		2020-10-13T23:15:23+00:00
37	24.403121	121.307200	1950.1	gpx		2020-10-13T23:16:53+00:00
38	24.403528	121.307269	1956.4	gpx		2020-10-13T23:18:22+00:00
39	24.403795	121.307291	1959.9	gpx		2020-10-13T23:19:51+00:00
40	24.403917	121.307334	1961.9	gpx		2020-10-13T23:21:21+00:00
41	24.404258	121.307361	1967.8	gpx		2020-10-13T23:22:50+00:00
42	24.404388	121.307419	1969.7	gpx		2020-10-13T23:24:20+00:00
43	24.404723	121.307490	1975.5	gpx		2020-10-13T23:25:49+00:00
44	24.404959	121.307602	1979.3	gpx		2020-10-13T23:27:18+00:00
45	24.405033	121.307618	1981.2	gpx		2020-10-13T23:28:48+00:00
46	24.405104	121.307586	1983.1	gpx		2020-10-13T23:30:17+00:00
47	24.405143	121.307608	1985.1	gpx		2020-10-13T23:31:47+00:00
48	24.405194	121.307607	1987.0	gpx		2020-10-13T23:33:16+00:00
49	24.405198	121.307607	1988.9	gpx		2020-10-13T23:34:45+00:00
50	24.405201	121.307604	1990.7	gpx		2020-10-13T23:36:15+00:00
51	24.405222	121.307583	1992.3	gpx		2020-10-13T23:37:44+00:00
52(0K_瀑布1K交會)	24.405220	121.307580	2100.0	comm	0K_瀑布1K交會	2020-10-13T23:37:44+00:00
53	24.405222	121.307583	2004.7	gpx		2020-10-13T23:39:13+00:00
54	24.405201	121.307604	2004.6	gpx		2020-10-13T23:40:43+00:00
55	24.405198	121.307607	2005.8	gpx		2020-10-13T23:42:12+00:00
56	24.405199	121.307609	2001.4	gpx		2020-10-13T23:43:42+00:00
57	24.405398	121.308377	1990.8	gpx		2020-10-13T23:45:11+00:00
58	24.405626	121.308748	1989.4	gpx		2020-10-13T23:46:40+00:00
59	24.405906	121.308636	1989.2	gpx		2020-10-13T23:48:10+00:00
60	24.406572	121.309078	1986.9	gpx		2020-10-13T23:49:39+00:00
61	24.406807	121.309362	1988.0	gpx		2020-10-13T23:51:09+00:00
62	24.406911	121.309487	1988.5	gpx		2020-10-13T23:52:38+00:00
63	24.407483	121.309609	1995.4	gpx		2020-10-13T23:54:07+00:00
64	24.407665	121.309535	1998.8	gpx		2020-10-13T23:55:37+00:00
65	24.408112	121.310310	2017.8	gpx		2020-10-13T23:57:06+00:00
66	24.408494	121.310223	2029.3	gpx		2020-10-13T23:58:35+00:00
67	24.409465	121.310962	2073.8	gpx		2020-10-14T00:00:05+00:00
68	24.409381	121.311337	2085.7	gpx		2020-10-14T00:01:34+00:00
69	24.409775	121.311558	2102.4	gpx		2020-10-14T00:03:04+00:00
70	24.409999	121.311503	2112.4	gpx		2020-10-14T00:04:33+00:00
71	24.410564	121.311149	2148.9	gpx		2020-10-14T00:06:02+00:00
72	24.410986	121.311035	2169.5	gpx		2020-10-14T00:07:32+00:00
73	24.411122	121.310978	2174.8	gpx		2020-10-14T00:09:01+00:00
74	24.411226	121.311045	2180.1	gpx		2020-10-14T00:10:31+00:00
75	24.411281	121.310940	2186.1	gpx		2020-10-14T00:12:00+00:00
76	24.411335	121.310998	2191.8	gpx		2020-10-14T00:13:29+00:00
77	24.411569	121.310792	2207.5	gpx		2020-10-14T00:14:59+00:00
78	24.411618	121.310842	2212.0	gpx		2020-10-14T00:16:28+00:00
79	24.411701	121.310688	2216.7	gpx		2020-10-14T00:17:57+00:00
80	24.411821	121.310715	2221.3	gpx		2020-10-14T00:19:27+00:00
81	24.411856	121.310616	2226.3	gpx		2020-10-14T00:20:56+00:00
82	24.412085	121.310488	2236.9	gpx		2020-10-14T00:22:26+00:00
83	24.412148	121.310300	2247.6	gpx		2020-10-14T00:23:55+00:00
84	24.412264	121.310302	2253.3	gpx		2020-10-14T00:25:24+00:00
85	24.412318	121.310126	2259.7	gpx		2020-10-14T00:26:54+00:00
86	24.412404	121.310188	2266.2	gpx		2020-10-14T00:28:23+00:00
87	24.412424	121.310065	2272.9	gpx		2020-10-14T00:29:53+00:00
88	24.412697	121.309910	2294.2	gpx		2020-10-14T00:31:22+00:00
89	24.412715	121.309769	2300.7	gpx		2020-10-14T00:32:51+00:00
90	24.412829	121.309677	2307.6	gpx		2020-10-14T00:34:21+00:00
91	24.412912	121.309689	2314.5	gpx		2020-10-14T00:35:50+00:00
92	24.413065	121.309535	2327.7	gpx		2020-10-14T00:37:19+00:00
93	24.413127	121.309393	2334.2	gpx		2020-10-14T00:38:49+00:00
94	24.413214	121.309350	2340.0	gpx		2020-10-14T00:40:18+00:00
95	24.413322	121.309159	2350.9	gpx		2020-10-14T00:41:48+00:00
96	24.413425	121.309184	2355.9	gpx		2020-10-14T00:43:17+00:00
97	24.413480	121.309009	2360.7	gpx		2020-10-14T00:44:46+00:00
98	24.413547	121.309104	2365.2	gpx		2020-10-14T00:46:16+00:00
99	24.413557	121.309025	2369.7	gpx		2020-10-14T00:47:45+00:00
100	24.413605	121.309035	2373.5	gpx		2020-10-14T00:49:15+00:00
101	24.413612	121.308922	2376.7	gpx		2020-10-14T00:50:44+00:00
102	24.413680	121.308922	2379.7	gpx		2020-10-14T00:52:13+00:00
