順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.398845	121.308126	1899.1	gpx		2021-03-14T08:04:14+00:00
2(路標指示 0.5 k)	24.398900	121.308300	1450.0	comm	路標指示 0.5 k	2021-03-14T08:04:31.745450379+00:00
3(路標指示 0 k 起點)	24.397000	121.307700	1400.0	comm	路標指示 0 k 起點	2021-03-14T08:04:56+00:00
4	24.399242	121.308293	1911.9	gpx		2021-03-14T08:04:56+00:00
5	24.399721	121.307868	1921.9	gpx		2021-03-14T08:06:03+00:00
6	24.400080	121.307530	1924.9	gpx		2021-03-14T08:07:10+00:00
7	24.400507	121.307375	1929.5	gpx		2021-03-14T08:08:00+00:00
8	24.401312	121.306916	1939.0	gpx		2021-03-14T08:10:08+00:00
9	24.402219	121.306953	1952.9	gpx		2021-03-14T08:12:08+00:00
10	24.403106	121.307163	1955.8	gpx		2021-03-14T08:14:29+00:00
11	24.403231	121.307284	1951.7	gpx		2021-03-14T08:15:33+00:00
12	24.404004	121.307283	1970.5	gpx		2021-03-14T08:17:46+00:00
13	24.404895	121.307466	1982.6	gpx		2021-03-14T08:19:25+00:00
14(桃山步道0K_桃山瀑布1K)	24.405220	121.307580	2100.0	comm	桃山步道0K_桃山瀑布1K	2021-03-14T08:20:03.197727646+00:00
15	24.405288	121.307598	1987.9	gpx		2021-03-14T08:20:11+00:00
16	24.405315	121.307417	1981.1	gpx		2021-03-14T08:21:09+00:00
17	24.405036	121.307100	2001.1	gpx		2021-03-14T08:21:48+00:00
18	24.404126	121.306935	1992.5	gpx		2021-03-14T08:23:47+00:00
19	24.403666	121.306712	1994.9	gpx		2021-03-14T08:25:12+00:00
20	24.403366	121.306386	2003.5	gpx		2021-03-14T08:25:47+00:00
21	24.402982	121.306230	2002.5	gpx		2021-03-14T08:26:34+00:00
22	24.402951	121.306080	2006.2	gpx		2021-03-14T08:26:50+00:00
23(路標指示 1.5k)	24.403000	121.306000	1750.0	comm	路標指示 1.5k	2021-03-14T08:26:50+00:00
24	24.403402	121.306212	2013.2	gpx		2021-03-14T08:27:41+00:00
25	24.404021	121.305699	2031.2	gpx		2021-03-14T08:29:41+00:00
26	24.404404	121.304801	2041.9	gpx		2021-03-14T08:31:33+00:00
27	24.404991	121.304044	2061.2	gpx		2021-03-14T08:36:07+00:00
28	24.405531	121.303242	2065.4	gpx		2021-03-14T08:39:03+00:00
29	24.405876	121.303038	2070.9	gpx		2021-03-14T08:39:52+00:00
30	24.405871	121.302707	2075.7	gpx		2021-03-14T08:40:48+00:00
31	24.406024	121.302665	2079.9	gpx		2021-03-14T08:41:06+00:00
32	24.406051	121.303091	2083.5	gpx		2021-03-14T08:41:49+00:00
33	24.405762	121.303219	2082.8	gpx		2021-03-14T08:42:26+00:00
34	24.405474	121.304235	2091.9	gpx		2021-03-14T08:44:37+00:00
35	24.405197	121.304951	2100.0	gpx		2021-03-14T08:46:07+00:00
36	24.405023	121.305093	2098.6	gpx		2021-03-14T08:46:30+00:00
37	24.404955	121.305536	2098.6	gpx		2021-03-14T08:47:21+00:00
38	24.405144	121.305798	2095.4	gpx		2021-03-14T08:48:17+00:00
39	24.405241	121.305223	2108.9	gpx		2021-03-14T08:49:34+00:00
40	24.405801	121.304571	2123.0	gpx		2021-03-14T08:51:11+00:00
41	24.405961	121.303996	2123.5	gpx		2021-03-14T08:52:29+00:00
42	24.406206	121.303683	2126.8	gpx		2021-03-14T08:53:08+00:00
43	24.406274	121.303615	2126.9	gpx		2021-03-14T08:53:17+00:00
44	24.406407	121.303776	2125.2	gpx		2021-03-14T08:54:12+00:00
45	24.406197	121.303919	2129.3	gpx		2021-03-14T08:54:36+00:00
46	24.406131	121.304669	2136.5	gpx		2021-03-14T08:56:14+00:00
47	24.405924	121.305046	2139.3	gpx		2021-03-14T08:57:07+00:00
48	24.405945	121.305516	2137.7	gpx		2021-03-14T08:57:52+00:00
49	24.406035	121.305543	2133.8	gpx		2021-03-14T08:58:27+00:00
50	24.406118	121.305413	2142.6	gpx		2021-03-14T08:58:51+00:00
51	24.406002	121.305287	2144.7	gpx		2021-03-14T08:59:08+00:00
52	24.406435	121.304839	2159.3	gpx		2021-03-14T09:00:54+00:00
53	24.406818	121.304023	2168.0	gpx		2021-03-14T09:02:41+00:00
54	24.407208	121.303804	2174.9	gpx		2021-03-14T09:04:44+00:00
55	24.407175	121.303972	2176.3	gpx		2021-03-14T09:04:59+00:00
56	24.406869	121.304220	2177.7	gpx		2021-03-14T09:05:42+00:00
57	24.406833	121.305011	2187.9	gpx		2021-03-14T09:07:29+00:00
58	24.406958	121.305581	2184.2	gpx		2021-03-14T09:08:49+00:00
59	24.407077	121.305530	2185.1	gpx		2021-03-14T09:09:11+00:00
60	24.406928	121.305233	2193.7	gpx		2021-03-14T09:10:26+00:00
61	24.407199	121.304777	2204.2	gpx		2021-03-14T09:11:27+00:00
62	24.407280	121.304745	2206.7	gpx		2021-03-14T09:11:37+00:00
63	24.407215	121.304899	2205.7	gpx		2021-03-14T09:12:10+00:00
64	24.407360	121.305001	2208.1	gpx		2021-03-14T09:12:36+00:00
65	24.407373	121.305266	2210.3	gpx		2021-03-14T09:13:18+00:00
66	24.407717	121.305212	2215.3	gpx		2021-03-14T09:14:32+00:00
67(池有品田 0 k)	24.408000	121.304500	2200.0	comm	池有品田 0 k	2021-03-14T09:21:10.583398925+00:00
68	24.408232	121.304391	2227.7	gpx		2021-03-14T09:22:56+00:00
69	24.408986	121.303846	2230.0	gpx		2021-03-14T09:24:40+00:00
70	24.409259	121.303648	2230.8	gpx		2021-03-14T09:25:13+00:00
71	24.409574	121.303087	2227.1	gpx		2021-03-14T09:26:16+00:00
72	24.409835	121.302774	2227.9	gpx		2021-03-14T09:26:56+00:00
73	24.410462	121.302864	2243.2	gpx		2021-03-14T09:27:56+00:00
74	24.410949	121.303013	2231.9	gpx		2021-03-14T09:28:52+00:00
75	24.411364	121.302823	2236.4	gpx		2021-03-14T09:29:56+00:00
76	24.411670	121.302681	2245.7	gpx		2021-03-14T09:30:31+00:00
77	24.412259	121.302652	2241.1	gpx		2021-03-14T09:31:23+00:00
78	24.412566	121.302496	2244.2	gpx		2021-03-14T09:31:55+00:00
79	24.413164	121.302575	2241.5	gpx		2021-03-14T09:32:46+00:00
80	24.413419	121.302577	2249.8	gpx		2021-03-14T09:33:24+00:00
81(路標指示 4.3 k)	24.414028	121.302781	2338.0	comm	路標指示 4.3 k	2021-03-14T09:33:24+00:00
