順序	緯度	經度	海拔（約）	類型	名稱	時間
1	22.615088	120.702209	1202.0	gpx		2021-09-04T22:00:25+00:00
2(start)	22.615050	120.702220	1202.2	comm	start	2021-09-04T22:00:45.283883422+00:00
3	22.614958	120.701885	1203.7	gpx		2021-09-04T22:03:24+00:00
4	22.615205	120.701695	1236.0	gpx		2021-09-04T22:08:57+00:00
5	22.615405	120.701642	1247.5	gpx		2021-09-04T22:10:40+00:00
6	22.615677	120.701779	1253.6	gpx		2021-09-04T22:14:30+00:00
7	22.615880	120.701480	1253.7	gpx		2021-09-04T22:15:21+00:00
8	22.616116	120.701584	1253.9	gpx		2021-09-04T22:16:13+00:00
9	22.616251	120.701439	1254.0	gpx		2021-09-04T22:16:38+00:00
10	22.616275	120.701188	1254.1	gpx		2021-09-04T22:17:30+00:00
11	22.616550	120.701017	1301.0	gpx		2021-09-04T22:21:57+00:00
12	22.616439	120.700561	1281.3	gpx		2021-09-04T22:24:29+00:00
13	22.616764	120.700355	1284.4	gpx		2021-09-04T22:27:01+00:00
14	22.617318	120.700609	1286.9	gpx		2021-09-04T22:28:55+00:00
15	22.618166	120.701233	1295.1	gpx		2021-09-04T22:30:11+00:00
16	22.619461	120.701734	1309.4	gpx		2021-09-04T22:33:21+00:00
17	22.619619	120.701982	1312.4	gpx		2021-09-04T22:35:16+00:00
18	22.619485	120.701458	1315.7	gpx		2021-09-04T22:47:42+00:00
19	22.620426	120.701896	1344.7	gpx		2021-09-04T22:55:38+00:00
20	22.620730	120.702303	1360.9	gpx		2021-09-04T22:57:37+00:00
21	22.620792	120.702620	1376.0	gpx		2021-09-04T22:59:36+00:00
22	22.621032	120.702676	1387.0	gpx		2021-09-04T23:01:35+00:00
23	22.621214	120.702556	1397.3	gpx		2021-09-04T23:03:34+00:00
24	22.621729	120.702874	1415.5	gpx		2021-09-04T23:05:33+00:00
25	22.622546	120.705485	1434.2	gpx		2021-09-04T23:10:23+00:00
26	22.623720	120.706189	1433.9	gpx		2021-09-04T23:11:06+00:00
27	22.623856	120.706697	1436.1	gpx		2021-09-04T23:11:49+00:00
28	22.624200	120.707074	1437.6	gpx		2021-09-04T23:13:15+00:00
29	22.624323	120.707581	1438.0	gpx		2021-09-04T23:15:24+00:00
30	22.624844	120.707748	1440.2	gpx		2021-09-04T23:18:58+00:00
31	22.624675	120.708718	1449.2	gpx		2021-09-04T23:24:42+00:00
32	22.624932	120.709112	1460.6	gpx		2021-09-04T23:28:16+00:00
33	22.624794	120.710199	1477.9	gpx		2021-09-04T23:31:08+00:00
34	22.624925	120.710606	1484.9	gpx		2021-09-04T23:34:00+00:00
35	22.623903	120.711130	1488.9	gpx		2021-09-04T23:37:34+00:00
36	22.624322	120.711856	1487.3	gpx		2021-09-04T23:39:43+00:00
37	22.623795	120.712828	1491.0	gpx		2021-09-04T23:44:43+00:00
38	22.623984	120.713167	1492.8	gpx		2021-09-04T23:46:52+00:00
39	22.623957	120.713540	1494.4	gpx		2021-09-04T23:49:01+00:00
40	22.624145	120.713690	1495.3	gpx		2021-09-04T23:50:27+00:00
41	22.624361	120.714203	1497.5	gpx		2021-09-04T23:52:36+00:00
42(comm)	22.624500	120.714500	1497.5	comm	comm	2021-09-04T23:52:36+00:00
43	22.624406	120.714921	1498.0	gpx		2021-09-04T23:56:10+00:00
44	22.624693	120.715078	1498.0	gpx		2021-09-04T23:56:53+00:00
45	22.624550	120.715505	1499.2	gpx		2021-09-04T23:59:02+00:00
46	22.624323	120.715595	1500.9	gpx		2021-09-04T23:59:45+00:00
47	22.624235	120.715995	1505.6	gpx		2021-09-05T00:00:28+00:00
48	22.624406	120.716172	1508.7	gpx		2021-09-05T00:01:53+00:00
49	22.624397	120.716434	1512.8	gpx		2021-09-05T00:03:19+00:00
50	22.623824	120.717122	1533.4	gpx		2021-09-05T00:06:54+00:00
51	22.623446	120.717382	1544.8	gpx		2021-09-05T00:09:03+00:00
52	22.623467	120.717730	1552.4	gpx		2021-09-05T00:11:11+00:00
53	22.622927	120.718777	1594.8	gpx		2021-09-05T00:17:47+00:00
54	22.621794	120.719720	1604.1	gpx		2021-09-05T00:26:29+00:00
55	22.620767	120.719769	1591.7	gpx		2021-09-05T00:28:58+00:00
56	22.620363	120.719953	1579.0	gpx		2021-09-05T00:31:27+00:00
57	22.620062	120.719868	1570.2	gpx		2021-09-05T00:32:42+00:00
58	22.619715	120.720103	1561.4	gpx		2021-09-05T00:33:57+00:00
59	22.618615	120.721561	1561.7	gpx		2021-09-05T00:35:11+00:00
60	22.618130	120.721843	1561.9	gpx		2021-09-05T00:37:40+00:00
61	22.617746	120.722332	1569.0	gpx		2021-09-05T00:40:10+00:00
62	22.617414	120.723169	1591.7	gpx		2021-09-05T00:43:53+00:00
63	22.616765	120.724182	1626.1	gpx		2021-09-05T00:46:23+00:00
64	22.615768	120.724745	1636.0	gpx		2021-09-05T00:48:52+00:00
65	22.615667	120.724922	1642.3	gpx		2021-09-05T00:52:36+00:00
66	22.615142	120.724867	1653.9	gpx		2021-09-05T00:55:05+00:00
67	22.615101	120.724985	1656.4	gpx		2021-09-05T00:56:20+00:00
68	22.615294	120.725274	1663.7	gpx		2021-09-05T00:57:34+00:00
69	22.615803	120.725402	1671.9	gpx		2021-09-05T01:02:33+00:00
70	22.615998	120.725581	1673.9	gpx		2021-09-05T01:05:02+00:00
71	22.616233	120.725996	1677.2	gpx		2021-09-05T01:07:31+00:00
72	22.616233	120.726336	1679.2	gpx		2021-09-05T01:08:46+00:00
73(comm)	22.616350	120.726560	1679.2	comm	comm	2021-09-05T01:08:46+00:00
74	22.616565	120.726885	1695.9	gpx		2021-09-05T01:11:15+00:00
75	22.616550	120.727080	1706.8	gpx		2021-09-05T01:13:44+00:00
76	22.616889	120.727424	1735.9	gpx		2021-09-05T01:14:59+00:00
77	22.616964	120.727771	1752.3	gpx		2021-09-05T01:17:28+00:00
78	22.617617	120.728680	1786.5	gpx		2021-09-05T01:21:12+00:00
79	22.617977	120.730038	1772.0	gpx		2021-09-05T01:27:25+00:00
80	22.617642	120.731872	1768.2	gpx		2021-09-05T01:37:21+00:00
81	22.617168	120.732803	1770.7	gpx		2021-09-05T01:42:20+00:00
82	22.616526	120.733148	1775.5	gpx		2021-09-05T01:44:49+00:00
83	22.616358	120.733832	1781.2	gpx		2021-09-05T01:51:02+00:00
84	22.616428	120.734366	1789.0	gpx		2021-09-05T01:53:31+00:00
85	22.615731	120.735039	1810.2	gpx		2021-09-05T01:58:30+00:00
86	22.615790	120.735780	1840.2	gpx		2021-09-05T02:02:13+00:00
87	22.615669	120.736270	1864.2	gpx		2021-09-05T02:04:43+00:00
88	22.615826	120.736583	1885.9	gpx		2021-09-05T02:10:56+00:00
89	22.615669	120.736583	1890.0	gpx		2021-09-05T02:12:10+00:00
90	22.615606	120.736769	1896.8	gpx		2021-09-05T02:14:39+00:00
91	22.615652	120.737114	1905.3	gpx		2021-09-05T02:18:23+00:00
92	22.615325	120.737049	1913.3	gpx		2021-09-05T02:22:07+00:00
93	22.615239	120.737131	1918.3	gpx		2021-09-05T02:24:36+00:00
94	22.615348	120.737370	1927.6	gpx		2021-09-05T02:29:35+00:00
95	22.615177	120.737470	1933.3	gpx		2021-09-05T02:33:18+00:00
96	22.615205	120.737965	1940.7	gpx		2021-09-05T02:38:17+00:00
97	22.614807	120.738215	1947.5	gpx		2021-09-05T02:40:46+00:00
98	22.614941	120.738351	1950.8	gpx		2021-09-05T02:42:01+00:00
99	22.614652	120.738955	1987.4	gpx		2021-09-05T02:52:49+00:00
100	22.614597	120.739715	2000.3	gpx		2021-09-05T02:56:39+00:00
101	22.614665	120.740254	2008.6	gpx		2021-09-05T03:02:24+00:00
102	22.615116	120.741212	2052.7	gpx		2021-09-05T03:10:03+00:00
103(cabin)	22.615260	120.742090	2098.2	comm	cabin	2021-09-05T03:15:09.288746459+00:00
104	22.615284	120.742200	2103.9	gpx		2021-09-05T03:15:48+00:00
105	22.615284	120.742200	2139.5	gpx		2021-09-05T22:01:44+00:00
106	22.615116	120.741212	2125.2	gpx		2021-09-05T22:06:59+00:00
107	22.614665	120.740254	2112.3	gpx		2021-09-05T22:13:58+00:00
108	22.614658	120.741309	2095.3	gpx		2021-09-05T22:19:12+00:00
109	22.614431	120.741522	2098.5	gpx		2021-09-05T22:20:57+00:00
110	22.614531	120.742248	2128.4	gpx		2021-09-05T22:24:27+00:00
111	22.613680	120.742493	2185.1	gpx		2021-09-05T22:27:56+00:00
112	22.613673	120.742893	2201.3	gpx		2021-09-05T22:31:26+00:00
113	22.613325	120.742896	2213.7	gpx		2021-09-05T22:34:56+00:00
114	22.613059	120.743093	2223.7	gpx		2021-09-05T22:36:40+00:00
115	22.613034	120.743446	2232.1	gpx		2021-09-05T22:40:10+00:00
116	22.612669	120.743643	2240.9	gpx		2021-09-05T22:45:24+00:00
117	22.612530	120.743887	2247.4	gpx		2021-09-05T22:47:09+00:00
118	22.612393	120.744282	2260.7	gpx		2021-09-05T22:48:54+00:00
119	22.612439	120.745151	2287.7	gpx		2021-09-05T22:55:53+00:00
120	22.612654	120.745494	2310.0	gpx		2021-09-05T22:59:23+00:00
121	22.612499	120.746042	2333.3	gpx		2021-09-05T23:06:22+00:00
122	22.613635	120.747171	2402.0	gpx		2021-09-05T23:15:06+00:00
123	22.614277	120.747492	2433.0	gpx		2021-09-05T23:20:21+00:00
124(comm)	22.614250	120.747800	2451.6	comm	comm	2021-09-05T23:24:56.065397987+00:00
125	22.614314	120.747843	2454.2	gpx		2021-09-05T23:25:35+00:00
126	22.614767	120.748047	2476.1	gpx		2021-09-05T23:27:20+00:00
127	22.614784	120.748346	2484.3	gpx		2021-09-05T23:29:05+00:00
128	22.615110	120.748611	2491.7	gpx		2021-09-05T23:30:49+00:00
129	22.615073	120.748970	2497.1	gpx		2021-09-05T23:32:34+00:00
130	22.614785	120.748771	2500.4	gpx		2021-09-05T23:34:19+00:00
131	22.614586	120.749825	2520.0	gpx		2021-09-05T23:50:02+00:00
132	22.614877	120.750921	2550.5	gpx		2021-09-06T00:00:31+00:00
133	22.614901	120.751543	2575.8	gpx		2021-09-06T00:05:46+00:00
134	22.615300	120.751919	2602.0	gpx		2021-09-06T00:11:00+00:00
135	22.616176	120.752076	2668.0	gpx		2021-09-06T00:16:14+00:00
136	22.616698	120.752627	2708.6	gpx		2021-09-06T00:23:14+00:00
137	22.617110	120.752630	2728.6	gpx		2021-09-06T00:26:43+00:00
138	22.617861	120.752316	2749.8	gpx		2021-09-06T00:31:58+00:00
139	22.617325	120.753359	2766.6	gpx		2021-09-06T00:38:57+00:00
140	22.617304	120.753444	2768.6	gpx		2021-09-06T00:40:42+00:00
141	22.617613	120.753307	2774.1	gpx		2021-09-06T00:44:11+00:00
142	22.617656	120.753385	2777.8	gpx		2021-09-06T00:47:41+00:00
143	22.617536	120.753939	2796.5	gpx		2021-09-06T00:58:10+00:00
144	22.617289	120.754112	2806.0	gpx		2021-09-06T01:03:24+00:00
145	22.617398	120.754261	2809.2	gpx		2021-09-06T01:05:09+00:00
146	22.617181	120.754339	2817.1	gpx		2021-09-06T01:10:23+00:00
147	22.616816	120.754109	2824.9	gpx		2021-09-06T01:13:53+00:00
148	22.616270	120.754321	2833.9	gpx		2021-09-06T01:17:23+00:00
149	22.617211	120.754759	2838.5	gpx		2021-09-06T01:20:52+00:00
150	22.617915	120.755217	2852.6	gpx		2021-09-06T01:24:22+00:00
151	22.618087	120.755504	2857.6	gpx		2021-09-06T01:29:36+00:00
152	22.617997	120.755300	2860.8	gpx		2021-09-06T01:33:06+00:00
153	22.619105	120.756017	2877.7	gpx		2021-09-06T01:38:20+00:00
154	22.620253	120.756514	2909.1	gpx		2021-09-06T01:41:50+00:00
155	22.620517	120.756888	2921.2	gpx		2021-09-06T01:45:20+00:00
156	22.621481	120.757019	2945.8	gpx		2021-09-06T01:52:13+00:00
157	22.622206	120.757289	2942.3	gpx		2021-09-06T01:55:36+00:00
158	22.623093	120.757846	2933.5	gpx		2021-09-06T01:57:18+00:00
159	22.624196	120.759212	2934.1	gpx		2021-09-06T02:02:23+00:00
160	22.624434	120.759903	2937.6	gpx		2021-09-06T02:05:46+00:00
