順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.199222	121.015773	1027.0	gpx		2025-06-24T00:00:00+00:00
2	24.199412	121.015935	1027.0	gpx		2025-06-24T00:01:23+00:00
3	24.199677	121.016329	1038.6	gpx		2025-06-24T00:04:10+00:00
4	24.199958	121.016429	1033.4	gpx		2025-06-24T00:06:57+00:00
5	24.200216	121.016713	1042.5	gpx		2025-06-24T00:09:45+00:00
6	24.200377	121.016662	1045.0	gpx		2025-06-24T00:11:08+00:00
7	24.200420	121.016778	1070.0	gpx		2025-06-24T00:12:32+00:00
8	24.199855	121.017323	1055.6	gpx		2025-06-24T00:13:55+00:00
9	24.198976	121.018009	1052.7	gpx		2025-06-24T00:15:19+00:00
10	24.198645	121.018101	1052.0	gpx		2025-06-24T00:18:06+00:00
11	24.199181	121.019679	1092.0	gpx		2025-06-24T00:22:17+00:00
12	24.199302	121.019708	1100.7	gpx		2025-06-24T00:23:40+00:00
13	24.199491	121.019875	1098.7	gpx		2025-06-24T00:26:28+00:00
14	24.199958	121.019581	1136.0	gpx		2025-06-24T00:30:38+00:00
15	24.200003	121.019629	1155.9	gpx		2025-06-24T00:32:02+00:00
16	24.199948	121.019866	1154.8	gpx		2025-06-24T00:34:49+00:00
17	24.199405	121.020799	1166.9	gpx		2025-06-24T00:37:36+00:00
18	24.199258	121.021300	1184.5	gpx		2025-06-24T00:41:47+00:00
19	24.199118	121.021443	1187.0	gpx		2025-06-24T00:44:34+00:00
20	24.199255	121.021593	1191.8	gpx		2025-06-24T00:47:21+00:00
21	24.199547	121.021650	1193.0	gpx		2025-06-24T00:50:09+00:00
22	24.199619	121.021642	1193.3	gpx		2025-06-24T00:51:32+00:00
23	24.199705	121.021445	1190.0	gpx		2025-06-24T00:52:56+00:00
24	24.199761	121.021482	1191.7	gpx		2025-06-24T00:54:19+00:00
25	24.199761	121.021657	1195.7	gpx		2025-06-24T00:55:43+00:00
26	24.199898	121.022043	1206.6	gpx		2025-06-24T00:57:07+00:00
27	24.199812	121.022215	1209.1	gpx		2025-06-24T00:59:54+00:00
28	24.199898	121.022258	1210.2	gpx		2025-06-24T01:02:41+00:00
29	24.200113	121.021957	1209.2	gpx		2025-06-24T01:05:28+00:00
30	24.200242	121.021335	1189.0	gpx		2025-06-24T01:08:15+00:00
31	24.200392	121.021121	1185.8	gpx		2025-06-24T01:11:02+00:00
32	24.200370	121.021721	1206.6	gpx		2025-06-24T01:12:26+00:00
33	24.200435	121.022172	1211.7	gpx		2025-06-24T01:13:50+00:00
34	24.200563	121.022558	1211.5	gpx		2025-06-24T01:15:13+00:00
35	24.200671	121.022687	1232.8	gpx		2025-06-24T01:16:37+00:00
36	24.200692	121.022859	1245.4	gpx		2025-06-24T01:18:00+00:00
37	24.200907	121.022987	1272.3	gpx		2025-06-24T01:20:48+00:00
38	24.200950	121.023374	1285.3	gpx		2025-06-24T01:23:35+00:00
39	24.201207	121.024082	1320.6	gpx		2025-06-24T01:24:58+00:00
40	24.201422	121.024275	1319.1	gpx		2025-06-24T01:27:45+00:00
41	24.201658	121.024211	1316.9	gpx		2025-06-24T01:29:09+00:00
42	24.201937	121.024275	1312.5	gpx		2025-06-24T01:31:56+00:00
43	24.202087	121.024489	1305.2	gpx		2025-06-24T01:34:43+00:00
44	24.202023	121.024725	1298.4	gpx		2025-06-24T01:37:31+00:00
45	24.201336	121.025198	1316.4	gpx		2025-06-24T01:40:18+00:00
46	24.201229	121.024983	1323.7	gpx		2025-06-24T01:44:29+00:00
47	24.200842	121.025004	1328.3	gpx		2025-06-24T01:45:52+00:00
48	24.200649	121.024897	1364.1	gpx		2025-06-24T01:47:16+00:00
49	24.200220	121.024940	1363.1	gpx		2025-06-24T01:48:39+00:00
50	24.200027	121.024897	1363.2	gpx		2025-06-24T01:50:03+00:00
51	24.199512	121.024661	1361.0	gpx		2025-06-24T01:52:50+00:00
52	24.199255	121.024425	1360.3	gpx		2025-06-24T01:54:14+00:00
53	24.199190	121.024575	1359.6	gpx		2025-06-24T01:58:24+00:00
54	24.199061	121.024468	1360.1	gpx		2025-06-24T01:59:48+00:00
55	24.198782	121.024447	1360.0	gpx		2025-06-24T02:01:12+00:00
56	24.198268	121.024253	1360.6	gpx		2025-06-24T02:02:35+00:00
57	24.197903	121.024318	1364.1	gpx		2025-06-24T02:05:22+00:00
58	24.197624	121.024275	1371.9	gpx		2025-06-24T02:09:33+00:00
59	24.197023	121.024532	1380.4	gpx		2025-06-24T02:10:57+00:00
60	24.196873	121.024532	1383.0	gpx		2025-06-24T02:12:20+00:00
61	24.196487	121.024447	1391.9	gpx		2025-06-24T02:16:31+00:00
62	24.196293	121.024275	1394.5	gpx		2025-06-24T02:17:55+00:00
63	24.195950	121.024361	1395.1	gpx		2025-06-24T02:20:42+00:00
64	24.195821	121.024318	1394.5	gpx		2025-06-24T02:22:05+00:00
65	24.195349	121.023803	1408.5	gpx		2025-06-24T02:26:16+00:00
66	24.195070	121.023696	1415.8	gpx		2025-06-24T02:29:03+00:00
67	24.193976	121.023696	1440.5	gpx		2025-06-24T02:34:38+00:00
68	24.193676	121.023760	1442.2	gpx		2025-06-24T02:37:25+00:00
69	24.193568	121.023738	1445.1	gpx		2025-06-24T02:38:48+00:00
70	24.193418	121.023545	1448.6	gpx		2025-06-24T02:41:36+00:00
71	24.192989	121.023266	1455.5	gpx		2025-06-24T02:44:23+00:00
72	24.192689	121.023288	1460.9	gpx		2025-06-24T02:45:46+00:00
73	24.191904	121.023391	1472.0	gpx		2025-06-24T02:48:34+00:00
74	24.191853	121.023630	1444.7	gpx		2025-06-24T02:49:57+00:00
75	24.191618	121.023865	1450.5	gpx		2025-06-24T02:52:44+00:00
76	24.191516	121.024144	1455.3	gpx		2025-06-24T02:54:08+00:00
77	24.191600	121.024177	1460.3	gpx		2025-06-24T02:55:31+00:00
78	24.191594	121.024266	1459.4	gpx		2025-06-24T02:56:55+00:00
79	24.191462	121.024562	1458.4	gpx		2025-06-24T02:58:19+00:00
80	24.190993	121.024801	1484.8	gpx		2025-06-24T03:01:06+00:00
81	24.190993	121.025026	1497.8	gpx		2025-06-24T03:03:53+00:00
82	24.190831	121.025125	1501.0	gpx		2025-06-24T03:05:17+00:00
83	24.190477	121.025923	1517.1	gpx		2025-06-24T03:06:40+00:00
84	24.190376	121.026023	1511.7	gpx		2025-06-24T03:08:04+00:00
85	24.190166	121.026026	1519.6	gpx		2025-06-24T03:12:15+00:00
86	24.189884	121.026126	1520.7	gpx		2025-06-24T03:13:38+00:00
87	24.189756	121.026067	1517.2	gpx		2025-06-24T03:15:02+00:00
88	24.189663	121.026205	1520.3	gpx		2025-06-24T03:16:25+00:00
89	24.189275	121.025994	1501.7	gpx		2025-06-24T03:19:12+00:00
90	24.189096	121.025971	1503.3	gpx		2025-06-24T03:20:36+00:00
91	24.189006	121.026091	1505.4	gpx		2025-06-24T03:22:00+00:00
92	24.189226	121.026576	1526.4	gpx		2025-06-24T03:26:10+00:00
93	24.189233	121.026745	1532.9	gpx		2025-06-24T03:27:34+00:00
94	24.189380	121.026598	1535.4	gpx		2025-06-24T03:28:58+00:00
95	24.189520	121.026888	1542.1	gpx		2025-06-24T03:33:08+00:00
96	24.189487	121.027006	1546.2	gpx		2025-06-24T03:34:32+00:00
97	24.189727	121.027071	1549.8	gpx		2025-06-24T03:35:55+00:00
98	24.190003	121.027350	1575.8	gpx		2025-06-24T03:37:19+00:00
99	24.190128	121.027405	1579.1	gpx		2025-06-24T03:38:43+00:00
100	24.190299	121.027360	1579.1	gpx		2025-06-24T03:40:06+00:00
101	24.190317	121.027468	1580.0	gpx		2025-06-24T03:41:30+00:00
102	24.190732	121.027559	1629.1	gpx		2025-06-24T03:42:53+00:00
103	24.190829	121.027689	1636.4	gpx		2025-06-24T03:45:41+00:00
104	24.190951	121.027650	1637.8	gpx		2025-06-24T03:47:04+00:00
105	24.191226	121.027764	1654.7	gpx		2025-06-24T03:48:28+00:00
106	24.191318	121.027919	1682.7	gpx		2025-06-24T03:49:51+00:00
107	24.191662	121.027696	1695.4	gpx		2025-06-24T03:52:39+00:00
108	24.191635	121.028166	1705.7	gpx		2025-06-24T03:55:26+00:00
109	24.191727	121.028507	1703.2	gpx		2025-06-24T03:56:49+00:00
110	24.191718	121.029064	1722.6	gpx		2025-06-24T03:58:13+00:00
111	24.191796	121.029190	1733.9	gpx		2025-06-24T03:59:36+00:00
112	24.191896	121.028927	1711.1	gpx		2025-06-24T04:01:00+00:00
113	24.192003	121.028833	1708.3	gpx		2025-06-24T04:02:24+00:00
114	24.192032	121.028630	1745.0	gpx		2025-06-24T04:05:11+00:00
115	24.192283	121.028039	1745.2	gpx		2025-06-24T04:07:58+00:00
116	24.192415	121.027850	1745.2	gpx		2025-06-24T04:09:22+00:00
117	24.192548	121.027763	1745.2	gpx		2025-06-24T04:10:45+00:00
118	24.192574	121.027841	1745.2	gpx		2025-06-24T04:13:32+00:00
119	24.192767	121.027736	1745.3	gpx		2025-06-24T04:14:56+00:00
120	24.192754	121.027945	1748.3	gpx		2025-06-24T04:16:20+00:00
121	24.192995	121.027787	1748.5	gpx		2025-06-24T04:17:43+00:00
