順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.428285	121.266831	3509.0	gpx		2021-04-04T23:11:40+00:00
2(山頂)	24.428200	121.266800	3524.0	comm	山頂	2021-04-04T23:13:26.871081732+00:00
3	24.427748	121.268052	3462.7	gpx		2021-04-04T23:37:50+00:00
4	24.427799	121.268606	3432.4	gpx		2021-04-04T23:42:44+00:00
5	24.427657	121.269032	3423.7	gpx		2021-04-04T23:49:36+00:00
6	24.427641	121.268939	3429.0	gpx		2021-04-04T23:52:10+00:00
7	24.427635	121.269209	3427.8	gpx		2021-04-04T23:57:29+00:00
8	24.427625	121.269130	3428.1	gpx		2021-04-04T23:58:10+00:00
9	24.427466	121.269318	3428.1	gpx		2021-04-05T00:01:24+00:00
10	24.427365	121.269646	3420.0	gpx		2021-04-05T00:04:06+00:00
11	24.427618	121.270030	3413.3	gpx		2021-04-05T00:05:38+00:00
12	24.427729	121.270171	3412.5	gpx		2021-04-05T00:06:00+00:00
13	24.428497	121.270268	3403.0	gpx		2021-04-05T00:08:18+00:00
14	24.429147	121.270962	3402.3	gpx		2021-04-05T00:10:44+00:00
15	24.429762	121.271689	3393.8	gpx		2021-04-05T00:13:23+00:00
16	24.429906	121.271775	3384.4	gpx		2021-04-05T00:14:04+00:00
17	24.430082	121.272623	3351.9	gpx		2021-04-05T00:17:04+00:00
18	24.430194	121.273613	3332.1	gpx		2021-04-05T00:19:56+00:00
19	24.429964	121.274569	3311.9	gpx		2021-04-05T00:21:48+00:00
20	24.429868	121.275183	3301.3	gpx		2021-04-05T00:22:54+00:00
21	24.429667	121.275510	3291.2	gpx		2021-04-05T00:23:35+00:00
22	24.429422	121.275949	3280.2	gpx		2021-04-05T00:25:02+00:00
23	24.429391	121.276456	3260.2	gpx		2021-04-05T00:27:20+00:00
24	24.429356	121.276742	3249.6	gpx		2021-04-05T00:28:30+00:00
25	24.429519	121.276885	3241.5	gpx		2021-04-05T00:29:48+00:00
26	24.429634	121.277411	3212.4	gpx		2021-04-05T00:32:08+00:00
27	24.429865	121.278389	3181.9	gpx		2021-04-05T00:35:24+00:00
28	24.429994	121.278694	3176.0	gpx		2021-04-05T00:35:58+00:00
29	24.429949	121.278880	3174.1	gpx		2021-04-05T00:36:36+00:00
30	24.429860	121.278812	3174.7	gpx		2021-04-05T00:36:44+00:00
31	24.429998	121.278772	3172.7	gpx		2021-04-05T00:37:06+00:00
32	24.429861	121.279071	3174.9	gpx		2021-04-05T00:44:14+00:00
33	24.429986	121.278289	3174.7	gpx		2021-04-05T00:44:22+00:00
34	24.430003	121.278928	3164.0	gpx		2021-04-05T00:58:07+00:00
35	24.430019	121.278952	3173.7	gpx		2021-04-05T02:05:22+00:00
36	24.430027	121.278869	3171.4	gpx		2021-04-05T02:05:45+00:00
37	24.430175	121.279553	3165.0	gpx		2021-04-05T02:07:32+00:00
38	24.430102	121.279939	3163.6	gpx		2021-04-05T02:08:20+00:00
39	24.430284	121.280254	3167.0	gpx		2021-04-05T02:09:26+00:00
40	24.430311	121.280185	3166.6	gpx		2021-04-05T02:16:04+00:00
41	24.430373	121.280887	3163.7	gpx		2021-04-05T02:21:04+00:00
42	24.430284	121.281041	3162.0	gpx		2021-04-05T02:21:26+00:00
43	24.430414	121.281385	3162.8	gpx		2021-04-05T02:22:02+00:00
44	24.430137	121.281850	3162.2	gpx		2021-04-05T02:23:06+00:00
45	24.430122	121.282251	3163.8	gpx		2021-04-05T02:24:18+00:00
46	24.430481	121.282430	3170.1	gpx		2021-04-05T02:25:22+00:00
47	24.430450	121.282786	3170.3	gpx		2021-04-05T02:26:26+00:00
48	24.430706	121.283334	3173.3	gpx		2021-04-05T02:27:28+00:00
49	24.430724	121.283727	3180.4	gpx		2021-04-05T02:28:54+00:00
50	24.430582	121.284039	3186.8	gpx		2021-04-05T02:29:49+00:00
51	24.430719	121.284722	3220.7	gpx		2021-04-05T02:35:18+00:00
52	24.430867	121.285074	3231.6	gpx		2021-04-05T02:38:18+00:00
53	24.430648	121.285711	3240.2	gpx		2021-04-05T02:44:58+00:00
54	24.430715	121.286040	3239.8	gpx		2021-04-05T02:47:22+00:00
55	24.430536	121.286693	3229.7	gpx		2021-04-05T02:55:52+00:00
56	24.430425	121.286964	3229.4	gpx		2021-04-05T02:59:14+00:00
57(山頂)	24.431111	121.288150	3303.0	comm	山頂	2021-04-05T02:59:14+00:00
58	24.430177	121.286991	3216.6	gpx		2021-04-05T03:05:37+00:00
59	24.429915	121.287416	3200.8	gpx		2021-04-05T03:14:38+00:00
60	24.429470	121.288124	3208.0	gpx		2021-04-05T03:20:52+00:00
61	24.429581	121.288315	3217.0	gpx		2021-04-05T03:21:52+00:00
62	24.429575	121.288331	3220.8	gpx		2021-04-05T03:22:11+00:00
63	24.429558	121.288329	3220.3	gpx		2021-04-05T03:22:29+00:00
64	24.429743	121.289287	3218.9	gpx		2021-04-05T03:27:56+00:00
65	24.430020	121.290242	3226.4	gpx		2021-04-05T03:33:54+00:00
66	24.429945	121.290928	3232.6	gpx		2021-04-05T03:36:18+00:00
67	24.429697	121.291019	3215.1	gpx		2021-04-05T03:37:24+00:00
68	24.429569	121.290861	3212.6	gpx		2021-04-05T03:40:00+00:00
69	24.429429	121.290991	3204.1	gpx		2021-04-05T03:41:16+00:00
70	24.429081	121.291357	3184.3	gpx		2021-04-05T03:44:08+00:00
71	24.428637	121.291478	3153.1	gpx		2021-04-05T03:47:52+00:00
72	24.428633	121.291564	3150.9	gpx		2021-04-05T03:48:03+00:00
73	24.428520	121.291490	3140.6	gpx		2021-04-05T03:49:26+00:00
74	24.427949	121.291605	3115.9	gpx		2021-04-05T03:53:40+00:00
75	24.427803	121.291864	3105.3	gpx		2021-04-05T03:54:44+00:00
76	24.427462	121.292310	3085.8	gpx		2021-04-05T03:58:48+00:00
77	24.427074	121.292446	3067.2	gpx		2021-04-05T04:02:28+00:00
