順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.177656	121.244575	3121.1	gpx		2021-09-07T02:12:12+00:00
2(peak)	24.177656	121.244575	3121.1	comm	peak	2021-09-07T02:12:12+00:00
3	24.177817	121.245518	3120.7	gpx		2021-09-07T02:14:55+00:00
4	24.177559	121.245928	3122.2	gpx		2021-09-07T02:17:36+00:00
5	24.177550	121.246510	3124.0	gpx		2021-09-07T02:20:00+00:00
6	24.177351	121.246760	3125.1	gpx		2021-09-07T02:21:13+00:00
7	24.175945	121.247483	3134.9	gpx		2021-09-07T02:26:38+00:00
8	24.175208	121.249028	3159.4	gpx		2021-09-07T02:30:51+00:00
9	24.175302	121.249527	3167.1	gpx		2021-09-07T02:33:52+00:00
10	24.175220	121.249950	3171.6	gpx		2021-09-07T02:35:40+00:00
11	24.175628	121.250900	3176.8	gpx		2021-09-07T02:37:28+00:00
12	24.175613	121.251624	3179.6	gpx		2021-09-07T02:40:29+00:00
13	24.176265	121.252460	3192.2	gpx		2021-09-07T02:46:38+00:00
14	24.177626	121.253464	3181.5	gpx		2021-09-07T02:49:17+00:00
15	24.178211	121.254105	3163.2	gpx		2021-09-07T02:51:56+00:00
16	24.178432	121.255255	3145.9	gpx		2021-09-07T02:55:54+00:00
17	24.178925	121.255632	3145.5	gpx		2021-09-07T02:57:41+00:00
18	24.179267	121.256467	3145.7	gpx		2021-09-07T02:59:27+00:00
19	24.179299	121.257380	3143.3	gpx		2021-09-07T03:02:32+00:00
20	24.179145	121.257781	3141.4	gpx		2021-09-07T03:02:59+00:00
21	24.179245	121.258249	3139.0	gpx		2021-09-07T03:03:25+00:00
22	24.179460	121.258484	3137.1	gpx		2021-09-07T03:03:52+00:00
23	24.179541	121.258901	3134.9	gpx		2021-09-07T03:05:11+00:00
24	24.179918	121.259368	3130.4	gpx		2021-09-07T03:06:31+00:00
25	24.179515	121.259819	3126.8	gpx		2021-09-07T03:07:50+00:00
26	24.179330	121.260655	3122.7	gpx		2021-09-07T03:10:56+00:00
27	24.179359	121.261252	3119.2	gpx		2021-09-07T03:12:42+00:00
28	24.178340	121.263056	3115.1	gpx		2021-09-07T03:22:07+00:00
29(西合歡山步道4.2K)	24.178300	121.263400	3115.1	comm	西合歡山步道4.2K	2021-09-07T03:22:07+00:00
30	24.178218	121.263854	3121.2	gpx		2021-09-07T03:25:32+00:00
31	24.178375	121.264543	3126.7	gpx		2021-09-07T03:28:05+00:00
