順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.202724	121.108951	3284.6	gpx		2025-06-25T03:33:11+00:00
2(peak)	24.202724	121.108951	3284.6	comm	peak	2025-06-25T03:33:11+00:00
3	24.202354	121.108702	3267.0	gpx		2025-06-25T03:39:12+00:00
4	24.202102	121.108319	3261.2	gpx		2025-06-25T03:41:42+00:00
5	24.201784	121.108080	3258.5	gpx		2025-06-25T03:44:13+00:00
6	24.201715	121.107948	3256.6	gpx		2025-06-25T03:45:28+00:00
7	24.201589	121.108051	3256.9	gpx		2025-06-25T03:47:59+00:00
8	24.201051	121.108047	3248.2	gpx		2025-06-25T03:51:45+00:00
9	24.200683	121.108181	3235.6	gpx		2025-06-25T03:53:01+00:00
10	24.200331	121.108030	3229.5	gpx		2025-06-25T03:56:47+00:00
11	24.200205	121.107842	3224.8	gpx		2025-06-25T03:58:02+00:00
12	24.200109	121.107812	3223.3	gpx		2025-06-25T03:59:18+00:00
13	24.199843	121.107942	3215.0	gpx		2025-06-25T04:01:48+00:00
14	24.199798	121.108065	3216.0	gpx		2025-06-25T04:03:04+00:00
15	24.199377	121.108400	3159.0	gpx		2025-06-25T04:05:35+00:00
16	24.199047	121.108515	3159.0	gpx		2025-06-25T04:06:50+00:00
17	24.198985	121.108688	3159.0	gpx		2025-06-25T04:08:05+00:00
18	24.198780	121.108839	3159.0	gpx		2025-06-25T04:09:21+00:00
19	24.198602	121.109180	3153.6	gpx		2025-06-25T04:10:36+00:00
20	24.198555	121.110235	3132.8	gpx		2025-06-25T04:16:53+00:00
21	24.198350	121.110620	3129.7	gpx		2025-06-25T04:19:24+00:00
22	24.198361	121.110845	3127.1	gpx		2025-06-25T04:21:54+00:00
23	24.198222	121.111388	3125.4	gpx		2025-06-25T04:28:11+00:00
24	24.197897	121.111953	3107.2	gpx		2025-06-25T04:30:42+00:00
25	24.197836	121.112176	3096.0	gpx		2025-06-25T04:31:57+00:00
26	24.197207	121.113063	3067.8	gpx		2025-06-25T04:35:44+00:00
27	24.197559	121.113718	3045.4	gpx		2025-06-25T04:36:59+00:00
28	24.197544	121.114172	3036.3	gpx		2025-06-25T04:39:30+00:00
29	24.197360	121.114643	3017.9	gpx		2025-06-25T04:40:45+00:00
30	24.197392	121.115131	3004.9	gpx		2025-06-25T04:42:00+00:00
31	24.197559	121.115466	2983.5	gpx		2025-06-25T04:43:16+00:00
32	24.197513	121.115987	2976.5	gpx		2025-06-25T04:44:31+00:00
33	24.197713	121.116324	2969.0	gpx		2025-06-25T04:45:47+00:00
34	24.197542	121.116767	2889.0	gpx		2025-06-25T04:48:17+00:00
35	24.197715	121.117155	2909.5	gpx		2025-06-25T04:49:33+00:00
36	24.197909	121.117872	2898.8	gpx		2025-06-25T04:52:03+00:00
37	24.197891	121.118078	2890.7	gpx		2025-06-25T04:53:19+00:00
38	24.197636	121.118727	2884.7	gpx		2025-06-25T04:54:34+00:00
39	24.197667	121.118912	2884.4	gpx		2025-06-25T04:55:50+00:00
40	24.197575	121.119097	2884.2	gpx		2025-06-25T04:57:05+00:00
41	24.197605	121.119484	2883.2	gpx		2025-06-25T04:58:20+00:00
42	24.197805	121.120122	2866.7	gpx		2025-06-25T05:00:51+00:00
43	24.197636	121.121047	2833.8	gpx		2025-06-25T05:02:06+00:00
44	24.197314	121.121450	2818.9	gpx		2025-06-25T05:03:22+00:00
45	24.197283	121.121635	2810.2	gpx		2025-06-25T05:04:37+00:00
46	24.196823	121.122660	2803.3	gpx		2025-06-25T05:07:08+00:00
47	24.196847	121.122952	2800.5	gpx		2025-06-25T05:08:23+00:00
48	24.197081	121.123277	2799.3	gpx		2025-06-25T05:09:39+00:00
49	24.197161	121.123585	2808.5	gpx		2025-06-25T05:10:54+00:00
50	24.197200	121.124281	2822.6	gpx		2025-06-25T05:12:09+00:00
51	24.197362	121.124997	2849.8	gpx		2025-06-25T05:14:40+00:00
52	24.197305	121.125428	2856.7	gpx		2025-06-25T05:15:56+00:00
53	24.197441	121.126304	2923.8	gpx		2025-06-25T05:17:11+00:00
54	24.197066	121.127496	2971.7	gpx		2025-06-25T05:22:13+00:00
55	24.196848	121.127690	2973.9	gpx		2025-06-25T05:24:43+00:00
56	24.196826	121.127963	2973.1	gpx		2025-06-25T05:25:59+00:00
57	24.196578	121.128241	2978.2	gpx		2025-06-25T05:28:29+00:00
58	24.196473	121.128853	2990.2	gpx		2025-06-25T05:31:00+00:00
59	24.196501	121.129418	3003.8	gpx		2025-06-25T05:32:16+00:00
60	24.196881	121.129972	3008.5	gpx		2025-06-25T05:33:31+00:00
61	24.196986	121.130077	3004.5	gpx		2025-06-25T05:36:58+00:00
62	24.197070	121.130044	3002.0	gpx		2025-06-25T05:37:54+00:00
63	24.197080	121.130384	2993.3	gpx		2025-06-25T05:38:50+00:00
64	24.197248	121.130910	2984.1	gpx		2025-06-25T05:39:46+00:00
65	24.197515	121.131234	2978.9	gpx		2025-06-25T05:40:42+00:00
66	24.197565	121.131431	2973.2	gpx		2025-06-25T05:42:34+00:00
67	24.197483	121.131804	2972.0	gpx		2025-06-25T05:43:30+00:00
68	24.197488	121.132223	2963.2	gpx		2025-06-25T05:44:26+00:00
69	24.197329	121.132695	2934.9	gpx		2025-06-25T05:45:22+00:00
70	24.196777	121.133031	2909.7	gpx		2025-06-25T05:46:18+00:00
71	24.196498	121.133426	2889.0	gpx		2025-06-25T05:49:06+00:00
72	24.196563	121.133939	2888.4	gpx		2025-06-25T05:51:54+00:00
73	24.196451	121.134475	2881.7	gpx		2025-06-25T05:52:50+00:00
74	24.196578	121.135611	2866.5	gpx		2025-06-25T05:54:42+00:00
75	24.196716	121.135754	2865.7	gpx		2025-06-25T05:55:38+00:00
76	24.196793	121.136158	2864.3	gpx		2025-06-25T05:56:34+00:00
77	24.197023	121.136494	2862.8	gpx		2025-06-25T05:57:30+00:00
78	24.197176	121.136948	2862.5	gpx		2025-06-25T05:58:26+00:00
79	24.197185	121.137113	2860.0	gpx		2025-06-25T05:59:22+00:00
80	24.197072	121.137459	2873.1	gpx		2025-06-25T06:01:14+00:00
81	24.196904	121.137766	2873.4	gpx		2025-06-25T06:02:10+00:00
82	24.196931	121.138073	2873.6	gpx		2025-06-25T06:03:06+00:00
83(comm)	24.196900	121.138100	2873.6	comm	comm	2025-06-25T06:03:06+00:00
84	24.196822	121.138012	2873.5	gpx		2025-06-25T06:04:02+00:00
85	24.196822	121.138012	2873.5	gpx		2025-06-26T00:00:00+00:00
86	24.196590	121.137994	2873.4	gpx		2025-06-26T00:01:43+00:00
87	24.196271	121.138696	2848.7	gpx		2025-06-26T00:02:35+00:00
88	24.196296	121.138857	2846.6	gpx		2025-06-26T00:03:27+00:00
89	24.196164	121.139036	2835.7	gpx		2025-06-26T00:04:18+00:00
90	24.196133	121.139264	2827.5	gpx		2025-06-26T00:05:10+00:00
91	24.196067	121.139347	2815.7	gpx		2025-06-26T00:06:02+00:00
92	24.195587	121.139470	2792.5	gpx		2025-06-26T00:07:45+00:00
93	24.195462	121.139601	2792.5	gpx		2025-06-26T00:08:37+00:00
94	24.195362	121.139717	2792.5	gpx		2025-06-26T00:09:29+00:00
95	24.195359	121.139973	2786.4	gpx		2025-06-26T00:10:21+00:00
96	24.195127	121.140168	2781.1	gpx		2025-06-26T00:11:13+00:00
97	24.195034	121.140429	2776.0	gpx		2025-06-26T00:12:04+00:00
98	24.194835	121.140414	2773.9	gpx		2025-06-26T00:12:56+00:00
99	24.194606	121.140587	2754.4	gpx		2025-06-26T00:13:48+00:00
100	24.194183	121.140372	2736.3	gpx		2025-06-26T00:14:40+00:00
101	24.193977	121.140516	2714.6	gpx		2025-06-26T00:15:31+00:00
102	24.193889	121.140672	2707.2	gpx		2025-06-26T00:16:23+00:00
103	24.193443	121.140804	2677.1	gpx		2025-06-26T00:18:07+00:00
104	24.193326	121.140962	2677.5	gpx		2025-06-26T00:18:59+00:00
105	24.193189	121.140978	2673.7	gpx		2025-06-26T00:19:50+00:00
106	24.193046	121.141294	2671.2	gpx		2025-06-26T00:20:42+00:00
107	24.192735	121.141242	2670.0	gpx		2025-06-26T00:22:26+00:00
108	24.192558	121.141444	2668.5	gpx		2025-06-26T00:23:17+00:00
109	24.192149	121.141608	2657.7	gpx		2025-06-26T00:24:09+00:00
110	24.191931	121.141568	2654.3	gpx		2025-06-26T00:25:01+00:00
111	24.191099	121.142090	2620.8	gpx		2025-06-26T00:26:45+00:00
112	24.190333	121.141892	2605.7	gpx		2025-06-26T00:29:20+00:00
113	24.190237	121.141941	2600.2	gpx		2025-06-26T00:30:12+00:00
114	24.190144	121.141899	2599.4	gpx		2025-06-26T00:31:03+00:00
115	24.189893	121.142209	2594.4	gpx		2025-06-26T00:31:55+00:00
116	24.189651	121.142228	2587.2	gpx		2025-06-26T00:32:47+00:00
117	24.189157	121.142444	2572.0	gpx		2025-06-26T00:33:39+00:00
118	24.189050	121.142576	2567.9	gpx		2025-06-26T00:34:31+00:00
119	24.188614	121.142410	2558.3	gpx		2025-06-26T00:35:22+00:00
120	24.188406	121.142427	2552.9	gpx		2025-06-26T00:36:14+00:00
121	24.188267	121.142625	2545.7	gpx		2025-06-26T00:37:06+00:00
122	24.188145	121.142544	2543.9	gpx		2025-06-26T00:37:58+00:00
123	24.187674	121.142790	2537.6	gpx		2025-06-26T00:38:49+00:00
124	24.187333	121.142820	2535.2	gpx		2025-06-26T00:39:41+00:00
125	24.187285	121.142990	2533.8	gpx		2025-06-26T00:40:33+00:00
126	24.187026	121.143260	2531.7	gpx		2025-06-26T00:43:08+00:00
127	24.186615	121.143154	2531.0	gpx		2025-06-26T00:44:00+00:00
128	24.185918	121.143746	2531.0	gpx		2025-06-26T00:47:27+00:00
129	24.185814	121.144108	2530.8	gpx		2025-06-26T00:48:19+00:00
130	24.185922	121.144337	2533.3	gpx		2025-06-26T00:50:03+00:00
131	24.185865	121.144517	2533.7	gpx		2025-06-26T00:50:54+00:00
132	24.185605	121.144683	2537.1	gpx		2025-06-26T00:52:38+00:00
133	24.185613	121.144888	2539.8	gpx		2025-06-26T00:53:30+00:00
134	24.185888	121.145291	2543.2	gpx		2025-06-26T00:55:13+00:00
135	24.185922	121.146058	2550.8	gpx		2025-06-26T00:56:57+00:00
136	24.185999	121.146226	2552.1	gpx		2025-06-26T00:57:49+00:00
137	24.185769	121.146680	2547.0	gpx		2025-06-26T00:58:40+00:00
138	24.185849	121.146866	2533.4	gpx		2025-06-26T00:59:32+00:00
139	24.185576	121.147290	2529.4	gpx		2025-06-26T01:02:19+00:00
140	24.185621	121.147511	2519.0	gpx		2025-06-26T01:03:22+00:00
141(comm)	24.185540	121.147700	2519.0	comm	comm	2025-06-26T01:03:22+00:00
142	24.185932	121.147732	2504.6	gpx		2025-06-26T01:04:26+00:00
143	24.186024	121.147998	2497.7	gpx		2025-06-26T01:05:29+00:00
144	24.186237	121.148135	2495.1	gpx		2025-06-26T01:06:33+00:00
145	24.186286	121.148240	2496.8	gpx		2025-06-26T01:07:36+00:00
146	24.186604	121.148362	2489.8	gpx		2025-06-26T01:08:39+00:00
147	24.186740	121.148493	2488.0	gpx		2025-06-26T01:09:43+00:00
148	24.186748	121.148708	2489.2	gpx		2025-06-26T01:10:46+00:00
149	24.186980	121.148916	2473.8	gpx		2025-06-26T01:11:49+00:00
150	24.187210	121.149521	2448.4	gpx		2025-06-26T01:12:53+00:00
151	24.187164	121.150227	2396.2	gpx		2025-06-26T01:13:56+00:00
152	24.187486	121.150916	2364.2	gpx		2025-06-26T01:14:59+00:00
153	24.187440	121.151336	2342.9	gpx		2025-06-26T01:16:03+00:00
154	24.187578	121.151521	2339.5	gpx		2025-06-26T01:17:06+00:00
155	24.187409	121.152126	2322.1	gpx		2025-06-26T01:18:10+00:00
156	24.187593	121.152361	2325.0	gpx		2025-06-26T01:19:13+00:00
157	24.187425	121.153437	2290.5	gpx		2025-06-26T01:21:20+00:00
158	24.187103	121.153757	2275.0	gpx		2025-06-26T01:22:23+00:00
159	24.187072	121.154412	2261.3	gpx		2025-06-26T01:23:26+00:00
160	24.187179	121.154698	2261.3	gpx		2025-06-26T01:24:30+00:00
161	24.186980	121.155522	2251.8	gpx		2025-06-26T01:25:33+00:00
162	24.187041	121.156160	2250.2	gpx		2025-06-26T01:26:36+00:00
163	24.186888	121.156648	2248.3	gpx		2025-06-26T01:27:40+00:00
164	24.186341	121.157240	2236.0	gpx		2025-06-26T01:29:47+00:00
165	24.185720	121.157748	2224.5	gpx		2025-06-26T01:31:53+00:00
166	24.185608	121.157883	2222.0	gpx		2025-06-26T01:32:57+00:00
167	24.185580	121.158087	2215.7	gpx		2025-06-26T01:34:00+00:00
168	24.185646	121.158245	2211.7	gpx		2025-06-26T01:35:03+00:00
169	24.185937	121.158413	2211.7	gpx		2025-06-26T01:36:07+00:00
170	24.186505	121.159522	2153.5	gpx		2025-06-26T01:38:14+00:00
171	24.186627	121.159892	2133.3	gpx		2025-06-26T01:39:17+00:00
172	24.186535	121.160194	2125.1	gpx		2025-06-26T01:40:20+00:00
173	24.186673	121.160329	2109.4	gpx		2025-06-26T01:41:24+00:00
174	24.186689	121.160598	2108.6	gpx		2025-06-26T01:42:27+00:00
175	24.186857	121.160665	2108.0	gpx		2025-06-26T01:43:30+00:00
176	24.186704	121.160951	2108.0	gpx		2025-06-26T01:44:34+00:00
177	24.186903	121.161186	2105.6	gpx		2025-06-26T01:45:37+00:00
178	24.187072	121.161085	2106.0	gpx		2025-06-26T01:46:40+00:00
179	24.187179	121.161371	2077.7	gpx		2025-06-26T01:47:44+00:00
180	24.187103	121.161623	2068.0	gpx		2025-06-26T01:48:47+00:00
181	24.186903	121.161858	2063.4	gpx		2025-06-26T01:49:51+00:00
182	24.187179	121.161808	2061.2	gpx		2025-06-26T01:50:54+00:00
183	24.187149	121.162010	2055.5	gpx		2025-06-26T01:51:57+00:00
184	24.187302	121.162026	2052.6	gpx		2025-06-26T01:53:01+00:00
185	24.187271	121.162262	2045.4	gpx		2025-06-26T01:54:04+00:00
186(comm)	24.187210	121.162540	2028.0	comm	comm	2025-06-26T01:54:54.805082725+00:00
187	24.187379	121.162598	2023.8	gpx		2025-06-26T01:55:07+00:00
188	24.187118	121.162816	2030.6	gpx		2025-06-26T01:56:11+00:00
189	24.186903	121.162716	2030.6	gpx		2025-06-26T01:57:14+00:00
190	24.186535	121.162901	2030.9	gpx		2025-06-26T01:58:18+00:00
191	24.186213	121.163354	2001.7	gpx		2025-06-26T01:59:21+00:00
192	24.185876	121.163640	2000.6	gpx		2025-06-26T02:00:24+00:00
193	24.185735	121.164182	1980.0	gpx		2025-06-26T02:01:28+00:00
194	24.185806	121.164367	1974.5	gpx		2025-06-26T02:03:34+00:00
195	24.185650	121.164768	1971.8	gpx		2025-06-26T02:06:44+00:00
196	24.185369	121.165047	1971.2	gpx		2025-06-26T02:08:51+00:00
197	24.184876	121.165259	1976.8	gpx		2025-06-26T02:10:58+00:00
198	24.184543	121.165575	1986.1	gpx		2025-06-26T02:14:08+00:00
199	24.184224	121.165709	1994.7	gpx		2025-06-26T02:15:11+00:00
200	24.183840	121.166308	1997.0	gpx		2025-06-26T02:18:22+00:00
201	24.183522	121.166597	1995.4	gpx		2025-06-26T02:20:28+00:00
202	24.183231	121.166994	1993.1	gpx		2025-06-26T02:22:35+00:00
203	24.182740	121.167396	1987.8	gpx		2025-06-26T02:23:38+00:00
204	24.182563	121.167622	1986.3	gpx		2025-06-26T02:24:42+00:00
205	24.182169	121.167907	1983.7	gpx		2025-06-26T02:26:48+00:00
206	24.182082	121.168694	1979.2	gpx		2025-06-26T02:31:02+00:00
207	24.181664	121.169158	1975.9	gpx		2025-06-26T02:34:12+00:00
208(start)	24.181664	121.169158	1975.9	comm	start	2025-06-26T02:34:12+00:00
