順序	緯度	經度	海拔（約）	類型	名稱
1	23.270966	120.959487	3169.652622537631	comm	peak
2	23.270875	120.959492	3171.1093887528405	gpx	N/A
3	23.270861	120.959484	3169.6017858451232	gpx	N/A
4	23.270835	120.959489	3168.1202040299154	gpx	N/A
5	23.270799	120.959480	3166.799402225949	gpx	N/A
6	23.270764	120.959457	3166.028194946392	gpx	N/A
7	23.270724	120.959457	3164.8456345014274	gpx	N/A
8	23.270684	120.959464	3163.142716811504	gpx	N/A
9	23.270654	120.959493	3160.854951380597	gpx	N/A
10	23.270639	120.959512	3159.0080213886686	gpx	N/A
11	23.270595	120.959510	3157.4612227492034	gpx	N/A
12	23.270576	120.959497	3156.5088562192395	gpx	N/A
13	23.270505	120.959508	3155.226381226132	gpx	N/A
14	23.270463	120.959487	3154.27362343731	gpx	N/A
15	23.270414	120.959495	3152.0656163701788	gpx	N/A
16	23.270342	120.959466	3151.9086957912273	gpx	N/A
17	23.270268	120.959454	3152.636113107515	gpx	N/A
18	23.270189	120.959450	3149.7292640022933	gpx	N/A
19	23.270106	120.959440	3147.5805211653933	gpx	N/A
20	23.270062	120.959472	3144.968814567197	gpx	N/A
21	23.270029	120.959503	3142.9025836572982	gpx	N/A
22	23.269999	120.959501	3140.774356447005	gpx	N/A
23	23.269963	120.959523	3138.25692320349	gpx	N/A
24	23.269945	120.959538	3135.6684142127633	gpx	N/A
25	23.269916	120.959545	3135.3321450330936	gpx	N/A
26	23.269873	120.959549	3135.2195373767368	gpx	N/A
27	23.269848	120.959542	3133.7099436130375	gpx	N/A
28	23.269833	120.959547	3130.8734465471157	gpx	N/A
29	23.269800	120.959536	3130.129476763308	gpx	N/A
30	23.269775	120.959539	3127.729411506094	gpx	N/A
31	23.269698	120.959513	3127.2191800206588	gpx	N/A
32	23.269664	120.959464	3127.581787234638	gpx	N/A
33	23.269618	120.959430	3128.522709157163	gpx	N/A
34	23.269607	120.959419	3129.654047729758	gpx	N/A
35	23.269600	120.959419	3131.2800867808983	gpx	N/A
36	23.269586	120.959410	3132.092345841229	gpx	N/A
37	23.269559	120.959397	3132.123013264189	gpx	N/A
38	23.269529	120.959394	3129.2999639234818	gpx	N/A
39	23.269483	120.959390	3126.9446623465046	gpx	N/A
40	23.269433	120.959397	3125.5156240991005	gpx	N/A
41	23.269357	120.959352	3125.8988845916465	gpx	N/A
42	23.269302	120.959357	3128.333321420476	gpx	N/A
43	23.269277	120.959349	3128.0393772758543	gpx	N/A
44	23.269133	120.959369	3126.0377086871304	gpx	N/A
45	23.268964	120.959252	3119.0312424448007	gpx	N/A
46	23.268784	120.959160	3106.6195533014834	gpx	N/A
47	23.268659	120.959021	3087.961088576354	gpx	N/A
48	23.268509	120.958911	3078.7265967365042	gpx	N/A
49	23.268394	120.958869	3064.0881187805594	gpx	N/A
50	23.268306	120.958912	3065.2213534312323	gpx	N/A
51	23.268270	120.958900	3065.002046481551	gpx	N/A
52	23.268241	120.958914	3065.9244347071894	gpx	N/A
53	23.268193	120.958913	3064.488758160267	gpx	N/A
54	23.268085	120.958891	3065.9734232627475	gpx	N/A
55	23.267975	120.958857	3057.9166310825385	gpx	N/A
56	23.267955	120.958828	3055.8398121686964	gpx	N/A
57	23.267915	120.958824	3054.389227838876	gpx	N/A
58	23.267891	120.958837	3052.6283230163776	gpx	N/A
59	23.267849	120.958842	3051.2784610278904	gpx	N/A
60	23.267814	120.958854	3049.8113967490694	gpx	N/A
61	23.267806	120.958852	3046.156741366411	gpx	N/A
62	23.267780	120.958872	3040.5551619036123	gpx	N/A
63	23.267730	120.958866	3038.9197502556876	gpx	N/A
64	23.267691	120.958858	3038.2849777853116	gpx	N/A
65	23.267644	120.958840	3036.678810331194	gpx	N/A
66	23.267593	120.958835	3033.6084700884917	gpx	N/A
67	23.267581	120.958852	3032.949534204323	gpx	N/A
68	23.267421	120.958844	3031.1570431198925	gpx	N/A
69	23.267260	120.958833	3028.328315560706	gpx	N/A
70	23.267167	120.958831	3017.1490998286754	gpx	N/A
71	23.267132	120.958788	3015.489709258266	gpx	N/A
72	23.267077	120.958715	3012.600833276442	gpx	N/A
73	23.267028	120.958686	3012.9307665911815	gpx	N/A
74	23.266992	120.958661	3011.9237882718444	gpx	N/A
75	23.266984	120.958648	3010.541896886503	gpx	N/A
76	23.266974	120.958633	3009.625592375795	gpx	N/A
77	23.266946	120.958614	3009.9106971011497	gpx	N/A
78	23.266841	120.958532	3011.0550169249377	gpx	N/A
79	23.266725	120.958463	3000.149407033188	gpx	N/A
80	23.266675	120.958408	2998.9155401440025	gpx	N/A
81	23.266647	120.958362	2998.057543634437	gpx	N/A
82	23.266618	120.958344	2998.2589176276697	gpx	N/A
83	23.266610	120.958310	2995.667574396357	gpx	N/A
84	23.266546	120.958273	2994.4765919201695	gpx	N/A
85	23.266472	120.958245	2993.061382115632	gpx	N/A
86	23.266398	120.958210	2992.2705762055703	gpx	N/A
87	23.266316	120.958175	2990.016831101229	gpx	N/A
88	23.266268	120.958148	2988.213426386472	gpx	N/A
89	23.266220	120.958117	2988.3280541955805	gpx	N/A
90	23.266176	120.958117	2986.421762087693	gpx	N/A
91	23.266138	120.958118	2984.309797048103	gpx	N/A
92	23.266103	120.958119	2983.524972479014	gpx	N/A
93	23.266091	120.958115	2982.6657984654107	gpx	N/A
94	23.266062	120.958097	2980.5859473473392	gpx	N/A
95	23.265983	120.958072	2978.508803344021	gpx	N/A
96	23.265920	120.958057	2978.2049187319353	gpx	N/A
97	23.265898	120.958047	2978.4318780656904	gpx	N/A
98	23.265876	120.958039	2977.935948848352	gpx	N/A
99	23.265870	120.958033	2976.027601279939	gpx	N/A
100	23.265846	120.958032	2970.7474836995825	gpx	N/A
101	23.265787	120.958062	2972.0048173507676	gpx	N/A
102	23.265739	120.958081	2973.2094889252135	gpx	N/A
103	23.265680	120.958102	2972.78547437101	gpx	N/A
