順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.475583	120.917655	3219.3	gpx		2020-10-31T04:46:09+00:00
2(peak)	23.475571	120.917620	3217.8	comm	peak	2020-10-31T04:46:57.900255833+00:00
3	23.475613	120.917576	3215.9	gpx		2020-10-31T04:48:01+00:00
4	23.475511	120.917633	3214.3	gpx		2020-10-31T05:03:03+00:00
5	23.475389	120.917638	3212.8	gpx		2020-10-31T05:04:09+00:00
6	23.475296	120.917565	3214.5	gpx		2020-10-31T05:06:41+00:00
7	23.475318	120.917689	3215.1	gpx		2020-10-31T05:06:55+00:00
8	23.475229	120.917603	3209.9	gpx		2020-10-31T05:09:34+00:00
9	23.475114	120.917591	3206.2	gpx		2020-10-31T05:10:14+00:00
10	23.475010	120.917537	3202.5	gpx		2020-10-31T05:11:48+00:00
11	23.474922	120.917614	3197.4	gpx		2020-10-31T05:12:23+00:00
12	23.474815	120.917551	3194.5	gpx		2020-10-31T05:14:04+00:00
13	23.474722	120.917620	3194.3	gpx		2020-10-31T05:15:12+00:00
14	23.474704	120.917587	3194.5	gpx		2020-10-31T05:15:15+00:00
15	23.474630	120.917685	3178.8	gpx		2020-10-31T05:18:53+00:00
16	23.474736	120.917625	3173.8	gpx		2020-10-31T05:19:26+00:00
17	23.474644	120.917551	3183.8	gpx		2020-10-31T05:20:43+00:00
18	23.474622	120.917673	3177.9	gpx		2020-10-31T05:21:54+00:00
19	23.474524	120.917601	3175.6	gpx		2020-10-31T05:22:56+00:00
20	23.474421	120.917658	3170.1	gpx		2020-10-31T05:24:38+00:00
21	23.474312	120.917617	3158.1	gpx		2020-10-31T05:26:17+00:00
22	23.474244	120.917715	3151.2	gpx		2020-10-31T05:26:59+00:00
23	23.474150	120.917645	3138.8	gpx		2020-10-31T05:28:50+00:00
24	23.474035	120.917642	3133.7	gpx		2020-10-31T05:30:18+00:00
25	23.474125	120.917729	3092.5	gpx		2020-10-31T05:34:25+00:00
26	23.473878	120.917843	3116.6	gpx		2020-10-31T05:35:59+00:00
27	23.473895	120.917716	3117.2	gpx		2020-10-31T05:36:14+00:00
28	23.473984	120.917640	3113.3	gpx		2020-10-31T05:37:18+00:00
29	23.473878	120.917576	3109.9	gpx		2020-10-31T05:37:56+00:00
30	23.473801	120.917671	3105.5	gpx		2020-10-31T05:38:35+00:00
31	23.473790	120.917646	3107.0	gpx		2020-10-31T05:38:39+00:00
32	23.473912	120.917639	3091.2	gpx		2020-10-31T05:39:50+00:00
33	23.473802	120.917609	3104.9	gpx		2020-10-31T05:40:15+00:00
34	23.473675	120.917590	3096.0	gpx		2020-10-31T05:40:47+00:00
35	23.473563	120.917639	3083.0	gpx		2020-10-31T05:42:16+00:00
36	23.473688	120.917645	3079.6	gpx		2020-10-31T05:42:27+00:00
37	23.473634	120.917525	3087.4	gpx		2020-10-31T05:43:11+00:00
38	23.473513	120.917579	3086.2	gpx		2020-10-31T05:43:27+00:00
39	23.473415	120.917645	3079.8	gpx		2020-10-31T05:45:17+00:00
40	23.473298	120.917700	3058.1	gpx		2020-10-31T05:47:22+00:00
41	23.473186	120.917655	3055.3	gpx		2020-10-31T05:49:20+00:00
42	23.473073	120.917690	3047.3	gpx		2020-10-31T05:50:49+00:00
43	23.472949	120.917715	3038.0	gpx		2020-10-31T05:51:23+00:00
44	23.472950	120.917578	3031.4	gpx		2020-10-31T05:52:02+00:00
45	23.472859	120.917600	3024.8	gpx		2020-10-31T05:53:21+00:00
46	23.472761	120.917663	3011.6	gpx		2020-10-31T05:54:04+00:00
47	23.472713	120.917546	3011.0	gpx		2020-10-31T05:54:42+00:00
48	23.472658	120.917429	3000.7	gpx		2020-10-31T05:56:57+00:00
49	23.472625	120.917547	3002.3	gpx		2020-10-31T05:57:07+00:00
50	23.472537	120.917469	2997.0	gpx		2020-10-31T05:57:57+00:00
51	23.472431	120.917396	2991.8	gpx		2020-10-31T05:58:45+00:00
52	23.472344	120.917315	2982.5	gpx		2020-10-31T05:59:14+00:00
53	23.472259	120.917233	2979.5	gpx		2020-10-31T05:59:37+00:00
54	23.472145	120.917247	2970.9	gpx		2020-10-31T06:00:28+00:00
55	23.472060	120.917336	2959.6	gpx		2020-10-31T06:01:18+00:00
56	23.471997	120.917369	2955.9	gpx		2020-10-31T06:01:33+00:00
57	23.471909	120.917447	2957.0	gpx		2020-10-31T06:01:49+00:00
58	23.471799	120.917479	2949.5	gpx		2020-10-31T06:02:06+00:00
59	23.471698	120.917540	2937.0	gpx		2020-10-31T06:02:29+00:00
60	23.471607	120.917625	2933.4	gpx		2020-10-31T06:02:43+00:00
