順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.470105	120.956944	3833.6	gpx		2021-09-06T23:54:40+00:00
2(peak)	23.470018	120.957270	3870.3	comm	peak	2021-09-06T23:55:54+00:00
3	23.470145	120.956832	3870.3	gpx		2021-09-06T23:55:54+00:00
4	23.470025	120.956811	3870.6	gpx		2021-09-06T23:56:31+00:00
5	23.470104	120.956675	3870.9	gpx		2021-09-06T23:57:08+00:00
6	23.470445	120.956426	3871.6	gpx		2021-09-06T23:58:22+00:00
7	23.470446	120.956039	3860.7	gpx		2021-09-07T00:00:13+00:00
8	23.470021	120.956212	3837.3	gpx		2021-09-07T00:02:04+00:00
9	23.469877	120.956060	3830.3	gpx		2021-09-07T00:02:41+00:00
10	23.469579	120.956178	3822.7	gpx		2021-09-07T00:04:32+00:00
11	23.469580	120.956063	3818.2	gpx		2021-09-07T00:05:09+00:00
12	23.469154	120.956040	3794.9	gpx		2021-09-07T00:08:14+00:00
13	23.469454	120.955843	3774.7	gpx		2021-09-07T00:10:05+00:00
14	23.469418	120.955519	3775.3	gpx		2021-09-07T00:11:56+00:00
15	23.469269	120.955645	3774.0	gpx		2021-09-07T00:13:10+00:00
16	23.469238	120.955548	3773.2	gpx		2021-09-07T00:13:47+00:00
17	23.469345	120.954482	3755.5	gpx		2021-09-07T00:16:52+00:00
18	23.468661	120.955219	3747.1	gpx		2021-09-07T00:20:34+00:00
19	23.468890	120.954098	3739.4	gpx		2021-09-07T00:21:48+00:00
20	23.468099	120.954909	3724.5	gpx		2021-09-07T00:23:39+00:00
21	23.468166	120.954034	3703.4	gpx		2021-09-07T00:25:30+00:00
22	23.467809	120.954193	3691.7	gpx		2021-09-07T00:26:08+00:00
23	23.467474	120.954591	3674.2	gpx		2021-09-07T00:26:45+00:00
24(comm)	23.467393	120.954250	3663.1	comm	comm	2021-09-07T00:27:22+00:00
25	23.467395	120.954269	3663.1	gpx		2021-09-07T00:27:22+00:00
26	23.467271	120.954468	3657.4	gpx		2021-09-07T00:27:59+00:00
27	23.467134	120.954074	3645.8	gpx		2021-09-07T00:29:13+00:00
28	23.467197	120.953742	3639.5	gpx		2021-09-07T00:29:50+00:00
29	23.466912	120.953981	3629.5	gpx		2021-09-07T00:31:04+00:00
30	23.466929	120.953348	3602.9	gpx		2021-09-07T00:32:18+00:00
31	23.467093	120.953093	3587.6	gpx		2021-09-07T00:34:09+00:00
32	23.466626	120.953228	3562.4	gpx		2021-09-07T00:35:23+00:00
33	23.466819	120.952652	3531.8	gpx		2021-09-07T00:38:28+00:00
34	23.466739	120.952702	3531.5	gpx		2021-09-07T00:39:05+00:00
35	23.466593	120.952504	3530.7	gpx		2021-09-07T00:40:19+00:00
36	23.466448	120.952631	3529.9	gpx		2021-09-07T00:41:33+00:00
37	23.466340	120.952506	3529.3	gpx		2021-09-07T00:42:10+00:00
38	23.466495	120.952088	3525.9	gpx		2021-09-07T00:44:01+00:00
39	23.466475	120.951579	3518.8	gpx		2021-09-07T00:45:15+00:00
40	23.466371	120.951680	3513.8	gpx		2021-09-07T00:46:29+00:00
41	23.466369	120.951497	3511.2	gpx		2021-09-07T00:47:06+00:00
42	23.466247	120.951615	3506.0	gpx		2021-09-07T00:48:20+00:00
43	23.466242	120.951423	3499.9	gpx		2021-09-07T00:49:34+00:00
44	23.466111	120.951559	3493.8	gpx		2021-09-07T00:50:11+00:00
45	23.466127	120.951345	3486.2	gpx		2021-09-07T00:51:25+00:00
46	23.466382	120.950751	3459.8	gpx		2021-09-07T00:53:16+00:00
47	23.466392	120.950290	3439.7	gpx		2021-09-07T00:53:53+00:00
48	23.466270	120.950131	3430.8	gpx		2021-09-07T00:54:30+00:00
49(cabin)	23.466506	120.949710	3385.4	comm	cabin	2021-09-07T01:04:51.080495986+00:00
50	23.466547	120.949681	3381.1	gpx		2021-09-07T01:05:50+00:00
51	23.466626	120.949183	3378.3	gpx		2021-09-07T01:08:17+00:00
52	23.466186	120.948856	3369.1	gpx		2021-09-07T01:09:46+00:00
53	23.466087	120.948539	3364.8	gpx		2021-09-07T01:12:14+00:00
54	23.465680	120.948522	3358.3	gpx		2021-09-07T01:14:12+00:00
55	23.465855	120.947997	3350.7	gpx		2021-09-07T01:17:38+00:00
56	23.465678	120.947192	3342.0	gpx		2021-09-07T01:19:36+00:00
57	23.466011	120.946373	3328.4	gpx		2021-09-07T01:22:04+00:00
58	23.465641	120.945772	3317.7	gpx		2021-09-07T01:25:01+00:00
59	23.465597	120.945370	3313.4	gpx		2021-09-07T01:26:29+00:00
60	23.465479	120.945687	3309.2	gpx		2021-09-07T01:27:58+00:00
61	23.465512	120.946211	3308.2	gpx		2021-09-07T01:28:27+00:00
62	23.465353	120.945378	3308.2	gpx		2021-09-07T01:31:24+00:00
63	23.465462	120.944689	3304.9	gpx		2021-09-07T01:32:23+00:00
64	23.465840	120.944088	3295.7	gpx		2021-09-07T01:33:52+00:00
65	23.465187	120.943805	3279.3	gpx		2021-09-07T01:37:48+00:00
66	23.465035	120.943214	3272.0	gpx		2021-09-07T01:40:45+00:00
67	23.465293	120.942855	3270.4	gpx		2021-09-07T01:42:13+00:00
68	23.465079	120.942006	3261.8	gpx		2021-09-07T01:45:11+00:00
69	23.465378	120.941509	3255.7	gpx		2021-09-07T01:47:09+00:00
70	23.465552	120.941389	3252.4	gpx		2021-09-07T01:48:08+00:00
71	23.465977	120.941470	3244.5	gpx		2021-09-07T01:50:06+00:00
72	23.466629	120.941141	3227.7	gpx		2021-09-07T01:52:33+00:00
73	23.466808	120.940382	3214.4	gpx		2021-09-07T01:55:01+00:00
74	23.467984	120.939845	3230.2	gpx		2021-09-07T01:58:27+00:00
75	23.468612	120.939377	3242.2	gpx		2021-09-07T01:59:56+00:00
76	23.469286	120.938545	3241.6	gpx		2021-09-07T02:00:55+00:00
77	23.469300	120.938076	3239.1	gpx		2021-09-07T02:02:23+00:00
78	23.468693	120.936922	3231.6	gpx		2021-09-07T02:05:20+00:00
79	23.468720	120.936250	3230.9	gpx		2021-09-07T02:07:18+00:00
80	23.468185	120.936070	3227.6	gpx		2021-09-07T02:08:47+00:00
81	23.467836	120.935663	3215.2	gpx		2021-09-07T02:10:45+00:00
82	23.466944	120.935292	3172.4	gpx		2021-09-07T02:13:42+00:00
83	23.466789	120.935114	3157.6	gpx		2021-09-07T02:15:10+00:00
84	23.467458	120.934324	3135.8	gpx		2021-09-07T02:18:37+00:00
85	23.467370	120.934130	3136.4	gpx		2021-09-07T02:19:07+00:00
86	23.467465	120.933842	3141.1	gpx		2021-09-07T02:19:36+00:00
87	23.467004	120.932639	3167.3	gpx		2021-09-07T02:23:03+00:00
88	23.466263	120.932500	3178.8	gpx		2021-09-07T02:24:31+00:00
89	23.466257	120.932375	3178.7	gpx		2021-09-07T02:25:01+00:00
90	23.465941	120.932153	3173.6	gpx		2021-09-07T02:26:00+00:00
91	23.465219	120.931914	3144.9	gpx		2021-09-07T02:28:27+00:00
92	23.465194	120.931718	3130.7	gpx		2021-09-07T02:29:56+00:00
93	23.464886	120.931870	3109.6	gpx		2021-09-07T02:32:53+00:00
94	23.464685	120.931818	3105.1	gpx		2021-09-07T02:33:52+00:00
95	23.464535	120.931497	3099.8	gpx		2021-09-07T02:34:51+00:00
96	23.464617	120.931261	3095.2	gpx		2021-09-07T02:36:49+00:00
97	23.464533	120.931077	3093.5	gpx		2021-09-07T02:37:18+00:00
98	23.463925	120.930488	3048.7	gpx		2021-09-07T02:41:30+00:00
99	23.464120	120.930123	3042.4	gpx		2021-09-07T02:42:35+00:00
100	23.464669	120.929954	3036.1	gpx		2021-09-07T02:44:45+00:00
101	23.464869	120.929608	3033.6	gpx		2021-09-07T02:46:22+00:00
102	23.465268	120.929336	3033.4	gpx		2021-09-07T02:47:28+00:00
103	23.465444	120.928856	3041.7	gpx		2021-09-07T02:50:10+00:00
104	23.466009	120.928253	3040.5	gpx		2021-09-07T02:52:20+00:00
105	23.466219	120.927579	3022.0	gpx		2021-09-07T02:54:31+00:00
106	23.467168	120.926372	2965.0	gpx		2021-09-07T02:57:46+00:00
107	23.467811	120.926467	2963.1	gpx		2021-09-07T03:01:01+00:00
108	23.468028	120.926100	2960.4	gpx		2021-09-07T03:02:06+00:00
109	23.468353	120.925922	2957.5	gpx		2021-09-07T03:03:44+00:00
110	23.468478	120.925605	2955.6	gpx		2021-09-07T03:04:49+00:00
111	23.470874	120.924720	2973.6	gpx		2021-09-07T03:11:52+00:00
112	23.471185	120.924247	2964.1	gpx		2021-09-07T03:14:02+00:00
113	23.471712	120.924109	2952.4	gpx		2021-09-07T03:15:08+00:00
114	23.471637	120.923726	2940.8	gpx		2021-09-07T03:18:23+00:00
115	23.471777	120.923461	2938.0	gpx		2021-09-07T03:19:28+00:00
116	23.471483	120.922973	2935.9	gpx		2021-09-07T03:21:38+00:00
117	23.471580	120.922749	2934.2	gpx		2021-09-07T03:22:43+00:00
118	23.472244	120.922390	2920.7	gpx		2021-09-07T03:24:53+00:00
119	23.472329	120.921951	2906.1	gpx		2021-09-07T03:27:04+00:00
120	23.472517	120.921761	2892.1	gpx		2021-09-07T03:29:14+00:00
121	23.472097	120.921453	2874.4	gpx		2021-09-07T03:31:56+00:00
122	23.472099	120.921171	2868.8	gpx		2021-09-07T03:33:34+00:00
123	23.471457	120.920813	2863.1	gpx		2021-09-07T03:36:17+00:00
124	23.471610	120.920464	2865.4	gpx		2021-09-07T03:40:05+00:00
125	23.471294	120.920210	2868.0	gpx		2021-09-07T03:41:10+00:00
126	23.471278	120.920038	2868.8	gpx		2021-09-07T03:41:42+00:00
127	23.471373	120.919576	2873.4	gpx		2021-09-07T03:43:53+00:00
128	23.471631	120.919187	2878.7	gpx		2021-09-07T03:45:30+00:00
129	23.471494	120.918755	2881.1	gpx		2021-09-07T03:47:08+00:00
130	23.470805	120.918472	2885.8	gpx		2021-09-07T03:48:45+00:00
131(comm)	23.470603	120.918010	2887.4	comm	comm	2021-09-07T03:49:51+00:00
132	23.470496	120.918135	2887.4	gpx		2021-09-07T03:49:51+00:00
133	23.470534	120.917722	2845.6	gpx		2021-09-07T03:53:39+00:00
134	23.470817	120.917274	2855.9	gpx		2021-09-07T03:55:42+00:00
135	23.470681	120.916932	2863.5	gpx		2021-09-07T03:57:04+00:00
136	23.470822	120.916418	2869.9	gpx		2021-09-07T03:58:26+00:00
137	23.471324	120.915788	2887.1	gpx		2021-09-07T04:02:31+00:00
138	23.471095	120.915101	2899.6	gpx		2021-09-07T04:05:55+00:00
139	23.470942	120.915059	2901.5	gpx		2021-09-07T04:07:17+00:00
140	23.470762	120.914611	2900.8	gpx		2021-09-07T04:08:39+00:00
141	23.470442	120.914431	2896.7	gpx		2021-09-07T04:09:20+00:00
142	23.470363	120.913840	2885.4	gpx		2021-09-07T04:10:42+00:00
143	23.470616	120.913819	2875.4	gpx		2021-09-07T04:12:03+00:00
144	23.470797	120.913629	2865.1	gpx		2021-09-07T04:14:06+00:00
145	23.470779	120.913055	2850.1	gpx		2021-09-07T04:15:28+00:00
146(comm)	23.471086	120.912690	2841.4	comm	comm	2021-09-07T04:18:11+00:00
147	23.471058	120.912785	2841.4	gpx		2021-09-07T04:18:11+00:00
148	23.471170	120.912355	2843.6	gpx		2021-09-07T04:19:33+00:00
149	23.471052	120.911888	2849.2	gpx		2021-09-07T04:22:17+00:00
150	23.471271	120.911638	2852.3	gpx		2021-09-07T04:24:20+00:00
151	23.471414	120.910982	2851.9	gpx		2021-09-07T04:26:22+00:00
152	23.471799	120.910606	2839.0	gpx		2021-09-07T04:30:28+00:00
153	23.472323	120.910460	2823.7	gpx		2021-09-07T04:33:52+00:00
154	23.472739	120.909532	2804.1	gpx		2021-09-07T04:35:40+00:00
155	23.472698	120.909303	2802.3	gpx		2021-09-07T04:36:13+00:00
156	23.473104	120.908652	2799.3	gpx		2021-09-07T04:38:26+00:00
157	23.473146	120.908110	2800.6	gpx		2021-09-07T04:39:33+00:00
158	23.473322	120.907763	2801.7	gpx		2021-09-07T04:41:46+00:00
159	23.473201	120.907366	2804.4	gpx		2021-09-07T04:45:06+00:00
160	23.473297	120.907202	2805.0	gpx		2021-09-07T04:46:13+00:00
161	23.473491	120.907188	2804.5	gpx		2021-09-07T04:46:46+00:00
162	23.474047	120.906076	2767.8	gpx		2021-09-07T04:50:39+00:00
163	23.474384	120.905757	2746.1	gpx		2021-09-07T04:51:46+00:00
164	23.473979	120.905783	2720.4	gpx		2021-09-07T04:53:59+00:00
165	23.473706	120.905974	2707.7	gpx		2021-09-07T04:55:06+00:00
166	23.473957	120.905475	2692.7	gpx		2021-09-07T04:57:53+00:00
167	23.473759	120.905403	2689.3	gpx		2021-09-07T04:59:33+00:00
168	23.473540	120.905574	2688.3	gpx		2021-09-07T05:00:39+00:00
169	23.473421	120.905413	2684.8	gpx		2021-09-07T05:03:26+00:00
170	23.474006	120.904942	2675.5	gpx		2021-09-07T05:05:39+00:00
171	23.474472	120.904283	2668.6	gpx		2021-09-07T05:07:53+00:00
172	23.475626	120.903109	2649.7	gpx		2021-09-07T05:12:19+00:00
173	23.475815	120.902058	2642.7	gpx		2021-09-07T05:13:26+00:00
174	23.476014	120.901635	2639.4	gpx		2021-09-07T05:14:33+00:00
175	23.475979	120.900963	2630.2	gpx		2021-09-07T05:16:46+00:00
176	23.475776	120.900379	2622.9	gpx		2021-09-07T05:18:26+00:00
177(start)	23.475793	120.900170	2622.9	comm	start	2021-09-07T05:18:26+00:00
178	23.475788	120.899952	2615.0	gpx		2021-09-07T05:19:33+00:00
179	23.475916	120.899869	2612.1	gpx		2021-09-07T05:20:39+00:00
