順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.472390	120.934382	3439.7	gpx		2023-06-15T23:15:14+00:00
2(peak)	23.472426	120.934205	3443.5	comm	peak	2023-06-15T23:15:33.005724682+00:00
3	23.472210	120.934058	3447.6	gpx		2023-06-15T23:15:53+00:00
4	23.472133	120.933988	3450.1	gpx		2023-06-15T23:16:31+00:00
5	23.471954	120.933870	3454.3	gpx		2023-06-15T23:17:10+00:00
6	23.471935	120.933839	3456.1	gpx		2023-06-15T23:17:49+00:00
7	23.471935	120.933839	3466.8	gpx		2023-06-15T23:18:27+00:00
8	23.471861	120.933723	3466.9	gpx		2023-06-15T23:18:45+00:00
9	23.471798	120.933688	3466.4	gpx		2023-06-15T23:19:03+00:00
10	23.471755	120.933688	3465.8	gpx		2023-06-15T23:19:21+00:00
11	23.471719	120.933594	3465.1	gpx		2023-06-15T23:19:39+00:00
12	23.471666	120.933539	3464.3	gpx		2023-06-15T23:19:57+00:00
13	23.471369	120.933126	3461.7	gpx		2023-06-15T23:20:15+00:00
14	23.471294	120.932998	3461.4	gpx		2023-06-15T23:20:33+00:00
15	23.471230	120.932823	3461.2	gpx		2023-06-15T23:20:51+00:00
16	23.471211	120.932809	3461.1	gpx		2023-06-15T23:21:09+00:00
17	23.471189	120.932798	3459.6	gpx		2023-06-15T23:21:27+00:00
18	23.471189	120.932798	3438.0	gpx		2023-06-15T23:21:45+00:00
19	23.471211	120.932809	3449.0	gpx		2023-06-15T23:22:16+00:00
20	23.471230	120.932823	3452.3	gpx		2023-06-15T23:22:47+00:00
21	23.471294	120.932998	3453.6	gpx		2023-06-15T23:23:18+00:00
22	23.471369	120.933126	3454.3	gpx		2023-06-15T23:23:49+00:00
23	23.471666	120.933539	3456.8	gpx		2023-06-15T23:24:20+00:00
24	23.471719	120.933594	3457.3	gpx		2023-06-15T23:24:51+00:00
25	23.471755	120.933688	3457.9	gpx		2023-06-15T23:25:22+00:00
26	23.471798	120.933688	3458.4	gpx		2023-06-15T23:25:53+00:00
27	23.471861	120.933723	3459.0	gpx		2023-06-15T23:26:24+00:00
28	23.471954	120.933870	3459.5	gpx		2023-06-15T23:26:55+00:00
29	23.472133	120.933988	3460.6	gpx		2023-06-15T23:27:26+00:00
30	23.472210	120.934058	3461.2	gpx		2023-06-15T23:27:57+00:00
31	23.472390	120.934382	3463.4	gpx		2023-06-15T23:28:28+00:00
32	23.472510	120.934631	3463.5	gpx		2023-06-15T23:28:59+00:00
33	23.472529	120.934742	3463.3	gpx		2023-06-15T23:29:29+00:00
34	23.472552	120.934785	3463.1	gpx		2023-06-15T23:30:00+00:00
35	23.472643	120.934844	3462.7	gpx		2023-06-15T23:30:31+00:00
36	23.472678	120.934923	3462.2	gpx		2023-06-15T23:31:02+00:00
37	23.472694	120.934983	3461.5	gpx		2023-06-15T23:31:33+00:00
