順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.577413	120.962497	3199.3	gpx		2023-10-03T00:23:52+00:00
2(peak)	23.577390	120.962490	3199.4	comm	peak	2023-10-03T00:24:00.387777358+00:00
3	23.577348	120.962486	3199.7	gpx		2023-10-03T00:24:15+00:00
4	23.577332	120.962506	3200.9	gpx		2023-10-03T00:24:38+00:00
5	23.577294	120.962559	3202.1	gpx		2023-10-03T00:25:01+00:00
6	23.577294	120.962559	3223.0	gpx		2023-10-03T00:25:25+00:00
7	23.577332	120.962506	3223.0	gpx		2023-10-03T00:25:49+00:00
8	23.577348	120.962486	3218.7	gpx		2023-10-03T00:26:13+00:00
9	23.577413	120.962497	3216.4	gpx		2023-10-03T00:26:38+00:00
10	23.577461	120.962531	3214.5	gpx		2023-10-03T00:27:02+00:00
11	23.577594	120.962537	3212.8	gpx		2023-10-03T00:27:27+00:00
12	23.577656	120.962555	3211.4	gpx		2023-10-03T00:27:51+00:00
13	23.577897	120.962513	3208.8	gpx		2023-10-03T00:28:15+00:00
14	23.577915	120.962524	3207.7	gpx		2023-10-03T00:28:40+00:00
15	23.578044	120.962517	3206.7	gpx		2023-10-03T00:29:04+00:00
16	23.578104	120.962444	3205.7	gpx		2023-10-03T00:29:28+00:00
17	23.578144	120.962346	3204.9	gpx		2023-10-03T00:29:53+00:00
18	23.578150	120.962177	3204.2	gpx		2023-10-03T00:30:17+00:00
19	23.578231	120.962038	3203.6	gpx		2023-10-03T00:30:42+00:00
20	23.578287	120.961821	3202.9	gpx		2023-10-03T00:31:06+00:00
21	23.578370	120.961704	3202.6	gpx		2023-10-03T00:31:30+00:00
22	23.578389	120.961652	3202.4	gpx		2023-10-03T00:31:55+00:00
23	23.578478	120.961577	3202.1	gpx		2023-10-03T00:32:19+00:00
24	23.578529	120.961493	3200.9	gpx		2023-10-03T00:32:43+00:00
25	23.578660	120.961443	3199.7	gpx		2023-10-03T00:33:08+00:00
26	23.578742	120.961437	3199.3	gpx		2023-10-03T00:33:32+00:00
27	23.578842	120.961345	3199.0	gpx		2023-10-03T00:33:57+00:00
28	23.578854	120.961305	3198.9	gpx		2023-10-03T00:34:21+00:00
29	23.578934	120.961309	3199.0	gpx		2023-10-03T00:34:45+00:00
30	23.579048	120.961440	3199.2	gpx		2023-10-03T00:35:10+00:00
31	23.579257	120.961389	3200.0	gpx		2023-10-03T00:35:34+00:00
32	23.579307	120.961351	3200.6	gpx		2023-10-03T00:35:59+00:00
33	23.579416	120.961318	3201.2	gpx		2023-10-03T00:36:23+00:00
34	23.579498	120.961269	3201.9	gpx		2023-10-03T00:36:47+00:00
35	23.579577	120.961174	3202.7	gpx		2023-10-03T00:37:12+00:00
36	23.579828	120.961027	3204.9	gpx		2023-10-03T00:37:36+00:00
37	23.580067	120.960930	3206.3	gpx		2023-10-03T00:38:00+00:00
38	23.580153	120.960881	3207.0	gpx		2023-10-03T00:38:25+00:00
39	23.580449	120.960807	3209.3	gpx		2023-10-03T00:38:49+00:00
40	23.580832	120.960621	3211.3	gpx		2023-10-03T00:39:14+00:00
41	23.580869	120.960615	3211.5	gpx		2023-10-03T00:39:38+00:00
42	23.581131	120.960720	3212.1	gpx		2023-10-03T00:40:02+00:00
43	23.581208	120.960727	3212.1	gpx		2023-10-03T00:40:27+00:00
44	23.581285	120.960708	3212.2	gpx		2023-10-03T00:40:51+00:00
45	23.581494	120.960618	3212.0	gpx		2023-10-03T00:41:15+00:00
46	23.581541	120.960546	3211.9	gpx		2023-10-03T00:41:40+00:00
47	23.581624	120.960482	3211.6	gpx		2023-10-03T00:42:04+00:00
48	23.581825	120.960440	3210.9	gpx		2023-10-03T00:42:29+00:00
49	23.581902	120.960449	3210.4	gpx		2023-10-03T00:42:53+00:00
50	23.581976	120.960410	3209.8	gpx		2023-10-03T00:43:17+00:00
51	23.582156	120.960270	3208.5	gpx		2023-10-03T00:43:42+00:00
52	23.582228	120.960247	3207.8	gpx		2023-10-03T00:44:06+00:00
53	23.582290	120.960205	3207.1	gpx		2023-10-03T00:44:30+00:00
54	23.582530	120.959986	3205.0	gpx		2023-10-03T00:44:55+00:00
55	23.582803	120.959882	3203.0	gpx		2023-10-03T00:45:19+00:00
56	23.583100	120.959657	3200.9	gpx		2023-10-03T00:45:44+00:00
57	23.583319	120.959527	3200.1	gpx		2023-10-03T00:46:08+00:00
58	23.583385	120.959448	3199.8	gpx		2023-10-03T00:46:32+00:00
59	23.583500	120.959474	3199.5	gpx		2023-10-03T00:46:57+00:00
60	23.583657	120.959432	3199.3	gpx		2023-10-03T00:47:21+00:00
61	23.583775	120.959466	3199.1	gpx		2023-10-03T00:47:45+00:00
62	23.584005	120.959476	3198.9	gpx		2023-10-03T00:48:10+00:00
63	23.584136	120.959454	3198.8	gpx		2023-10-03T00:48:34+00:00
64	23.584274	120.959447	3198.7	gpx		2023-10-03T00:48:59+00:00
65	23.584333	120.959460	3198.5	gpx		2023-10-03T00:49:23+00:00
66	23.584423	120.959407	3198.4	gpx		2023-10-03T00:49:47+00:00
67	23.584513	120.959259	3198.1	gpx		2023-10-03T00:50:12+00:00
68	23.584683	120.959190	3197.5	gpx		2023-10-03T00:50:36+00:00
69	23.584784	120.959187	3197.2	gpx		2023-10-03T00:51:00+00:00
70	23.584808	120.959200	3196.8	gpx		2023-10-03T00:51:25+00:00
71	23.584983	120.959093	3195.9	gpx		2023-10-03T00:51:49+00:00
72	23.585039	120.959012	3195.4	gpx		2023-10-03T00:52:14+00:00
73	23.585097	120.958975	3194.9	gpx		2023-10-03T00:52:38+00:00
74	23.585113	120.958932	3194.4	gpx		2023-10-03T00:53:02+00:00
75	23.585169	120.958935	3193.9	gpx		2023-10-03T00:53:27+00:00
76	23.585199	120.958873	3193.3	gpx		2023-10-03T00:53:51+00:00
77	23.585448	120.958729	3191.1	gpx		2023-10-03T00:54:15+00:00
78	23.585531	120.958666	3190.1	gpx		2023-10-03T00:54:40+00:00
79	23.585704	120.958603	3188.3	gpx		2023-10-03T00:55:04+00:00
80	23.585727	120.958572	3187.4	gpx		2023-10-03T00:55:29+00:00
81	23.585745	120.958599	3186.4	gpx		2023-10-03T00:55:53+00:00
82	23.585913	120.958528	3184.6	gpx		2023-10-03T00:56:17+00:00
83	23.585958	120.958527	3183.7	gpx		2023-10-03T00:56:42+00:00
84	23.585979	120.958558	3182.9	gpx		2023-10-03T00:57:06+00:00
85	23.586374	120.958253	3178.8	gpx		2023-10-03T00:57:30+00:00
86	23.586417	120.958189	3178.2	gpx		2023-10-03T00:57:55+00:00
87	23.586529	120.958131	3177.7	gpx		2023-10-03T00:58:19+00:00
88	23.586550	120.958055	3177.3	gpx		2023-10-03T00:58:44+00:00
89	23.586696	120.957876	3176.9	gpx		2023-10-03T00:59:08+00:00
90	23.586849	120.957825	3177.0	gpx		2023-10-03T00:59:32+00:00
91	23.586866	120.957793	3177.2	gpx		2023-10-03T00:59:57+00:00
92	23.586979	120.957716	3177.5	gpx		2023-10-03T01:00:21+00:00
93	23.587084	120.957618	3178.1	gpx		2023-10-03T01:00:46+00:00
94	23.587150	120.957615	3178.7	gpx		2023-10-03T01:01:10+00:00
95	23.587238	120.957559	3179.4	gpx		2023-10-03T01:01:34+00:00
96	23.587303	120.957485	3180.4	gpx		2023-10-03T01:01:59+00:00
97	23.587350	120.957469	3181.5	gpx		2023-10-03T01:02:23+00:00
