順序	緯度	經度	海拔（約）	類型	名稱	時間
1	23.251939	120.941197	3226.7	gpx		2023-07-10T03:30:36+00:00
2(peak)	23.251900	120.941190	3227.8	comm	peak	2023-07-10T03:30:59.794689003+00:00
3	23.251780	120.941147	3231.3	gpx		2023-07-10T03:32:16+00:00
4	23.251621	120.941097	3236.0	gpx		2023-07-10T03:33:56+00:00
5	23.251477	120.941052	3240.7	gpx		2023-07-10T03:35:26+00:00
6	23.251251	120.940993	3243.2	gpx		2023-07-10T03:36:56+00:00
7	23.251229	120.940948	3244.9	gpx		2023-07-10T03:38:56+00:00
8	23.251292	120.941073	3247.9	gpx		2023-07-10T03:40:36+00:00
9	23.251545	120.941097	3246.2	gpx		2023-07-10T03:42:46+00:00
10	23.251711	120.941158	3243.5	gpx		2023-07-10T03:45:46+00:00
11	23.251876	120.941223	3243.2	gpx		2023-07-10T03:48:56+00:00
12	23.252124	120.941255	3242.8	gpx		2023-07-10T04:00:26+00:00
13	23.252261	120.941150	3233.6	gpx		2023-07-10T04:19:16+00:00
14	23.252376	120.941020	3221.0	gpx		2023-07-10T04:28:56+00:00
15	23.252513	120.940898	3214.9	gpx		2023-07-10T04:30:36+00:00
16	23.252672	120.940879	3201.1	gpx		2023-07-10T04:32:56+00:00
17	23.252772	120.940788	3181.0	gpx		2023-07-10T04:35:06+00:00
18	23.252863	120.940777	3169.7	gpx		2023-07-10T04:35:46+00:00
19	23.252895	120.940762	3168.7	gpx		2023-07-10T04:35:56+00:00
20	23.252927	120.940747	3167.6	gpx		2023-07-10T04:36:06+00:00
21	23.252959	120.940731	3166.6	gpx		2023-07-10T04:36:16+00:00
22	23.252991	120.940716	3165.5	gpx		2023-07-10T04:36:26+00:00
23	23.253099	120.940677	3164.5	gpx		2023-07-10T04:37:06+00:00
24	23.253198	120.940642	3154.5	gpx		2023-07-10T04:37:46+00:00
25	23.253225	120.940630	3153.0	gpx		2023-07-10T04:37:56+00:00
26	23.253252	120.940619	3151.5	gpx		2023-07-10T04:38:06+00:00
27	23.253278	120.940607	3150.0	gpx		2023-07-10T04:38:16+00:00
28	23.253305	120.940595	3148.5	gpx		2023-07-10T04:38:26+00:00
29	23.253339	120.940592	3147.2	gpx		2023-07-10T04:38:36+00:00
30	23.253380	120.940598	3146.1	gpx		2023-07-10T04:38:46+00:00
31	23.253421	120.940604	3145.0	gpx		2023-07-10T04:38:56+00:00
32	23.253462	120.940611	3143.9	gpx		2023-07-10T04:39:06+00:00
33	23.253503	120.940617	3142.8	gpx		2023-07-10T04:39:16+00:00
34	23.253545	120.940623	3141.7	gpx		2023-07-10T04:39:26+00:00
35	23.253586	120.940629	3140.6	gpx		2023-07-10T04:39:36+00:00
36	23.253627	120.940635	3139.5	gpx		2023-07-10T04:39:46+00:00
37	23.253668	120.940641	3138.4	gpx		2023-07-10T04:39:56+00:00
38	23.253709	120.940647	3137.3	gpx		2023-07-10T04:40:06+00:00
39	23.253750	120.940653	3136.2	gpx		2023-07-10T04:40:16+00:00
40	23.253792	120.940638	3134.8	gpx		2023-07-10T04:40:26+00:00
41	23.253836	120.940593	3133.2	gpx		2023-07-10T04:40:36+00:00
42	23.253880	120.940548	3131.5	gpx		2023-07-10T04:40:46+00:00
43	23.254007	120.940429	3129.8	gpx		2023-07-10T04:41:26+00:00
44	23.254156	120.940378	3122.4	gpx		2023-07-10T04:42:36+00:00
45	23.254281	120.940262	3114.3	gpx		2023-07-10T04:43:46+00:00
46	23.254350	120.940184	3108.4	gpx		2023-07-10T04:44:26+00:00
47	23.254367	120.940164	3107.5	gpx		2023-07-10T04:44:36+00:00
48	23.254384	120.940144	3106.7	gpx		2023-07-10T04:44:46+00:00
49	23.254405	120.940126	3105.9	gpx		2023-07-10T04:44:56+00:00
50	23.254458	120.940121	3105.5	gpx		2023-07-10T04:45:06+00:00
51	23.254511	120.940116	3105.0	gpx		2023-07-10T04:45:16+00:00
52	23.254565	120.940111	3104.6	gpx		2023-07-10T04:45:26+00:00
53	23.254613	120.940117	3104.2	gpx		2023-07-10T04:45:36+00:00
54	23.254641	120.940164	3103.9	gpx		2023-07-10T04:45:46+00:00
55	23.254669	120.940211	3103.5	gpx		2023-07-10T04:45:56+00:00
56	23.254697	120.940258	3103.1	gpx		2023-07-10T04:46:06+00:00
57	23.254791	120.940238	3102.8	gpx		2023-07-10T04:48:06+00:00
58	23.254883	120.940098	3088.9	gpx		2023-07-10T04:51:56+00:00
59	23.254937	120.939970	3077.8	gpx		2023-07-10T04:55:46+00:00
60	23.255090	120.939882	3064.2	gpx		2023-07-10T04:58:46+00:00
61	23.255189	120.939740	3054.6	gpx		2023-07-10T05:00:56+00:00
62	23.255254	120.939560	3043.5	gpx		2023-07-10T05:02:56+00:00
63	23.255407	120.939485	3031.8	gpx		2023-07-10T05:04:56+00:00
64	23.255563	120.939410	3021.4	gpx		2023-07-10T05:06:26+00:00
65	23.255734	120.939344	3012.8	gpx		2023-07-10T05:07:46+00:00
66	23.255865	120.939437	3003.1	gpx		2023-07-10T05:09:26+00:00
67	23.255998	120.939426	3000.8	gpx		2023-07-10T05:12:16+00:00
68	23.256100	120.939363	2979.2	gpx		2023-07-10T05:14:46+00:00
69	23.256152	120.939274	2972.5	gpx		2023-07-10T05:15:26+00:00
70	23.256163	120.939255	2971.6	gpx		2023-07-10T05:15:36+00:00
71	23.256175	120.939235	2970.8	gpx		2023-07-10T05:15:46+00:00
72	23.256186	120.939215	2970.0	gpx		2023-07-10T05:15:56+00:00
73	23.256167	120.939167	2970.0	gpx		2023-07-10T05:16:06+00:00
74	23.256165	120.939034	2970.2	gpx		2023-07-10T05:16:46+00:00
