順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.388775	121.271907	3142.0	gpx		2021-09-06T02:23:35+00:00
2(peak)	24.388687	121.272073	3142.0	comm	peak	2021-09-06T02:24:38.221079994+00:00
3	24.388955	121.270949	3142.0	gpx		2021-09-06T02:29:03+00:00
4	24.388784	121.270059	3143.4	gpx		2021-09-06T02:32:43+00:00
5	24.388994	121.269474	3144.5	gpx		2021-09-06T02:35:27+00:00
6	24.388984	121.268122	3150.5	gpx		2021-09-06T02:38:11+00:00
7	24.389189	121.267071	3153.2	gpx		2021-09-06T02:40:01+00:00
8	24.388915	121.266138	3148.2	gpx		2021-09-06T02:41:51+00:00
9	24.388925	121.265665	3144.7	gpx		2021-09-06T02:43:40+00:00
10	24.389433	121.264475	3134.7	gpx		2021-09-06T02:46:25+00:00
11	24.389501	121.263402	3124.3	gpx		2021-09-06T02:48:14+00:00
12	24.389932	121.262232	3122.5	gpx		2021-09-06T02:50:58+00:00
13	24.389891	121.260667	3136.7	gpx		2021-09-06T02:54:38+00:00
14	24.389785	121.260344	3139.1	gpx		2021-09-06T02:57:22+00:00
15	24.389766	121.258853	3149.2	gpx		2021-09-06T03:00:06+00:00
16	24.389971	121.257361	3161.8	gpx		2021-09-06T03:04:40+00:00
17	24.389863	121.256718	3165.4	gpx		2021-09-06T03:07:25+00:00
18	24.389971	121.256492	3166.4	gpx		2021-09-06T03:08:20+00:00
19	24.391358	121.255248	3192.8	gpx		2021-09-06T03:13:48+00:00
20	24.391446	121.254969	3192.8	gpx		2021-09-06T03:14:43+00:00
21	24.392306	121.254749	3172.5	gpx		2021-09-06T03:20:12+00:00
22	24.392306	121.254749	3147.6	gpx		2021-09-06T22:01:16+00:00
23	24.393259	121.253909	3160.2	gpx		2021-09-06T22:07:40+00:00
24	24.393637	121.253358	3162.8	gpx		2021-09-06T22:10:13+00:00
25	24.393073	121.253457	3181.4	gpx		2021-09-06T22:14:03+00:00
26	24.393376	121.252995	3198.5	gpx		2021-09-06T22:19:10+00:00
27	24.392956	121.252952	3208.7	gpx		2021-09-06T22:21:44+00:00
28	24.393281	121.252599	3227.2	gpx		2021-09-06T22:23:01+00:00
29	24.392847	121.252538	3238.0	gpx		2021-09-06T22:25:34+00:00
30	24.393253	121.252193	3242.8	gpx		2021-09-06T22:28:07+00:00
31	24.393712	121.251391	3251.9	gpx		2021-09-06T22:34:31+00:00
32	24.393353	121.251417	3255.7	gpx		2021-09-06T22:35:48+00:00
33	24.393628	121.251115	3253.9	gpx		2021-09-06T22:37:05+00:00
34	24.393576	121.250109	3268.4	gpx		2021-09-06T22:42:11+00:00
35	24.393821	121.248767	3285.9	gpx		2021-09-06T22:46:02+00:00
36	24.393762	121.248381	3287.5	gpx		2021-09-06T22:48:35+00:00
37	24.393948	121.248156	3290.0	gpx		2021-09-06T22:49:52+00:00
38	24.394065	121.247276	3305.8	gpx		2021-09-06T22:51:09+00:00
39	24.394241	121.247158	3310.0	gpx		2021-09-06T22:52:25+00:00
40	24.394241	121.246568	3319.8	gpx		2021-09-06T22:54:59+00:00
41	24.394368	121.246493	3321.3	gpx		2021-09-06T22:56:15+00:00
42	24.394299	121.245838	3327.9	gpx		2021-09-06T22:58:49+00:00
43	24.394485	121.245774	3329.3	gpx		2021-09-06T23:00:06+00:00
44	24.394524	121.244894	3331.5	gpx		2021-09-06T23:02:39+00:00
45	24.393987	121.244047	3333.8	gpx		2021-09-06T23:07:46+00:00
46	24.393957	121.243768	3336.0	gpx		2021-09-06T23:09:03+00:00
47	24.393039	121.242652	3391.8	gpx		2021-09-06T23:19:34+00:00
48	24.393039	121.242330	3393.6	gpx		2021-09-06T23:22:13+00:00
49	24.392736	121.242116	3396.0	gpx		2021-09-06T23:24:52+00:00
50	24.392668	121.241965	3396.6	gpx		2021-09-06T23:26:11+00:00
51	24.392765	121.241751	3397.7	gpx		2021-09-06T23:27:31+00:00
