順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.432463	121.304842	3241.0	gpx		2020-10-14T02:24:35+00:00
2(4.5 K)	24.432510	121.304630	3323.0	comm	4.5 K	2020-10-14T02:26:05+00:00
3	24.432506	121.304902	3242.9	gpx		2020-10-14T02:26:05+00:00
4	24.432640	121.304903	3244.8	gpx		2020-10-14T02:27:34+00:00
5	24.432758	121.304677	3247.9	gpx		2020-10-14T02:29:03+00:00
6	24.432770	121.304402	3250.4	gpx		2020-10-14T02:30:33+00:00
7	24.432821	121.304170	3252.3	gpx		2020-10-14T02:32:02+00:00
8	24.432787	121.303858	3252.4	gpx		2020-10-14T02:33:31+00:00
9	24.432844	121.303645	3250.8	gpx		2020-10-14T02:35:01+00:00
10	24.432871	121.303446	3248.6	gpx		2020-10-14T02:36:30+00:00
11	24.432853	121.303308	3247.4	gpx		2020-10-14T02:38:00+00:00
12	24.432899	121.303180	3246.2	gpx		2020-10-14T02:39:29+00:00
13	24.432972	121.302801	3242.1	gpx		2020-10-14T02:40:58+00:00
14	24.433195	121.302643	3238.7	gpx		2020-10-14T02:42:28+00:00
15	24.433195	121.302643	3224.2	gpx		2020-10-14T02:43:57+00:00
16	24.432972	121.302801	3225.3	gpx		2020-10-14T02:45:27+00:00
17	24.432899	121.303180	3226.7	gpx		2020-10-14T02:46:56+00:00
18	24.432853	121.303308	3226.9	gpx		2020-10-14T02:48:25+00:00
19	24.432871	121.303446	3227.0	gpx		2020-10-14T02:49:55+00:00
20	24.432844	121.303645	3227.1	gpx		2020-10-14T02:51:24+00:00
21	24.432787	121.303858	3228.2	gpx		2020-10-14T02:52:53+00:00
22	24.432821	121.304170	3232.3	gpx		2020-10-14T02:54:23+00:00
23	24.432770	121.304402	3235.2	gpx		2020-10-14T02:55:52+00:00
24	24.432758	121.304677	3237.5	gpx		2020-10-14T02:57:22+00:00
25	24.432640	121.304903	3240.7	gpx		2020-10-14T02:58:51+00:00
26	24.432630	121.304903	3242.4	gpx		2020-10-14T03:00:20+00:00
27	24.432630	121.304903	3258.6	gpx		2020-10-14T03:01:50+00:00
28	24.432630	121.304903	3258.6	gpx		2020-10-14T03:03:19+00:00
29	24.432640	121.304903	3261.3	gpx		2020-10-14T03:04:49+00:00
30	24.432758	121.304677	3260.5	gpx		2020-10-14T03:06:18+00:00
31	24.432770	121.304402	3259.4	gpx		2020-10-14T03:07:47+00:00
32	24.432821	121.304170	3258.6	gpx		2020-10-14T03:09:17+00:00
33	24.432787	121.303858	3254.0	gpx		2020-10-14T03:10:46+00:00
34	24.432844	121.303645	3250.3	gpx		2020-10-14T03:12:15+00:00
35	24.432871	121.303446	3247.2	gpx		2020-10-14T03:13:45+00:00
36	24.432853	121.303308	3246.1	gpx		2020-10-14T03:15:14+00:00
37	24.432899	121.303180	3245.0	gpx		2020-10-14T03:16:44+00:00
38	24.432972	121.302801	3242.4	gpx		2020-10-14T03:18:13+00:00
39	24.433195	121.302643	3238.7	gpx		2020-10-14T03:19:42+00:00
40	24.433195	121.302643	3224.2	gpx		2020-10-14T03:21:12+00:00
41	24.432972	121.302801	3225.3	gpx		2020-10-14T03:22:41+00:00
42	24.432899	121.303180	3226.7	gpx		2020-10-14T03:24:11+00:00
43	24.432853	121.303308	3226.9	gpx		2020-10-14T03:25:40+00:00
44	24.432871	121.303446	3227.0	gpx		2020-10-14T03:27:09+00:00
45	24.432844	121.303645	3227.1	gpx		2020-10-14T03:28:39+00:00
46	24.432787	121.303858	3228.2	gpx		2020-10-14T03:30:08+00:00
47	24.432821	121.304170	3232.3	gpx		2020-10-14T03:31:37+00:00
48	24.432770	121.304402	3235.2	gpx		2020-10-14T03:33:07+00:00
49	24.432758	121.304677	3237.5	gpx		2020-10-14T03:34:36+00:00
50	24.432640	121.304903	3240.7	gpx		2020-10-14T03:36:06+00:00
51	24.432506	121.304902	3242.1	gpx		2020-10-14T03:37:35+00:00
52	24.432463	121.304842	3243.5	gpx		2020-10-14T03:39:04+00:00
53	24.432065	121.304811	3248.6	gpx		2020-10-14T03:40:34+00:00
54	24.431687	121.304841	3252.4	gpx		2020-10-14T03:42:03+00:00
55	24.431400	121.304895	3252.3	gpx		2020-10-14T03:43:33+00:00
56	24.430769	121.304920	3242.9	gpx		2020-10-14T03:45:02+00:00
57	24.430620	121.304859	3241.0	gpx		2020-10-14T03:46:31+00:00
58	24.430515	121.304578	3234.3	gpx		2020-10-14T03:48:01+00:00
59	24.430197	121.304253	3219.7	gpx		2020-10-14T03:49:30+00:00
60	24.429297	121.304086	3174.3	gpx		2020-10-14T03:50:59+00:00
61	24.429175	121.304148	3169.6	gpx		2020-10-14T03:52:29+00:00
62	24.429164	121.303995	3165.2	gpx		2020-10-14T03:53:58+00:00
63	24.428996	121.304118	3156.8	gpx		2020-10-14T03:55:28+00:00
64	24.428866	121.304103	3152.4	gpx		2020-10-14T03:56:57+00:00
65	24.428879	121.303986	3148.0	gpx		2020-10-14T03:58:26+00:00
66	24.428753	121.304088	3143.6	gpx		2020-10-14T03:59:56+00:00
67	24.428315	121.304023	3130.7	gpx		2020-10-14T04:01:25+00:00
68	24.428197	121.303784	3125.6	gpx		2020-10-14T04:02:55+00:00
69	24.428065	121.303596	3120.9	gpx		2020-10-14T04:04:24+00:00
70	24.428027	121.303691	3118.5	gpx		2020-10-14T04:05:53+00:00
71	24.427772	121.303814	3110.4	gpx		2020-10-14T04:07:23+00:00
72	24.427729	121.303690	3107.2	gpx		2020-10-14T04:08:52+00:00
73	24.427517	121.303695	3101.2	gpx		2020-10-14T04:10:21+00:00
74	24.427498	121.303578	3098.4	gpx		2020-10-14T04:11:51+00:00
75	24.427053	121.303316	3087.7	gpx		2020-10-14T04:13:20+00:00
76	24.426727	121.303313	3080.4	gpx		2020-10-14T04:14:50+00:00
77	24.426708	121.303505	3077.5	gpx		2020-10-14T04:16:19+00:00
78	24.426605	121.303686	3070.8	gpx		2020-10-14T04:17:48+00:00
79	24.426397	121.303748	3063.3	gpx		2020-10-14T04:19:18+00:00
80	24.426104	121.303658	3050.3	gpx		2020-10-14T04:20:47+00:00
81	24.425813	121.303869	3036.8	gpx		2020-10-14T04:22:17+00:00
82	24.425613	121.304139	3020.9	gpx		2020-10-14T04:23:46+00:00
83	24.425429	121.304309	3008.8	gpx		2020-10-14T04:25:15+00:00
84	24.425100	121.304456	2989.9	gpx		2020-10-14T04:26:45+00:00
