順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.449994	121.321294	3090.1	gpx		2022-10-22T23:23:17+00:00
2	24.449994	121.321294	3111.0	gpx		2022-10-22T23:25:08+00:00
3	24.449615	121.321178	3101.2	gpx		2022-10-22T23:26:59+00:00
4	24.448741	121.320940	3092.9	gpx		2022-10-22T23:28:51+00:00
5	24.448571	121.320584	3090.7	gpx		2022-10-22T23:30:42+00:00
6	24.448207	121.320274	3084.9	gpx		2022-10-22T23:32:33+00:00
7	24.447801	121.320037	3081.3	gpx		2022-10-22T23:34:25+00:00
8	24.447340	121.319682	3077.4	gpx		2022-10-22T23:36:16+00:00
9	24.446612	121.318988	3075.2	gpx		2022-10-22T23:38:08+00:00
10	24.446279	121.318881	3075.1	gpx		2022-10-22T23:39:59+00:00
11	24.445977	121.318617	3075.2	gpx		2022-10-22T23:41:50+00:00
12	24.445456	121.318667	3074.9	gpx		2022-10-22T23:43:42+00:00
13	24.445130	121.318402	3074.8	gpx		2022-10-22T23:45:33+00:00
14	24.444688	121.318201	3075.3	gpx		2022-10-22T23:47:24+00:00
15	24.444277	121.317831	3077.1	gpx		2022-10-22T23:49:16+00:00
16	24.444019	121.317802	3078.4	gpx		2022-10-22T23:51:07+00:00
17	24.442872	121.317434	3091.7	gpx		2022-10-22T23:52:59+00:00
18	24.442667	121.317496	3094.1	gpx		2022-10-22T23:54:50+00:00
19	24.441881	121.317127	3102.0	gpx		2022-10-22T23:56:41+00:00
20	24.441763	121.317071	3102.9	gpx		2022-10-22T23:58:33+00:00
21	24.440783	121.316475	3113.9	gpx		2022-10-23T00:00:24+00:00
22	24.440452	121.316045	3120.7	gpx		2022-10-23T00:02:15+00:00
23	24.440410	121.315420	3131.4	gpx		2022-10-23T00:04:07+00:00
24	24.439901	121.314999	3142.6	gpx		2022-10-23T00:05:58+00:00
25	24.439565	121.314916	3146.5	gpx		2022-10-23T00:07:50+00:00
26	24.439565	121.314916	3150.4	gpx		2022-10-23T00:09:38+00:00
27	24.439505	121.314901	3150.2	gpx		2022-10-23T00:11:26+00:00
28	24.438927	121.314586	3147.7	gpx		2022-10-23T00:13:14+00:00
29	24.438676	121.313827	3146.8	gpx		2022-10-23T00:15:02+00:00
30	24.438421	121.313687	3146.9	gpx		2022-10-23T00:16:50+00:00
31	24.438150	121.313694	3146.8	gpx		2022-10-23T00:18:38+00:00
32	24.437864	121.313098	3148.6	gpx		2022-10-23T00:20:27+00:00
33	24.437092	121.312763	3150.4	gpx		2022-10-23T00:22:15+00:00
34	24.437077	121.312548	3150.2	gpx		2022-10-23T00:24:03+00:00
35	24.436763	121.312061	3148.2	gpx		2022-10-23T00:25:51+00:00
36	24.437058	121.311433	3144.7	gpx		2022-10-23T00:27:39+00:00
37	24.436551	121.310742	3143.6	gpx		2022-10-23T00:29:27+00:00
38	24.436568	121.310384	3144.1	gpx		2022-10-23T00:31:15+00:00
39	24.436741	121.310120	3144.9	gpx		2022-10-23T00:33:04+00:00
40	24.436825	121.309461	3147.0	gpx		2022-10-23T00:34:52+00:00
41	24.436605	121.308970	3149.3	gpx		2022-10-23T00:36:40+00:00
42	24.436421	121.308938	3150.3	gpx		2022-10-23T00:38:28+00:00
43	24.436226	121.308368	3153.1	gpx		2022-10-23T00:40:16+00:00
44	24.435646	121.308266	3156.9	gpx		2022-10-23T00:42:04+00:00
45	24.434674	121.307262	3180.9	gpx		2022-10-23T00:43:53+00:00
46	24.434615	121.307241	3184.8	gpx		2022-10-23T00:45:41+00:00
47	24.434421	121.307175	3192.3	gpx		2022-10-23T00:47:29+00:00
48	24.433826	121.307000	3212.4	gpx		2022-10-23T00:49:17+00:00
49	24.433715	121.306536	3222.9	gpx		2022-10-23T00:51:05+00:00
50	24.433276	121.305425	3234.9	gpx		2022-10-23T00:52:53+00:00
51	24.433054	121.304962	3235.6	gpx		2022-10-23T00:54:41+00:00
52	24.432640	121.304903	3239.5	gpx		2022-10-23T00:56:30+00:00
53	24.432630	121.304903	3240.7	gpx		2022-10-23T00:58:18+00:00
54	24.432630	121.304903	3258.6	gpx		2022-10-23T00:58:52+00:00
55	24.432640	121.304903	3261.3	gpx		2022-10-23T00:59:26+00:00
56	24.432758	121.304677	3260.5	gpx		2022-10-23T01:00:00+00:00
