順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.413419	121.302577	2249.8	gpx		2021-03-14T09:33:24+00:00
2(路標指示 4.3 k)	24.414028	121.302781	2338.0	comm	路標指示 4.3 k	2021-03-14T09:38:17.932332876+00:00
3	24.412259	121.302669	2245.7	gpx		2021-03-14T09:42:17+00:00
4	24.411368	121.302860	2251.0	gpx		2021-03-14T09:44:20+00:00
5	24.410894	121.303037	2236.3	gpx		2021-03-14T09:45:18+00:00
6	24.410461	121.302830	2240.2	gpx		2021-03-14T09:46:02+00:00
7	24.409967	121.302844	2245.4	gpx		2021-03-14T09:46:56+00:00
8	24.409601	121.303126	2240.8	gpx		2021-03-14T09:47:47+00:00
9	24.408981	121.303857	2235.5	gpx		2021-03-14T09:49:33+00:00
10	24.408698	121.304173	2234.2	gpx		2021-03-14T09:50:15+00:00
11	24.408221	121.304392	2231.5	gpx		2021-03-14T09:52:04+00:00
12(池有品田 0 k)	24.408000	121.304500	2200.0	comm	池有品田 0 k	2021-03-14T09:52:04+00:00
13	24.407723	121.305219	2220.0	gpx		2021-03-14T09:53:43+00:00
14	24.407599	121.305372	2216.9	gpx		2021-03-14T09:54:01+00:00
15	24.407360	121.305264	2216.6	gpx		2021-03-14T09:54:24+00:00
16	24.407423	121.304884	2217.1	gpx		2021-03-14T09:54:53+00:00
17	24.407692	121.304636	2220.3	gpx		2021-03-14T09:55:25+00:00
18	24.407519	121.304498	2218.1	gpx		2021-03-14T09:55:49+00:00
19	24.407429	121.304751	2214.1	gpx		2021-03-14T09:56:12+00:00
20	24.407113	121.304888	2210.0	gpx		2021-03-14T09:56:46+00:00
21	24.406955	121.305393	2199.5	gpx		2021-03-14T09:57:47+00:00
22	24.407042	121.305611	2194.6	gpx		2021-03-14T09:58:15+00:00
23	24.406857	121.305502	2191.9	gpx		2021-03-14T09:59:03+00:00
24	24.406850	121.304497	2188.1	gpx		2021-03-14T10:00:53+00:00
25	24.406877	121.304217	2181.9	gpx		2021-03-14T10:01:18+00:00
26	24.407181	121.303847	2179.0	gpx		2021-03-14T10:02:16+00:00
27	24.406769	121.304123	2171.2	gpx		2021-03-14T10:03:08+00:00
28	24.406443	121.304852	2167.0	gpx		2021-03-14T10:04:24+00:00
29	24.406152	121.305133	2158.6	gpx		2021-03-14T10:05:05+00:00
30	24.405961	121.305627	2149.1	gpx		2021-03-14T10:06:08+00:00
31	24.405904	121.305198	2140.6	gpx		2021-03-14T10:06:42+00:00
32	24.406150	121.304633	2137.2	gpx		2021-03-14T10:07:40+00:00
33	24.406145	121.304140	2134.8	gpx		2021-03-14T10:08:33+00:00
34	24.406386	121.303614	2127.9	gpx		2021-03-14T10:09:37+00:00
35	24.406239	121.303677	2126.4	gpx		2021-03-14T10:09:49+00:00
36	24.405831	121.304642	2123.9	gpx		2021-03-14T10:11:23+00:00
37	24.405559	121.304896	2118.3	gpx		2021-03-14T10:12:03+00:00
38	24.405129	121.305543	2111.5	gpx		2021-03-14T10:13:21+00:00
39	24.405178	121.305805	2104.3	gpx		2021-03-14T10:13:48+00:00
40	24.404940	121.305624	2100.1	gpx		2021-03-14T10:14:20+00:00
41	24.404952	121.305262	2098.4	gpx		2021-03-14T10:14:53+00:00
42	24.405284	121.304822	2098.3	gpx		2021-03-14T10:15:42+00:00
43	24.405641	121.303909	2091.0	gpx		2021-03-14T10:17:21+00:00
44	24.405738	121.303291	2083.2	gpx		2021-03-14T10:18:18+00:00
45	24.406009	121.302991	2082.0	gpx		2021-03-14T10:18:59+00:00
46	24.406042	121.302829	2082.9	gpx		2021-03-14T10:19:22+00:00
47	24.405890	121.302690	2080.3	gpx		2021-03-14T10:19:46+00:00
48	24.405901	121.303117	2079.1	gpx		2021-03-14T10:20:19+00:00
49	24.405646	121.303177	2073.1	gpx		2021-03-14T10:20:42+00:00
50	24.405350	121.303674	2065.7	gpx		2021-03-14T10:21:38+00:00
51	24.404760	121.304439	2054.7	gpx		2021-03-14T10:23:04+00:00
52	24.404494	121.304669	2048.1	gpx		2021-03-14T10:23:39+00:00
53	24.404245	121.305262	2036.2	gpx		2021-03-14T10:24:42+00:00
54	24.403915	121.305909	2030.6	gpx		2021-03-14T10:25:47+00:00
55	24.403653	121.306006	2026.9	gpx		2021-03-14T10:26:19+00:00
56	24.403472	121.306288	2018.1	gpx		2021-03-14T10:26:57+00:00
57(路標指示 1.5k)	24.403000	121.306000	1750.0	comm	路標指示 1.5k	2021-03-14T10:27:37+00:00
58	24.403121	121.306066	2010.5	gpx		2021-03-14T10:27:37+00:00
59	24.402935	121.306204	2008.2	gpx		2021-03-14T10:28:02+00:00
60	24.404034	121.306911	1996.0	gpx		2021-03-14T10:30:06+00:00
61	24.404369	121.306902	1991.6	gpx		2021-03-14T10:30:42+00:00
62	24.404925	121.307113	1992.1	gpx		2021-03-14T10:31:32+00:00
63	24.405334	121.307408	1991.1	gpx		2021-03-14T10:32:17+00:00
64(桃山步道0K_桃山瀑布1K)	24.405220	121.307580	2100.0	comm	桃山步道0K_桃山瀑布1K	2021-03-14T10:32:36.558394450+00:00
65	24.405281	121.307656	1988.1	gpx		2021-03-14T10:32:41+00:00
66	24.404040	121.307335	1974.2	gpx		2021-03-14T10:34:34+00:00
67	24.403141	121.307225	1963.0	gpx		2021-03-14T10:35:57+00:00
68	24.402257	121.306992	1950.9	gpx		2021-03-14T10:37:23+00:00
69	24.402018	121.306907	1953.2	gpx		2021-03-14T10:37:45+00:00
70	24.401349	121.306986	1939.7	gpx		2021-03-14T10:38:50+00:00
71	24.400518	121.307420	1926.4	gpx		2021-03-14T10:40:17+00:00
72	24.399733	121.307917	1921.0	gpx		2021-03-14T10:41:40+00:00
73	24.399214	121.308393	1912.1	gpx		2021-03-14T10:42:39+00:00
74(路標指示 0.5 k)	24.398900	121.308300	1450.0	comm	路標指示 0.5 k	2021-03-14T10:43:08.063993853+00:00
75	24.398855	121.308203	1908.0	gpx		2021-03-14T10:43:15+00:00
76	24.398008	121.307856	1897.1	gpx		2021-03-14T10:44:40+00:00
77	24.397762	121.307770	1893.1	gpx		2021-03-14T10:45:05+00:00
78	24.397495	121.308013	1897.4	gpx		2021-03-14T10:45:37+00:00
79	24.397105	121.308003	1896.9	gpx		2021-03-14T10:46:13+00:00
80(路標指示 0 k 起點)	24.397000	121.307700	1400.0	comm	路標指示 0 k 起點	2021-03-14T10:46:41.517584606+00:00
81	24.396909	121.307428	1900.6	gpx		2021-03-14T10:47:07+00:00
82	24.397245	121.307019	1901.1	gpx		2021-03-14T10:48:03+00:00
83	24.397275	121.306936	1903.2	gpx		2021-03-14T10:48:12+00:00
84	24.397494	121.306997	1902.9	gpx		2021-03-14T10:49:04+00:00
