順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.383415	121.231992	3815.5	gpx		2021-09-07T01:14:51+00:00
2(雪山主峰)	24.383319	121.231870	3815.7	comm	雪山主峰	2021-09-07T01:16:09.634798932+00:00
3	24.383267	121.232910	3816.5	gpx		2021-09-07T01:22:42+00:00
4	24.384828	121.235525	3749.0	gpx		2021-09-07T01:29:57+00:00
5	24.385765	121.236272	3675.6	gpx		2021-09-07T01:35:53+00:00
6	24.385789	121.235935	3676.1	gpx		2021-09-07T01:36:37+00:00
7	24.385916	121.236016	3675.7	gpx		2021-09-07T01:37:21+00:00
8	24.386255	121.235586	3674.3	gpx		2021-09-07T01:40:17+00:00
9	24.386455	121.235737	3673.4	gpx		2021-09-07T01:41:45+00:00
10	24.386476	121.235989	3672.6	gpx		2021-09-07T01:42:29+00:00
11	24.388564	121.236472	3631.6	gpx		2021-09-07T01:48:22+00:00
12	24.388974	121.237202	3605.5	gpx		2021-09-07T01:50:34+00:00
13	24.389179	121.237888	3580.1	gpx		2021-09-07T01:52:02+00:00
14	24.389375	121.237974	3574.9	gpx		2021-09-07T01:52:46+00:00
15	24.389550	121.239337	3534.0	gpx		2021-09-07T01:57:11+00:00
16	24.389619	121.239412	3530.9	gpx		2021-09-07T01:57:55+00:00
17	24.390078	121.239240	3520.5	gpx		2021-09-07T01:59:23+00:00
18	24.390088	121.239455	3515.8	gpx		2021-09-07T02:00:07+00:00
19	24.390293	121.239305	3511.3	gpx		2021-09-07T02:00:51+00:00
20	24.390195	121.239734	3504.4	gpx		2021-09-07T02:02:19+00:00
21	24.390450	121.239744	3500.3	gpx		2021-09-07T02:03:03+00:00
22	24.390537	121.239906	3498.2	gpx		2021-09-07T02:03:47+00:00
23	24.391192	121.240270	3486.2	gpx		2021-09-07T02:06:44+00:00
24	24.391300	121.240571	3479.5	gpx		2021-09-07T02:07:28+00:00
25	24.391466	121.240581	3477.2	gpx		2021-09-07T02:08:12+00:00
26	24.391466	121.240796	3473.1	gpx		2021-09-07T02:08:56+00:00
27	24.391993	121.241182	3460.0	gpx		2021-09-07T02:11:08+00:00
28	24.392042	121.241343	3457.0	gpx		2021-09-07T02:11:52+00:00
29	24.392765	121.241751	3432.8	gpx		2021-09-07T02:14:05+00:00
30	24.392668	121.241965	3427.3	gpx		2021-09-07T02:14:49+00:00
31	24.392736	121.242116	3424.6	gpx		2021-09-07T02:15:33+00:00
32	24.393039	121.242330	3417.0	gpx		2021-09-07T02:17:01+00:00
33	24.393039	121.242652	3412.7	gpx		2021-09-07T02:18:29+00:00
34	24.393957	121.243768	3367.8	gpx		2021-09-07T02:24:49+00:00
35	24.393987	121.244047	3362.8	gpx		2021-09-07T02:25:42+00:00
36	24.394524	121.244894	3348.1	gpx		2021-09-07T02:29:15+00:00
37	24.394553	121.245356	3344.5	gpx		2021-09-07T02:30:09+00:00
38	24.394485	121.245774	3337.6	gpx		2021-09-07T02:31:02+00:00
39	24.394299	121.245838	3334.8	gpx		2021-09-07T02:31:55+00:00
40	24.394368	121.246493	3331.3	gpx		2021-09-07T02:33:42+00:00
41	24.394241	121.246568	3331.3	gpx		2021-09-07T02:34:35+00:00
42	24.394241	121.247158	3331.2	gpx		2021-09-07T02:36:21+00:00
43	24.394065	121.247276	3330.7	gpx		2021-09-07T02:37:15+00:00
44	24.393948	121.248156	3323.9	gpx		2021-09-07T02:38:08+00:00
45	24.393762	121.248381	3319.8	gpx		2021-09-07T02:39:01+00:00
46	24.393821	121.248767	3314.2	gpx		2021-09-07T02:40:48+00:00
47	24.393576	121.250109	3291.1	gpx		2021-09-07T02:43:27+00:00
48	24.393628	121.251115	3281.4	gpx		2021-09-07T02:47:01+00:00
49	24.393353	121.251417	3273.7	gpx		2021-09-07T02:47:54+00:00
