順序	緯度	經度	海拔（約）	類型	名稱	時間
1	22.627070	120.761374	3000.7	gpx		2021-09-06T02:19:19+00:00
2(peak)	22.627060	120.761300	3008.0	comm	peak	2021-09-06T02:28:44+00:00
3	22.627056	120.761390	3008.0	gpx		2021-09-06T02:28:44+00:00
4	22.624434	120.759903	2967.5	gpx		2021-09-06T02:33:52+00:00
5	22.624196	120.759212	2950.1	gpx		2021-09-06T02:36:27+00:00
6	22.623093	120.757846	2935.4	gpx		2021-09-06T02:40:18+00:00
7	22.622206	120.757289	2929.1	gpx		2021-09-06T02:41:35+00:00
8	22.621481	120.757019	2932.4	gpx		2021-09-06T02:44:10+00:00
9	22.620517	120.756888	2945.7	gpx		2021-09-06T02:48:01+00:00
10	22.620253	120.756514	2943.9	gpx		2021-09-06T02:49:43+00:00
11	22.619105	120.756017	2927.0	gpx		2021-09-06T02:51:26+00:00
12	22.617997	120.755300	2887.8	gpx		2021-09-06T02:54:00+00:00
13	22.618087	120.755504	2883.5	gpx		2021-09-06T02:55:42+00:00
14	22.617211	120.754759	2870.5	gpx		2021-09-06T02:59:58+00:00
15	22.616270	120.754321	2854.4	gpx		2021-09-06T03:01:41+00:00
16	22.616816	120.754109	2844.1	gpx		2021-09-06T03:03:24+00:00
17	22.617181	120.754339	2838.5	gpx		2021-09-06T03:05:06+00:00
18	22.617398	120.754261	2838.8	gpx		2021-09-06T03:07:40+00:00
19	22.617289	120.754112	2838.8	gpx		2021-09-06T03:08:31+00:00
20	22.617680	120.753672	2833.9	gpx		2021-09-06T03:11:56+00:00
21	22.617534	120.753678	2829.9	gpx		2021-09-06T03:13:39+00:00
22	22.617656	120.753302	2823.2	gpx		2021-09-06T03:17:04+00:00
23	22.617387	120.753441	2817.1	gpx		2021-09-06T03:18:46+00:00
24	22.617325	120.753359	2812.2	gpx		2021-09-06T03:20:29+00:00
25	22.617905	120.752365	2781.6	gpx		2021-09-06T03:23:03+00:00
26	22.617110	120.752630	2764.9	gpx		2021-09-06T03:26:28+00:00
27	22.616698	120.752627	2759.7	gpx		2021-09-06T03:28:10+00:00
28	22.616418	120.752220	2754.9	gpx		2021-09-06T03:29:53+00:00
29	22.615300	120.751919	2728.6	gpx		2021-09-06T03:34:09+00:00
30	22.614901	120.751543	2708.6	gpx		2021-09-06T03:36:43+00:00
31	22.614877	120.750921	2675.0	gpx		2021-09-06T03:39:17+00:00
32	22.614586	120.749825	2609.2	gpx		2021-09-06T03:44:25+00:00
33	22.614785	120.748771	2550.5	gpx		2021-09-06T03:52:06+00:00
34	22.615073	120.748970	2539.4	gpx		2021-09-06T03:52:57+00:00
35	22.615110	120.748611	2529.6	gpx		2021-09-06T03:53:49+00:00
36	22.614784	120.748346	2516.9	gpx		2021-09-06T03:54:40+00:00
37	22.614767	120.748047	2509.1	gpx		2021-09-06T03:55:31+00:00
38	22.614314	120.747843	2501.4	gpx		2021-09-06T03:56:22+00:00
