original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_guanshanling_mountain_peak,check_tfidf_關山嶺山,check_tfidf_溪頭山,check_tfidf_塔關山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
關山嶺山 20221210.gpx,HN_Guanshanling_0401.gpx,HN_Guanshanling,2.69,5.18,526.5,512.1,14.4,2022/12/10 00:00,310,TRUE,TRUE,FALSE,FALSE,0,1.376954345,1.389436822,2.245385338,關山嶺山 20221210.gpx,HN_Guanshanling
南橫一星 關山嶺山.gpx,HN_Guanshanling_0106.gpx,HN_Guanshanling,2.69,4.96,537.7,534.6,3.1,2023/2/26 00:00,297,TRUE,TRUE,FALSE,FALSE,0,1.914506655,1.244817018,2.046900556,南橫一星 關山嶺山.gpx,HN_Guanshanling
關山嶺山 (88).gpx,HN_Guanshanling_0214.gpx,HN_Guanshanling,2.34,4.93,496.8,496.8,0,2023/12/2 00:00,295,TRUE,TRUE,FALSE,FALSE,0,-0.576208771,1.894926874,2.048977012,關山嶺山 (88).gpx,HN_Guanshanling
關山嶺山 (89).gpx,HN_Guanshanling_0215.gpx,HN_Guanshanling,2.34,4.93,496.8,496.8,0,2023/12/2 00:00,295,TRUE,TRUE,FALSE,FALSE,0,-0.576208771,1.894926874,2.048977012,關山嶺山 (89).gpx,HN_Guanshanling
關山嶺山 (90).gpx,HN_Guanshanling_0217.gpx,HN_Guanshanling,2.34,4.93,496.8,496.8,0,2023/12/2 00:00,295,TRUE,TRUE,FALSE,FALSE,0,-0.576208771,1.894926874,2.048977012,關山嶺山 (90).gpx,HN_Guanshanling
關山嶺山 (91).gpx,HN_Guanshanling_0218.gpx,HN_Guanshanling,2.34,4.93,496.8,496.8,0,2023/12/2 00:00,295,TRUE,TRUE,FALSE,FALSE,0,-0.576208771,1.894926874,2.048977012,關山嶺山 (91).gpx,HN_Guanshanling
關山嶺山 (92).gpx,HN_Guanshanling_0219.gpx,HN_Guanshanling,2.34,4.93,496.8,496.8,0,2023/12/2 00:00,295,TRUE,TRUE,FALSE,FALSE,0,-0.576208771,1.894926874,2.048977012,關山嶺山 (92).gpx,HN_Guanshanling
關山嶺山 (93).gpx,HN_Guanshanling_0220.gpx,HN_Guanshanling,2.34,4.93,496.8,496.8,0,2023/12/2 00:00,295,TRUE,TRUE,FALSE,FALSE,0,-0.576208771,1.894926874,2.048977012,關山嶺山 (93).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140217.575.gpx,HN_Guanshanling_0318.gpx,HN_Guanshanling,2.48,4.84,493.4,507.4,14,2022/12/30 00:00,290,TRUE,TRUE,FALSE,FALSE,0,0.01449896,1.494634862,1.935861442,關山嶺山 - 2025-08-14T140217.575.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135949.036.gpx,HN_Guanshanling_0277.gpx,HN_Guanshanling,2.59,4.74,463.2,458.6,4.6,2023/3/25 00:00,284,TRUE,TRUE,FALSE,FALSE,0,-0.879383479,0.988589479,1.794034978,關山嶺山 - 2025-08-14T135949.036.gpx,HN_Guanshanling
關山嶺山 (24).gpx,HN_Guanshanling_0164.gpx,HN_Guanshanling,2.55,4.73,488.5,492.4,3.9,2024/7/13 00:00,284,TRUE,TRUE,FALSE,FALSE,0,-0.062416815,1.185664223,1.813775777,關山嶺山 (24).gpx,HN_Guanshanling
關山嶺山 (47).gpx,HN_Guanshanling_0180.gpx,HN_Guanshanling,2.34,4.72,418.4,406.5,12,2024/3/24 00:00,283,TRUE,TRUE,FALSE,FALSE,-1,-3.31382169,1.376453289,1.783124553,關山嶺山 (47).gpx,HN_Guanshanling
20221211關山嶺山.gpx,HN_Guanshanling_0042.gpx,HN_Guanshanling,2.59,4.66,492.8,480.9,11.9,2022/12/10 00:00,279,TRUE,TRUE,FALSE,FALSE,0,-0.03243872,1.008480738,1.742503664,20221211關山嶺山.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140047.288.gpx,HN_Guanshanling_0289.gpx,HN_Guanshanling,2.54,4.66,494.7,491.7,3,2023/2/27 00:00,279,TRUE,TRUE,FALSE,FALSE,0,-0.004291678,1.15172717,1.753954518,關山嶺山 - 2025-08-14T140047.288.gpx,HN_Guanshanling
關山嶺山20250502.gpx,HN_Guanshanling_0420.gpx,HN_Guanshanling,2.36,4.66,477.3,480.1,2.8,2025/5/2 00:00,279,TRUE,TRUE,FALSE,FALSE,0,-1.101123909,1.522982192,1.773000554,關山嶺山20250502.gpx,HN_Guanshanling
20240311關山嶺山.gpx,HN_Guanshanling_0078.gpx,HN_Guanshanling,2.68,4.65,541.5,545.2,3.7,2024/3/11 00:00,278,TRUE,TRUE,FALSE,FALSE,0,2.105315244,1.001082599,1.758369928,20240311關山嶺山.gpx,HN_Guanshanling
