original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_taguan_mountain_peak,check_tfidf_塔關山,check_tfidf_南橫三星,check_tfidf_關山嶺山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
2022-07-27 南橫三星-塔關山.gpx,HN_Taguan_0023.gpx,HN_Taguan,3.91,2.37,565.2,571.4,6.2,2022/7/27,142,TRUE,TRUE,TRUE,FALSE,0,-3.286592844,3.986988225,-0.325000837,2022-07-27 南橫三星-塔關山.gpx,HN_Taguan
2023.03.25塔關山之行.gpx,HN_Taguan_0055.gpx,HN_Taguan,4.53,4.54,889.8,887.7,2.1,2023/3/25,272,TRUE,FALSE,FALSE,FALSE,0,3.046969367,-0.58762081,-1.623405101,2023.03.25塔關山之行.gpx,HN_Taguan
南橫三星 (2).gpx,HN_Taguan_0088.gpx,HN_Taguan,4.59,4.88,736.4,731.2,5.2,2023/1/25,293,TRUE,FALSE,TRUE,FALSE,0,0.395271213,2.475104837,-2.632230858,南橫三星 (2).gpx,HN_Taguan
南橫三星 塔關山步道.gpx,HN_Taguan_0091.gpx,HN_Taguan,4.05,4.89,696.6,710.6,14,2023/1/6,293,TRUE,FALSE,TRUE,FALSE,0,-0.972302364,2.056355903,-2.540347785,南橫三星 塔關山步道.gpx,HN_Taguan
南橫三星-塔關山 (2).gpx,HN_Taguan_0093.gpx,HN_Taguan,4.41,5.27,803.9,800.5,3.4,2023/2/3,316,TRUE,TRUE,TRUE,FALSE,0,1.042379764,2.709132202,-0.306263452,南橫三星-塔關山 (2).gpx,HN_Taguan
塔關山 2022.12.11.gpx,HN_Taguan_0311.gpx,HN_Taguan,4.59,6.68,912.8,905.7,7.2,2022/12/11,400,TRUE,TRUE,FALSE,FALSE,0,3.430373614,-1.028068,0.284471525,塔關山 2022.12.11.gpx,HN_Taguan
塔關山 - 2025-08-13T212117.810.gpx,HN_Taguan_0258.gpx,HN_Taguan,4.13,2.28,720,702.6,17.4,2022/9/3,136,TRUE,TRUE,FALSE,FALSE,0,-0.32624748,1.031128668,0.532891968,塔關山 - 2025-08-13T212117.810.gpx,HN_Taguan
塔關山 - 2025-08-13T211634.205.gpx,HN_Taguan_0184.gpx,HN_Taguan,4.21,2.33,790.6,772.8,17.8,2023/3/11,140,TRUE,TRUE,FALSE,FALSE,0,0.843207933,1.015365055,0.669090667,塔關山 - 2025-08-13T211634.205.gpx,HN_Taguan
塔關山 (63).gpx,HN_Taguan_0148.gpx,HN_Taguan,4.17,2.42,629.4,633.2,3.7,2023/5/6,145,TRUE,TRUE,FALSE,FALSE,0,-1.428115618,1.052471845,0.318360606,塔關山 (63).gpx,HN_Taguan
塔關山 (52).gpx,HN_Taguan_0139.gpx,HN_Taguan,3.93,2.58,680.2,675.4,4.8,2023/6/23,155,TRUE,TRUE,FALSE,FALSE,0,-1.155236301,0.739836195,0.476186323,塔關山 (52).gpx,HN_Taguan
塔關山 - 2025-08-13T212043.953.gpx,HN_Taguan_0247.gpx,HN_Taguan,3.77,2.61,670.9,670.9,0,2022/9/30,156,TRUE,TRUE,FALSE,FALSE,0,-1.530002218,0.600203446,0.50445609,塔關山 - 2025-08-13T212043.953.gpx,HN_Taguan
塔關山 - 2025-08-13T212129.411.gpx,HN_Taguan_0263.gpx,HN_Taguan,4.62,2.62,796.6,789.4,7.2,2022/8/22,156,TRUE,TRUE,FALSE,FALSE,0,1.71546333,1.187659589,0.538554486,塔關山 - 2025-08-13T212129.411.gpx,HN_Taguan
塔關山 - 2025-08-13T212237.027.gpx,HN_Taguan_0277.gpx,HN_Taguan,3.8,2.62,612.3,604.5,7.8,2022/7/9,157,TRUE,TRUE,FALSE,FALSE,0,-2.394255855,0.667910914,0.344399746,塔關山 - 2025-08-13T212237.027.gpx,HN_Taguan
20220507塔關山.gpx,HN_Taguan_0031.gpx,HN_Taguan,4.08,2.63,779.4,746.1,33.3,2022/5/7,157,TRUE,TRUE,FALSE,FALSE,0,0.347637266,0.770081589,0.619170748,20220507塔關山.gpx,HN_Taguan
塔關山 (67).gpx,HN_Taguan_0151.gpx,HN_Taguan,3.97,2.63,719.2,718.9,0.3,2023/4/19,157,TRUE,TRUE,FALSE,FALSE,0,-0.481514917,0.714208554,0.556447825,塔關山 (67).gpx,HN_Taguan
塔關山 (72).gpx,HN_Taguan_0156.gpx,HN_Taguan,3.97,2.63,719.2,718.9,0.3,2023/4/19,157,TRUE,TRUE,FALSE,FALSE,0,-0.481514917,0.714208554,0.556447825,塔關山 (72).gpx,HN_Taguan
塔關山 (71).gpx,HN_Taguan_0155.gpx,HN_Taguan,3.94,2.63,729.6,730.6,1,2023/4/19,158,TRUE,TRUE,FALSE,FALSE,0,-0.370988769,0.681362225,0.591807521,塔關山 (71).gpx,HN_Taguan
塔關山 - 2025-08-13T212123.446.gpx,HN_Taguan_0260.gpx,HN_Taguan,4.01,2.65,862.1,865.1,3,2022/8/27,159,TRUE,TRUE,FALSE,FALSE,0,1.705519001,0.62407934,0.884880127,塔關山 - 2025-08-13T212123.446.gpx,HN_Taguan
塔關山 (50).gpx,HN_Taguan_0137.gpx,HN_Taguan,4.35,2.71,666.8,662,4.9,2023/6/23,162,TRUE,TRUE,FALSE,FALSE,0,-0.630168013,1.022434817,0.302826669,塔關山 (50).gpx,HN_Taguan
一日二星 塔關山.gpx,HN_Taguan_0085.gpx,HN_Taguan,3.79,2.74,626.2,608.4,17.8,2022/7/31,164,TRUE,TRUE,FALSE,FALSE,0,-2.279002771,0.59107016,0.350059969,一日二星 塔關山.gpx,HN_Taguan
塔關山 - 2025-08-13T212415.713.gpx,HN_Taguan_0297.gpx,HN_Taguan,4.23,2.75,742.1,757.2,15.2,2022/5/30,165,TRUE,TRUE,FALSE,FALSE,0,0.413947968,0.83816451,0.539738231,塔關山 - 2025-08-13T212415.713.gpx,HN_Taguan
塔關山 (10).gpx,HN_Taguan_0108.gpx,HN_Taguan,3.86,2.75,780.6,771.9,8.6,2025/5/31,164,TRUE,TRUE,FALSE,FALSE,0,0.170220769,0.519061518,0.706440254,塔關山 (10).gpx,HN_Taguan
2022塔關山.gpx,HN_Taguan_0051.gpx,HN_Taguan,4.31,2.78,776.6,765.9,10.7,2022/12/25,166,TRUE,TRUE,FALSE,FALSE,0,0.868245706,0.871208052,0.556837297,2022塔關山.gpx,HN_Taguan
塔關山 - 2025-08-13T211734.241.gpx,HN_Taguan_0205.gpx,HN_Taguan,3.74,2.78,691.4,703.4,12,2023/2/8,166,TRUE,TRUE,FALSE,FALSE,0,-1.190556295,0.467126911,0.556483344,塔關山 - 2025-08-13T211734.241.gpx,HN_Taguan
塔關山 - 2025-08-13T212427.835.gpx,HN_Taguan_0300.gpx,HN_Taguan,4.34,2.82,682.8,687.8,5,2022/5/28,169,TRUE,TRUE,FALSE,FALSE,0,-0.339430792,0.940974839,0.34308671,塔關山 - 2025-08-13T212427.835.gpx,HN_Taguan
