順序	緯度	經度	海拔（約）	類型	名稱
1	24.181500	121.281700	3374.585935364266	comm	comm
2	24.181720	121.282140	3376	gpx	N/A
3	24.181631	121.282233	N/A	gpx	N/A
4	24.181675	121.282533	N/A	gpx	N/A
5	24.181536	121.282842	3376	gpx	N/A
6	24.180580	121.283647	3369	gpx	N/A
7	24.179909	121.284399	3358.2	gpx	N/A
8	24.178694	121.285026	3340.9	gpx	N/A
9	24.177538	121.285372	3324.4	gpx	N/A
10	24.176735	121.285901	3316.6	gpx	N/A
11	24.175012	121.286699	3285.2	gpx	N/A
12	24.174406	121.286807	3280.4	gpx	N/A
13	24.173280	121.287466	3248.9	gpx	N/A
14	24.173100	121.287500	3248.9	comm	comm
15	24.172790	121.287583	3234.1	gpx	N/A
16	24.171968	121.287451	3151.9	gpx	N/A
17	24.170800	121.287897	3139.8	gpx	N/A
18	24.170521	121.287816	3138.4	gpx	N/A
19	24.169466	121.287987	3115.3	gpx	N/A
20	24.169005	121.287904	3102.1	gpx	N/A
21	24.169001	121.288086	3092.3	gpx	N/A
22	24.168714	121.288368	3079.8	gpx	N/A
23	24.167469	121.288754	3052.3	gpx	N/A
24	24.166917	121.289238	3031.5	gpx	N/A
25	24.166540	121.289139	3018.1	gpx	N/A
26	24.165651	121.289339	2986	gpx	N/A
27	24.165650	121.289340	2986	comm	start
