順序	緯度	經度	海拔（約）	類型	名稱
1	24.177656	121.244575	3121.1	comm	peak
2	24.177824	121.245202	N/A	gpx	N/A
3	24.177817	121.245518	3120.7	gpx	N/A
4	24.177559	121.245928	3122.2	gpx	N/A
5	24.177550	121.246510	3124	gpx	N/A
6	24.177351	121.246760	3125.1	gpx	N/A
7	24.175945	121.247483	3134.9	gpx	N/A
8	24.175208	121.249028	3159.4	gpx	N/A
9	24.175302	121.249527	3167.1	gpx	N/A
10	24.175220	121.249950	3171.6	gpx	N/A
11	24.175628	121.250900	3176.8	gpx	N/A
12	24.175613	121.251624	3179.6	gpx	N/A
13	24.176265	121.252460	3192.2	gpx	N/A
14	24.177626	121.253464	3181.5	gpx	N/A
15	24.178211	121.254105	3163.2	gpx	N/A
16	24.178432	121.255255	3145.9	gpx	N/A
17	24.178925	121.255632	3145.5	gpx	N/A
18	24.179267	121.256467	3145.7	gpx	N/A
19	24.179299	121.257380	3143.3	gpx	N/A
20	24.179145	121.257781	3141.4	gpx	N/A
21	24.179245	121.258249	3139	gpx	N/A
22	24.179460	121.258484	3137.1	gpx	N/A
23	24.179541	121.258901	3134.9	gpx	N/A
24	24.179918	121.259368	3130.4	gpx	N/A
25	24.179515	121.259819	3126.8	gpx	N/A
26	24.179330	121.260655	3122.7	gpx	N/A
27	24.179359	121.261252	3119.2	gpx	N/A
28	24.178340	121.263056	3115.1	gpx	N/A
29	24.178300	121.263400	3115.1	comm	西合歡山步道4.2K
30	24.178218	121.263854	3121.2	gpx	N/A
31	24.178375	121.264543	3126.7	gpx	N/A
32	24.178064	121.265319	3126.9	gpx	N/A
33	24.178155	121.266087	3119.4	gpx	N/A
34	24.177879	121.267299	3106.5	gpx	N/A
35	24.178008	121.267698	3102.4	gpx	N/A
36	24.177559	121.268672	3092.3	gpx	N/A
37	24.177882	121.271080	3127.1	gpx	N/A
38	24.177065	121.273312	3185.2	gpx	N/A
39	24.177109	121.273694	3197.8	gpx	N/A
40	24.177433	121.274163	3214.4	gpx	N/A
41	24.177582	121.275522	3249.7	gpx	N/A
42	24.178449	121.276910	3282.6	gpx	N/A
43	24.178434	121.277421	3288.2	gpx	N/A
44	24.178705	121.278232	3298.4	gpx	N/A
45	24.179099	121.278901	3311.6	gpx	N/A
46	24.179727	121.279372	3328	gpx	N/A
47	24.180163	121.279533	3340.3	gpx	N/A
48	24.180859	121.280187	3362.1	gpx	N/A
49	24.181500	121.281700	3373.872713859659	comm	comm
50	24.181671	121.281949	3376	gpx	N/A
51	24.181628	121.282721	3376	gpx	N/A
52	24.179698	121.284545	3355.7	gpx	N/A
53	24.178418	121.285158	3336.4	gpx	N/A
54	24.177538	121.285372	3324.4	gpx	N/A
55	24.176735	121.285901	3316.6	gpx	N/A
56	24.176059	121.285928	3306.5	gpx	N/A
57	24.175564	121.286163	N/A	gpx	N/A
58	24.175012	121.286699	3285.2	gpx	N/A
59	24.174406	121.286807	3280.4	gpx	N/A
60	24.173100	121.287500	3248.9	comm	comm
61	24.173280	121.287466	3248.9	gpx	N/A
62	24.172790	121.287583	3234.1	gpx	N/A
63	24.171968	121.287451	3151.9	gpx	N/A
64	24.170800	121.287897	3139.8	gpx	N/A
65	24.170521	121.287816	3138.4	gpx	N/A
66	24.169466	121.287987	3115.3	gpx	N/A
67	24.169005	121.287904	3102.1	gpx	N/A
68	24.169001	121.288086	3092.3	gpx	N/A
69	24.168714	121.288368	3079.8	gpx	N/A
70	24.167469	121.288754	3052.3	gpx	N/A
71	24.166917	121.289238	3031.5	gpx	N/A
72	24.166540	121.289139	3018.1	gpx	N/A
73	24.165651	121.289339	2986	gpx	N/A
74	24.165650	121.289340	2986	comm	start
