順序	緯度	經度	海拔（約）	類型	名稱
1	22.627070	120.761374	3000.7	comm	peak
2	22.627056	120.761390	3008	gpx	N/A
3	22.624434	120.759903	2967.5	gpx	N/A
4	22.624196	120.759212	2950.1	gpx	N/A
5	22.623093	120.757846	2935.4	gpx	N/A
6	22.622206	120.757289	2929.1	gpx	N/A
7	22.621481	120.757019	2932.4	gpx	N/A
8	22.620517	120.756888	2945.7	gpx	N/A
9	22.620253	120.756514	2943.9	gpx	N/A
10	22.619105	120.756017	2927	gpx	N/A
11	22.617997	120.755300	2887.8	gpx	N/A
12	22.618087	120.755504	2883.5	gpx	N/A
13	22.617211	120.754759	2870.5	gpx	N/A
14	22.616270	120.754321	2854.4	gpx	N/A
15	22.616816	120.754109	2844.1	gpx	N/A
16	22.617181	120.754339	2838.5	gpx	N/A
17	22.617398	120.754261	2838.8	gpx	N/A
18	22.617289	120.754112	2838.8	gpx	N/A
19	22.617680	120.753672	2833.9	gpx	N/A
20	22.617534	120.753678	2829.9	gpx	N/A
21	22.617656	120.753302	2823.2	gpx	N/A
22	22.617387	120.753441	2817.1	gpx	N/A
23	22.617325	120.753359	2812.2	gpx	N/A
24	22.617905	120.752365	2781.6	gpx	N/A
25	22.617110	120.752630	2764.9	gpx	N/A
26	22.616698	120.752627	2759.7	gpx	N/A
27	22.616418	120.752220	2754.9	gpx	N/A
28	22.615300	120.751919	2728.6	gpx	N/A
29	22.614901	120.751543	2708.6	gpx	N/A
30	22.614877	120.750921	2675	gpx	N/A
31	22.614586	120.749825	2609.2	gpx	N/A
32	22.614785	120.748771	2550.5	gpx	N/A
33	22.615073	120.748970	2539.4	gpx	N/A
34	22.615110	120.748611	2529.6	gpx	N/A
35	22.614784	120.748346	2516.9	gpx	N/A
36	22.614767	120.748047	2509.1	gpx	N/A
37	22.614314	120.747843	2501.4	gpx	N/A
38	22.614250	120.747800	2501.4	comm	comm
39	22.614196	120.747432	2495.3	gpx	N/A
40	22.613635	120.747171	2484.3	gpx	N/A
41	22.612499	120.746042	2414.5	gpx	N/A
42	22.612654	120.745494	2397.6	gpx	N/A
43	22.612439	120.745151	2381.7	gpx	N/A
44	22.612393	120.744282	2357.8	gpx	N/A
45	22.612530	120.743887	2338.6	gpx	N/A
46	22.612669	120.743643	2327.7	gpx	N/A
47	22.613034	120.743446	2310	gpx	N/A
48	22.613059	120.743093	2293	gpx	N/A
49	22.613325	120.742896	2277.6	gpx	N/A
50	22.613673	120.742893	2264.3	gpx	N/A
51	22.613680	120.742493	2254	gpx	N/A
52	22.614531	120.742248	2226.6	gpx	N/A
53	22.614431	120.741522	2201.3	gpx	N/A
54	22.614658	120.741309	2185.1	gpx	N/A
55	22.614665	120.740254	2122.1	gpx	N/A
56	22.615116	120.741212	2095.6	gpx	N/A
57	22.615284	120.742200	2108.7	comm	cabin
58	22.615284	120.742200	2108.7	gpx	N/A
59	22.615284	120.742200	2139.5	gpx	N/A
60	22.615116	120.741212	2125.2	gpx	N/A
61	22.614665	120.740254	2112.3	gpx	N/A
62	22.614597	120.739715	2092.2	gpx	N/A
63	22.614652	120.738955	2052.7	gpx	N/A
64	22.614941	120.738351	1970.8	gpx	N/A
65	22.614807	120.738215	1968.4	gpx	N/A
66	22.615205	120.737965	1963.9	gpx	N/A
67	22.615177	120.737470	1959.9	gpx	N/A
68	22.615347	120.737280	1956.3	gpx	N/A
69	22.615239	120.737131	1954.6	gpx	N/A
70	22.615325	120.737049	1950.8	gpx	N/A
71	22.615652	120.737114	1945.9	gpx	N/A
72	22.615606	120.736769	1940.7	gpx	N/A
73	22.615669	120.736583	1936.9	gpx	N/A
74	22.615826	120.736583	1935.2	gpx	N/A
75	22.615669	120.736270	1925.3	gpx	N/A
76	22.615790	120.735780	1913.3	gpx	N/A
77	22.615731	120.735039	1893.6	gpx	N/A
78	22.616428	120.734366	1859.5	gpx	N/A
79	22.616358	120.733832	1835.7	gpx	N/A
80	22.616526	120.733148	1814.3	gpx	N/A
81	22.617168	120.732803	1791.1	gpx	N/A
82	22.617642	120.731872	1777.6	gpx	N/A
83	22.617886	120.731034	1771.8	gpx	N/A
84	22.617977	120.730038	1768.7	gpx	N/A
85	22.617617	120.728680	1767	gpx	N/A
86	22.616964	120.727771	1777	gpx	N/A
87	22.616889	120.727424	1780.9	gpx	N/A
88	22.616550	120.727080	1786.4	gpx	N/A
89	22.616565	120.726885	1788.8	gpx	N/A
90	22.616350	120.726560	1778.9605337409703	comm	comm
