順序	緯度	經度	海拔（約）	類型	名稱
1	23.251900	120.941190	3227.7662866591727	comm	peak
2	23.252124	120.941255	3242.811181236653	gpx	N/A
3	23.252261	120.941150	3233.5965736033477	gpx	N/A
4	23.252376	120.941020	3221.039484257086	gpx	N/A
5	23.252513	120.940898	3214.908649492561	gpx	N/A
6	23.252672	120.940879	3201.0769604671627	gpx	N/A
7	23.252772	120.940788	3180.961235606837	gpx	N/A
8	23.252863	120.940777	3169.7162893559926	gpx	N/A
9	23.252895	120.940762	3168.671507343244	gpx	N/A
10	23.252927	120.940747	3167.626725330495	gpx	N/A
11	23.252959	120.940731	3166.581943317746	gpx	N/A
12	23.252991	120.940716	3165.5371613049974	gpx	N/A
13	23.253099	120.940677	3164.492379292248	gpx	N/A
14	23.253198	120.940642	3154.4727653815785	gpx	N/A
15	23.253225	120.940630	3152.9888775890336	gpx	N/A
16	23.253252	120.940619	3151.5049897964886	gpx	N/A
17	23.253278	120.940607	3150.0211020039437	gpx	N/A
18	23.253305	120.940595	3148.537214211399	gpx	N/A
19	23.253339	120.940592	3147.2420934333572	gpx	N/A
20	23.253380	120.940598	3146.135739669819	gpx	N/A
21	23.253421	120.940604	3145.029385906281	gpx	N/A
22	23.253462	120.940611	3143.9230321427426	gpx	N/A
23	23.253503	120.940617	3142.8166783792044	gpx	N/A
24	23.253545	120.940623	3141.710324615666	gpx	N/A
25	23.253586	120.940629	3140.603970852128	gpx	N/A
26	23.253627	120.940635	3139.4976170885902	gpx	N/A
27	23.253668	120.940641	3138.391263325052	gpx	N/A
28	23.253709	120.940647	3137.284909561514	gpx	N/A
29	23.253750	120.940653	3136.1785557979756	gpx	N/A
30	23.253792	120.940638	3134.8459012418148	gpx	N/A
31	23.253836	120.940593	3133.1737954967202	gpx	N/A
32	23.253880	120.940548	3131.5016897516257	gpx	N/A
33	23.254007	120.940429	3129.829584006531	gpx	N/A
34	23.254156	120.940378	3122.3706855739692	gpx	N/A
35	23.254281	120.940262	3114.271582267828	gpx	N/A
36	23.254350	120.940184	3108.3591054998005	gpx	N/A
37	23.254367	120.940164	3107.5144659615107	gpx	N/A
38	23.254384	120.940144	3106.6698264232214	gpx	N/A
39	23.254405	120.940126	3105.867986604714	gpx	N/A
40	23.254458	120.940121	3105.4513442642497	gpx	N/A
41	23.254511	120.940116	3105.0347019237856	gpx	N/A
42	23.254565	120.940111	3104.618059583321	gpx	N/A
43	23.254613	120.940117	3104.2127733275975	gpx	N/A
44	23.254641	120.940164	3103.852911410838	gpx	N/A
45	23.254669	120.940211	3103.4930494940777	gpx	N/A
46	23.254697	120.940258	3103.1331875773176	gpx	N/A
47	23.254791	120.940238	3102.7733256605575	gpx	N/A
48	23.254883	120.940098	3088.8811587301407	gpx	N/A
49	23.254937	120.939970	3077.7883149738614	gpx	N/A
50	23.255090	120.939882	3064.179778247713	gpx	N/A
51	23.255189	120.939740	3054.589159841717	gpx	N/A
52	23.255254	120.939560	3043.534852356057	gpx	N/A
53	23.255407	120.939485	3031.832548618102	gpx	N/A
54	23.255563	120.939410	3021.3967538557854	gpx	N/A
55	23.255734	120.939344	3012.7740988711344	gpx	N/A
56	23.255865	120.939437	3003.088011733696	gpx	N/A
57	23.255998	120.939426	3000.750421354432	gpx	N/A
58	23.256100	120.939363	2979.163791583468	gpx	N/A
59	23.256152	120.939274	2972.473377455587	gpx	N/A
60	23.256163	120.939255	2971.6370756896017	gpx	N/A
61	23.256175	120.939235	2970.800773923617	gpx	N/A
62	23.256186	120.939215	2969.9644721576315	gpx	N/A
63	23.256167	120.939167	2969.971336954973	gpx	N/A
64	23.256165	120.939034	2970.188993393147	gpx	N/A
65	23.256231	120.938956	2964.2103354745705	gpx	N/A
66	23.256260	120.938947	2962.927541315586	gpx	N/A
67	23.256296	120.938944	2961.6610275576463	gpx	N/A
68	23.256338	120.938951	2960.6712442298963	gpx	N/A
69	23.256377	120.938955	2959.704972993925	gpx	N/A
70	23.256417	120.938959	2958.738701757953	gpx	N/A
71	23.256456	120.938964	2957.7724305219817	gpx	N/A
72	23.256496	120.938968	2956.80615928601	gpx	N/A
73	23.256535	120.938973	2955.8398880500386	gpx	N/A
74	23.256574	120.938977	2954.873616814067	gpx	N/A
75	23.256614	120.938981	2953.9073455780954	gpx	N/A
76	23.256653	120.938986	2952.941074342124	gpx	N/A
77	23.256709	120.939000	2951.9748031061526	gpx	N/A
78	23.256812	120.939101	2937.2070567745395	gpx	N/A
79	23.256869	120.939191	2937.726732929911	gpx	N/A
80	23.256921	120.939264	2938.2464090852823	gpx	N/A
81	23.256956	120.939273	2937.7849336674713	gpx	N/A
82	23.256987	120.939265	2937.3234582496602	gpx	N/A
83	23.257018	120.939257	2936.8619828318497	gpx	N/A
84	23.257049	120.939249	2936.4005074140387	gpx	N/A
85	23.257080	120.939242	2935.9390319962276	gpx	N/A
86	23.257110	120.939234	2935.4775565784166	gpx	N/A
87	23.257141	120.939226	2935.016081160606	gpx	N/A
88	23.257172	120.939218	2934.554605742795	gpx	N/A
89	23.257203	120.939210	2934.093130324984	gpx	N/A
90	23.257234	120.939202	2933.631654907173	gpx	N/A
91	23.257258	120.939208	2933.5125674515307	gpx	N/A
92	23.257287	120.939215	2933.2882638890896	gpx	N/A
93	23.257323	120.939222	2932.8731472293075	gpx	N/A
94	23.257360	120.939229	2932.4580305695254	gpx	N/A
95	23.257396	120.939236	2932.042913909743	gpx	N/A
96	23.257432	120.939242	2931.627797249961	gpx	N/A
97	23.257468	120.939249	2931.212680590179	gpx	N/A
98	23.257504	120.939256	2930.797563930397	gpx	N/A
99	23.257541	120.939263	2930.3824472706146	gpx	N/A
100	23.257577	120.939270	2929.9673306108325	gpx	N/A
101	23.257613	120.939276	2929.5522139510504	gpx	N/A
102	23.257649	120.939283	2929.137097291268	gpx	N/A
103	23.257685	120.939290	2928.721980631486	gpx	N/A
104	23.257722	120.939297	2928.306863971704	gpx	N/A
105	23.257758	120.939303	2927.891747311922	gpx	N/A
106	23.257785	120.939315	2927.2957935043764	gpx	N/A
107	23.257806	120.939329	2926.5792815983223	gpx	N/A
108	23.257828	120.939343	2925.8627696922676	gpx	N/A
109	23.257913	120.939400	2925.1462577862135	gpx	N/A
110	23.258050	120.939540	2920.130674443833	comm	comm
111	23.258227	120.939477	2915.1150911014524	gpx	N/A
112	23.258392	120.939476	2895.299321861949	gpx	N/A
113	23.258580	120.939495	2891.241479663598	gpx	N/A
114	23.258749	120.939447	2881.839454993525	gpx	N/A
115	23.258863	120.939397	2870.333964369326	gpx	N/A
116	23.258988	120.939406	2867.3204348486006	gpx	N/A
117	23.259038	120.939414	2867.2527330626795	gpx	N/A
118	23.259089	120.939422	2867.1850312767583	gpx	N/A
119	23.259224	120.939431	2865.604597934599	gpx	N/A
120	23.259369	120.939335	2858.327698015501	gpx	N/A
121	23.259604	120.939193	2854.048726277632	gpx	N/A
122	23.259782	120.939197	2849.0616218588457	gpx	N/A
123	23.259872	120.939202	2846.6487247850537	gpx	N/A
124	23.259874	120.939202	2846.612711395893	gpx	N/A
125	23.259892	120.939191	2846.8164976678368	gpx	N/A
126	23.259933	120.939163	2847.3799834314386	gpx	N/A
127	23.259975	120.939136	2847.94346919504	gpx	N/A
128	23.260021	120.939098	2848.821137465177	gpx	N/A
129	23.260083	120.939068	2848.3848648459384	gpx	N/A
130	23.260137	120.939089	2845.618977202554	gpx	N/A
131	23.260167	120.939094	2842.8530895591703	gpx	N/A
132	23.260280	120.939054	2821.1597751613895	gpx	N/A
133	23.260345	120.938998	2822.2897230811477	gpx	N/A
134	23.260410	120.938969	2823.29959979101	gpx	N/A
135	23.260473	120.939007	2823.2288356118074	gpx	N/A
136	23.260535	120.939060	2823.1580714326046	gpx	N/A
137	23.260598	120.939113	2823.0873072534014	gpx	N/A
138	23.260769	120.939169	2823.0165430741986	gpx	N/A
139	23.260887	120.939065	2810.411504595092	gpx	N/A
140	23.260983	120.939090	2796.3731351307547	gpx	N/A
141	23.261020	120.939122	2794.687250045913	gpx	N/A
142	23.261047	120.939108	2794.0654777435707	gpx	N/A
143	23.261067	120.939077	2793.4759087753114	gpx	N/A
144	23.261088	120.939045	2792.886339807052	gpx	N/A
145	23.261108	120.939013	2792.296770838793	gpx	N/A
146	23.261129	120.938981	2791.7072018705335	gpx	N/A
147	23.261149	120.938950	2791.117632902274	gpx	N/A
