順序	緯度	經度	海拔（約）	類型	名稱
1	23.475571	120.917620	3217.810566866863	comm	peak
2	23.475511	120.917633	3214.306612328626	gpx	N/A
3	23.475389	120.917638	3212.784853815101	gpx	N/A
4	23.475318	120.917689	3215.079497696832	gpx	N/A
5	23.475229	120.917603	3209.854026971385	gpx	N/A
6	23.475114	120.917591	3206.1545707546175	gpx	N/A
7	23.475010	120.917537	3202.5168601581827	gpx	N/A
8	23.474922	120.917614	3197.3908610660583	gpx	N/A
9	23.474815	120.917551	3194.5025319717824	gpx	N/A
10	23.474722	120.917620	3194.2657867772505	gpx	N/A
11	23.474704	120.917587	3194.5304786842316	gpx	N/A
12	23.474630	120.917685	3178.7847103327513	gpx	N/A
13	23.474524	120.917601	3175.6041189292446	gpx	N/A
14	23.474421	120.917658	3170.0544503303245	gpx	N/A
15	23.474312	120.917617	3158.124910772778	gpx	N/A
16	23.474244	120.917715	3151.221406271681	gpx	N/A
17	23.474150	120.917645	3138.8446630472317	gpx	N/A
18	23.474035	120.917642	3133.7261470118538	gpx	N/A
19	23.474125	120.917729	3092.5367660364136	gpx	N/A
20	23.473878	120.917843	3116.5931792017072	gpx	N/A
21	23.473895	120.917716	3117.166540420614	gpx	N/A
22	23.473801	120.917671	3105.4696525521576	gpx	N/A
23	23.473563	120.917639	3083.0197257045656	gpx	N/A
24	23.473688	120.917645	3079.624712630175	gpx	N/A
25	23.473513	120.917579	3086.2469419017434	gpx	N/A
26	23.473415	120.917645	3079.7939251214266	gpx	N/A
27	23.473298	120.917700	3058.1272227838635	gpx	N/A
28	23.473186	120.917655	3055.2811915194616	gpx	N/A
29	23.473073	120.917690	3047.32941145543	gpx	N/A
30	23.472949	120.917715	3037.9925856804475	gpx	N/A
31	23.472950	120.917578	3031.4279212150723	gpx	N/A
32	23.472859	120.917600	3024.7778597529978	gpx	N/A
33	23.472761	120.917663	3011.5647766413167	gpx	N/A
34	23.472713	120.917546	3011.0167734595016	gpx	N/A
35	23.472658	120.917429	3000.6938598044217	gpx	N/A
36	23.472625	120.917547	3002.2628214601427	gpx	N/A
37	23.472537	120.917469	2997.005633368157	gpx	N/A
38	23.472431	120.917396	2991.764039346017	gpx	N/A
39	23.472344	120.917315	2982.459448398091	gpx	N/A
40	23.472259	120.917233	2979.477929705754	gpx	N/A
41	23.472145	120.917247	2970.8690285477787	gpx	N/A
42	23.472060	120.917336	2959.5657056868076	gpx	N/A
43	23.471997	120.917369	2955.9152357950807	gpx	N/A
44	23.471909	120.917447	2956.966684654355	gpx	N/A
45	23.471799	120.917479	2949.46075272467	gpx	N/A
46	23.471698	120.917540	2937.0117445047945	gpx	N/A
47	23.471607	120.917625	2933.436696358025	gpx	N/A
48	23.471501	120.917722	2931.011261499487	gpx	N/A
49	23.471381	120.917739	2926.04586035572	gpx	N/A
50	23.471282	120.917803	2914.728765678592	gpx	N/A
51	23.471186	120.917833	2907.6476229717955	gpx	N/A
52	23.471088	120.917895	2902.7486648773775	gpx	N/A
53	23.471009	120.917983	2893.1291065244004	gpx	N/A
54	23.470893	120.918001	2886.32124822028	gpx	N/A
55	23.470793	120.918059	2879.97336174082	gpx	N/A
56	23.470679	120.918059	2869.1257063634694	gpx	N/A
57	23.470600	120.918000	2862.4603859742383	comm	comm
58	23.470567	120.918075	2861.4821348357946	gpx	N/A
59	23.470446	120.918095	2856.7449867334217	gpx	N/A
60	23.470495	120.917966	2854.4713570028543	gpx	N/A
61	23.470503	120.917839	2855.6075085485354	gpx	N/A
62	23.470528	120.917704	2853.9198200469837	gpx	N/A
63	23.470577	120.917584	2856.294831431471	gpx	N/A
64	23.470655	120.917472	2856.569944527	gpx	N/A
65	23.470724	120.917359	2860.9246907019988	gpx	N/A
66	23.470773	120.917235	2863.5476323021576	gpx	N/A
67	23.470771	120.917111	2865.882121817209	gpx	N/A
68	23.470725	120.916998	2864.6192367598414	gpx	N/A
69	23.470729	120.916956	2863.954940586351	gpx	N/A
70	23.470692	120.916840	2858.560569854453	gpx	N/A
71	23.470730	120.916723	2853.4300509644672	gpx	N/A
72	23.470779	120.916611	2858.1829298790544	gpx	N/A
73	23.470810	120.916486	2858.204843030311	gpx	N/A
74	23.470825	120.916364	2856.211530778557	gpx	N/A
75	23.470881	120.916254	2857.1814427524805	gpx	N/A
76	23.470947	120.916151	2856.0444930121303	gpx	N/A
77	23.471035	120.916057	2855.8854167694226	gpx	N/A
78	23.471075	120.916062	2854.9428253276274	gpx	N/A
79	23.471128	120.915946	2859.6793945143	gpx	N/A
80	23.471206	120.915847	2861.964827787131	gpx	N/A
81	23.471187	120.915726	2862.3912668395787	gpx	N/A
82	23.471279	120.915650	2864.8254252551123	gpx	N/A
83	23.471273	120.915509	2865.5292822411284	gpx	N/A
84	23.471251	120.915371	2865.6893897857517	gpx	N/A
85	23.471177	120.915265	2858.428596294485	gpx	N/A
86	23.471080	120.915191	2857.203061418608	gpx	N/A
87	23.471020	120.915080	2854.9432885888964	gpx	N/A
88	23.471018	120.915076	2853.6953520467505	gpx	N/A
89	23.470912	120.915030	2846.9688639696687	gpx	N/A
90	23.470866	120.914895	2846.9166002115235	gpx	N/A
91	23.470826	120.914771	2846.49142055586	gpx	N/A
92	23.470758	120.914660	2845.829959965311	gpx	N/A
93	23.470671	120.914577	2843.9203250724822	gpx	N/A
94	23.470564	120.914521	2842.0974832354113	gpx	N/A
95	23.470472	120.914449	2838.6855588229373	gpx	N/A
96	23.470431	120.914333	2834.2449919097126	gpx	N/A
97	23.470431	120.914326	2834.215750053525	gpx	N/A
98	23.470423	120.914198	2833.496364429593	gpx	N/A
99	23.470435	120.914074	2829.5850433930755	gpx	N/A
100	23.470421	120.913950	2828.768556090072	gpx	N/A
101	23.470381	120.913835	2831.261004783213	gpx	N/A
102	23.470504	120.913805	2826.7663319297135	gpx	N/A
103	23.470623	120.913775	2830.974599000998	gpx	N/A
104	23.470720	120.913706	2833.922975094989	gpx	N/A
105	23.470765	120.913592	2830.78338074591	gpx	N/A
106	23.470796	120.913470	2830.290258136578	gpx	N/A
107	23.470795	120.913430	2829.3395372340456	gpx	N/A
108	23.470763	120.913313	2827.2467688200995	gpx	N/A
109	23.470797	120.913190	2824.076086940244	gpx	N/A
110	23.470756	120.913071	2822.3010272998363	gpx	N/A
111	23.470831	120.912975	2818.7957170279697	gpx	N/A
112	23.470927	120.912906	2821.182906260714	gpx	N/A
113	23.470980	120.912795	2822.503957164474	gpx	N/A
114	23.471077	120.912720	2821.6799746602774	gpx	N/A
115	23.471090	120.912700	2821.6799746602774	comm	comm
116	23.471056	120.912591	2820.5424526501447	gpx	N/A
117	23.471084	120.912474	2820.128849736415	gpx	N/A
118	23.471176	120.912379	2820.0416769264266	gpx	N/A
119	23.471197	120.912259	2820.1436669733375	gpx	N/A
120	23.471195	120.912123	2818.4755064090714	gpx	N/A
121	23.471073	120.912092	2816.891887035221	gpx	N/A
