順序	緯度	經度	海拔（約）	類型	名稱
1	23.475793	120.900170	2602.579057264148	comm	start
2	23.475776	120.900379	2601.6	gpx	N/A
3	23.475979	120.900963	2604.3	gpx	N/A
4	23.476016	120.901580	2609.4	gpx	N/A
5	23.475626	120.903109	2633.1	gpx	N/A
6	23.474472	120.904283	2645.9	gpx	N/A
7	23.474006	120.904942	2650.6	gpx	N/A
8	23.473421	120.905413	2659.3	gpx	N/A
9	23.473509	120.905586	2665.8	gpx	N/A
10	23.473759	120.905403	2669.8	gpx	N/A
11	23.473935	120.905421	2671	gpx	N/A
12	23.473691	120.905933	2681	gpx	N/A
13	23.474328	120.905705	2688.3	gpx	N/A
14	23.473537	120.907138	2720.4	gpx	N/A
15	23.473197	120.907289	2740.4	gpx	N/A
16	23.473322	120.907763	2777.9	gpx	N/A
17	23.473146	120.908110	2795.5	gpx	N/A
18	23.473104	120.908652	2803.8	gpx	N/A
19	23.472701	120.909242	2803.8	gpx	N/A
20	23.472739	120.909532	2802.3	gpx	N/A
21	23.472323	120.910460	2810.5	gpx	N/A
22	23.471799	120.910606	2813.3	gpx	N/A
23	23.471414	120.910982	2816.3	gpx	N/A
24	23.471310	120.911583	2823.7	gpx	N/A
25	23.471052	120.911888	2832.1	gpx	N/A
26	23.471170	120.912355	2844.4	gpx	N/A
27	23.471086	120.912690	2849.7803445993927	comm	comm
28	23.471042	120.912892	2853	gpx	N/A
29	23.470795	120.913030	2854.1	gpx	N/A
30	23.470797	120.913629	2849.2	gpx	N/A
31	23.470662	120.913804	2847.1	gpx	N/A
32	23.470402	120.913810	2843.6	gpx	N/A
33	23.470442	120.914431	2843.6	gpx	N/A
34	23.470762	120.914611	2850.1	gpx	N/A
35	23.470918	120.915042	2862	gpx	N/A
36	23.471072	120.915081	2868.6	gpx	N/A
37	23.471246	120.915371	2882.1	gpx	N/A
38	23.471332	120.915723	2893	gpx	N/A
39	23.470822	120.916418	2902	gpx	N/A
40	23.470681	120.916841	2899.6	gpx	N/A
41	23.470817	120.917274	2892.9	gpx	N/A
42	23.470534	120.917722	2882.1	gpx	N/A
43	23.470603	120.918010	2816.0076621208914	comm	comm
44	23.470477	120.918075	2802.3	gpx	N/A
45	23.470805	120.918472	2864.5	gpx	N/A
46	23.471494	120.918755	2875.5	gpx	N/A
47	23.471631	120.919187	2877.6	gpx	N/A
48	23.471392	120.919502	2882.4	gpx	N/A
49	23.471284	120.919965	2885.8	gpx	N/A
50	23.471294	120.920210	2884.4	gpx	N/A
51	23.471636	120.920549	2880.4	gpx	N/A
52	23.471472	120.920637	2878.7	gpx	N/A
53	23.471457	120.920813	2875.5	gpx	N/A
54	23.472099	120.921171	2869.7	gpx	N/A
55	23.472097	120.921453	2867.3	gpx	N/A
56	23.472512	120.921716	2864.3	gpx	N/A
57	23.472350	120.921874	2863	gpx	N/A
58	23.472244	120.922390	2867.4	gpx	N/A
59	23.471504	120.922901	2885	gpx	N/A
60	23.471551	120.923194	2895.8	gpx	N/A
61	23.471749	120.923423	2902.8	gpx	N/A
62	23.471618	120.923819	2918	gpx	N/A
63	23.471742	120.924088	2927.7	gpx	N/A
64	23.471185	120.924247	2935.9	gpx	N/A
65	23.470921	120.924695	2938	gpx	N/A
66	23.468575	120.925544	2974	gpx	N/A
67	23.467854	120.926436	2956.7	gpx	N/A
68	23.467168	120.926372	2954.6	gpx	N/A
