順序	緯度	經度	海拔（約）	類型	名稱
1	23.475793	120.900170	2600	comm	start
2	23.475776	120.900379	2600	gpx	N/A
3	23.475829	120.900555	2601.1	gpx	N/A
4	23.475864	120.900730	2603.1	gpx	N/A
5	23.475979	120.900963	2606	gpx	N/A
6	23.475991	120.901176	2608.7	gpx	N/A
7	23.475960	120.901389	2610.7	gpx	N/A
8	23.476016	120.901580	2612.4	gpx	N/A
9	23.476014	120.901635	2613.3	gpx	N/A
10	23.475934	120.901851	2615.5	gpx	N/A
11	23.475815	120.902058	2617.7	gpx	N/A
12	23.475812	120.902500	2622.9	gpx	N/A
13	23.475626	120.903109	2633.1	gpx	N/A
14	23.475574	120.903203	2634.4	gpx	N/A
15	23.475437	120.903298	2635.7	gpx	N/A
16	23.475311	120.903533	2638.2	gpx	N/A
17	23.474931	120.903824	2642.7	gpx	N/A
18	23.474809	120.903967	2643.3	gpx	N/A
19	23.474707	120.904121	2644.1	gpx	N/A
20	23.474652	120.904174	2644.8	gpx	N/A
21	23.474472	120.904283	2646.1	gpx	N/A
22	23.474334	120.904504	2647.4	gpx	N/A
23	23.474221	120.904638	2648.2	gpx	N/A
24	23.474133	120.904789	2649.2	gpx	N/A
25	23.474006	120.904942	2651.3	gpx	N/A
26	23.473903	120.904987	2652.5	gpx	N/A
27	23.473721	120.905112	2654.7	gpx	N/A
28	23.473599	120.905299	2657.5	gpx	N/A
29	23.473421	120.905413	2660.8	gpx	N/A
30	23.473401	120.905463	2662.5	gpx	N/A
31	23.473426	120.905515	2664.3	gpx	N/A
32	23.473471	120.905580	2666.1	gpx	N/A
33	23.473509	120.905586	2667.7	gpx	N/A
34	23.473540	120.905574	2669.2	gpx	N/A
35	23.473624	120.905471	2670.7	gpx	N/A
36	23.473759	120.905403	2672.1	gpx	N/A
37	23.473935	120.905421	2673.3	gpx	N/A
38	23.473957	120.905445	2674.6	gpx	N/A
39	23.473957	120.905475	2675.8	gpx	N/A
40	23.473930	120.905519	2677	gpx	N/A
41	23.473872	120.905570	2678.2	gpx	N/A
42	23.473691	120.905933	2683.8	gpx	N/A
43	23.473687	120.905958	2685.3	gpx	N/A
44	23.473706	120.905974	2686.6	gpx	N/A
45	23.473885	120.905832	2688.9	gpx	N/A
46	23.473979	120.905783	2689.9	gpx	N/A
47	23.474074	120.905775	2690.6	gpx	N/A
48	23.474328	120.905705	2691.7	gpx	N/A
49	23.474385	120.905716	2692.2	gpx	N/A
50	23.474348	120.905795	2692.9	gpx	N/A
51	23.474099	120.905993	2696.5	gpx	N/A
52	23.474047	120.906076	2697.8	gpx	N/A
53	23.473901	120.906379	2702.7	gpx	N/A
54	23.473804	120.906523	2704.4	gpx	N/A
55	23.473766	120.906634	2706	gpx	N/A
56	23.473569	120.906934	2714.8	gpx	N/A
57	23.473520	120.907052	2718.9	gpx	N/A
58	23.473537	120.907138	2723.3	gpx	N/A
59	23.473491	120.907188	2727.7	gpx	N/A
60	23.473297	120.907202	2737.4	gpx	N/A
61	23.473197	120.907289	2742.7	gpx	N/A
62	23.473201	120.907366	2748.1	gpx	N/A
63	23.473184	120.907439	2753.6	gpx	N/A
64	23.473204	120.907492	2758.8	gpx	N/A
65	23.473263	120.907579	2764.1	gpx	N/A
66	23.473321	120.907633	2769.1	gpx	N/A
67	23.473333	120.907670	2774	gpx	N/A
68	23.473322	120.907763	2778.9	gpx	N/A
69	23.473290	120.907842	2783.5	gpx	N/A
70	23.473215	120.907934	2787.8	gpx	N/A
71	23.473171	120.908015	2791.9	gpx	N/A
72	23.473146	120.908110	2796	gpx	N/A
73	23.473134	120.908487	2803.3	gpx	N/A
74	23.473104	120.908652	2804.4	gpx	N/A
75	23.473042	120.908785	2805.1	gpx	N/A
76	23.472899	120.908954	2805.5	gpx	N/A
77	23.472701	120.909242	2804.2	gpx	N/A
78	23.472698	120.909303	2803.6	gpx	N/A
79	23.472739	120.909532	2802.7	gpx	N/A
80	23.472323	120.910460	2802	gpx	N/A
81	23.472287	120.910487	2802.4	gpx	N/A
82	23.472216	120.910505	2802.9	gpx	N/A
83	23.471920	120.910547	2806.2	gpx	N/A
84	23.471866	120.910568	2807.4	gpx	N/A
85	23.471799	120.910606	2808.7	gpx	N/A
86	23.471690	120.910707	2809.8	gpx	N/A
87	23.471590	120.910777	2810.8	gpx	N/A
88	23.471566	120.910797	2811.9	gpx	N/A
89	23.471543	120.910786	2813	gpx	N/A
90	23.471543	120.910786	2824	gpx	N/A
91	23.471566	120.910797	2824	gpx	N/A
92	23.471483	120.910865	2824	gpx	N/A
93	23.471442	120.910909	2824	gpx	N/A
94	23.471414	120.910982	2824	gpx	N/A
95	23.471339	120.911466	2830.3	gpx	N/A
96	23.471310	120.911583	2831.9	gpx	N/A
97	23.471271	120.911638	2833.5	gpx	N/A
98	23.471188	120.911693	2835.1	gpx	N/A
