順序	緯度	經度	海拔（約）	類型	名稱	時間
1(comm)	22.6245	120.7145	1497.5	comm	comm	2021-09-04T23:52:36+00:00
2	22.624406	120.714921	1498.0	gpx		2021-09-04T23:56:10+00:00
3	22.624693	120.715078	1498.0	gpx		2021-09-04T23:56:53+00:00
4	22.62455	120.715505	1499.2	gpx		2021-09-04T23:59:02+00:00
5	22.624323	120.715595	1500.9	gpx		2021-09-04T23:59:45+00:00
6	22.624235	120.715995	1505.6	gpx		2021-09-05T00:00:28+00:00
7	22.624406	120.716172	1508.7	gpx		2021-09-05T00:01:53+00:00
8	22.624397	120.716434	1512.8	gpx		2021-09-05T00:03:19+00:00
9	22.623824	120.717122	1533.4	gpx		2021-09-05T00:06:54+00:00
10	22.623446	120.717382	1544.8	gpx		2021-09-05T00:09:03+00:00
11	22.623467	120.71773	1552.4	gpx		2021-09-05T00:11:11+00:00
12	22.622927	120.718777	1594.8	gpx		2021-09-05T00:17:47+00:00
13	22.621794	120.71972	1604.1	gpx		2021-09-05T00:26:29+00:00
14	22.620767	120.719769	1591.7	gpx		2021-09-05T00:28:58+00:00
15	22.620363	120.719953	1579.0	gpx		2021-09-05T00:31:27+00:00
16	22.620062	120.719868	1570.2	gpx		2021-09-05T00:32:42+00:00
17	22.619715	120.720103	1561.4	gpx		2021-09-05T00:33:57+00:00
18	22.618615	120.721561	1561.7	gpx		2021-09-05T00:35:11+00:00
19	22.61813	120.721843	1561.9	gpx		2021-09-05T00:37:40+00:00
20	22.617746	120.722332	1569.0	gpx		2021-09-05T00:40:10+00:00
21	22.617414	120.723169	1591.7	gpx		2021-09-05T00:43:53+00:00
22	22.616765	120.724182	1626.1	gpx		2021-09-05T00:46:23+00:00
23	22.615768	120.724745	1636.0	gpx		2021-09-05T00:48:52+00:00
24	22.615667	120.724922	1642.3	gpx		2021-09-05T00:52:36+00:00
25	22.615142	120.724867	1653.9	gpx		2021-09-05T00:55:05+00:00
26	22.615101	120.724985	1656.4	gpx		2021-09-05T00:56:20+00:00
27	22.615294	120.725274	1663.7	gpx		2021-09-05T00:57:34+00:00
28	22.615803	120.725402	1671.9	gpx		2021-09-05T01:02:33+00:00
29	22.615998	120.725581	1673.9	gpx		2021-09-05T01:05:02+00:00
30	22.616233	120.725996	1677.2	gpx		2021-09-05T01:07:31+00:00
31	22.616233	120.726336	1679.2	gpx		2021-09-05T01:08:46+00:00
32(comm)	22.61635	120.72656	1679.2	comm	comm	2021-09-05T01:08:46+00:00
