順序	緯度	經度	海拔（約）	類型	名稱
1(comm)	22.61635	120.72656	1679.2	comm	comm
2	22.616565	120.726885	1695.9	gpx	
3	22.61655	120.72708	1706.8	gpx	
4	22.616889	120.727424	1735.9	gpx	
5	22.616964	120.727771	1752.3	gpx	
6	22.617617	120.72868	1786.5	gpx	
7	22.617977	120.730038	1772.0	gpx	
8	22.617642	120.731872	1768.2	gpx	
9	22.617168	120.732803	1770.7	gpx	
10	22.616526	120.733148	1775.5	gpx	
11	22.616358	120.733832	1781.2	gpx	
12	22.616428	120.734366	1789.0	gpx	
13	22.615731	120.735039	1810.2	gpx	
14	22.61579	120.73578	1840.2	gpx	
15	22.615669	120.73627	1864.2	gpx	
16	22.615826	120.736583	1885.9	gpx	
17	22.615669	120.736583	1890.0	gpx	
18	22.615606	120.736769	1896.8	gpx	
19	22.615652	120.737114	1905.3	gpx	
20	22.615325	120.737049	1913.3	gpx	
21	22.615239	120.737131	1918.3	gpx	
22	22.615348	120.73737	1927.6	gpx	
23	22.615177	120.73747	1933.3	gpx	
24	22.615205	120.737965	1940.7	gpx	
25	22.614807	120.738215	1947.5	gpx	
26	22.614941	120.738351	1950.8	gpx	
27	22.614652	120.738955	1987.4	gpx	
28	22.614597	120.739715	2000.3	gpx	
29	22.614665	120.740254	2008.6	gpx	
30	22.615116	120.741212	2052.7	gpx	
31(cabin)	22.615284	120.7422	2103.9	comm	cabin
