順序	緯度	經度	海拔（約）	類型	名稱	時間
1(cabin)	22.61526	120.74209	2098.2	comm	cabin	2021-09-05T03:15:09.288746459+00:00
2	22.615284	120.7422	2103.9	gpx		2021-09-05T03:15:48+00:00
3	22.615284	120.7422	2139.5	gpx		2021-09-05T22:01:44+00:00
4	22.615116	120.741212	2125.2	gpx		2021-09-05T22:06:59+00:00
5	22.614665	120.740254	2112.3	gpx		2021-09-05T22:13:58+00:00
6	22.614658	120.741309	2095.3	gpx		2021-09-05T22:19:12+00:00
7	22.614431	120.741522	2098.5	gpx		2021-09-05T22:20:57+00:00
8	22.614531	120.742248	2128.4	gpx		2021-09-05T22:24:27+00:00
9	22.61368	120.742493	2185.1	gpx		2021-09-05T22:27:56+00:00
10	22.613673	120.742893	2201.3	gpx		2021-09-05T22:31:26+00:00
11	22.613325	120.742896	2213.7	gpx		2021-09-05T22:34:56+00:00
12	22.613059	120.743093	2223.7	gpx		2021-09-05T22:36:40+00:00
13	22.613034	120.743446	2232.1	gpx		2021-09-05T22:40:10+00:00
14	22.612669	120.743643	2240.9	gpx		2021-09-05T22:45:24+00:00
15	22.61253	120.743887	2247.4	gpx		2021-09-05T22:47:09+00:00
16	22.612393	120.744282	2260.7	gpx		2021-09-05T22:48:54+00:00
17	22.612439	120.745151	2287.7	gpx		2021-09-05T22:55:53+00:00
18	22.612654	120.745494	2310.0	gpx		2021-09-05T22:59:23+00:00
19	22.612499	120.746042	2333.3	gpx		2021-09-05T23:06:22+00:00
20	22.613635	120.747171	2402.0	gpx		2021-09-05T23:15:06+00:00
21	22.614277	120.747492	2433.0	gpx		2021-09-05T23:20:21+00:00
22(comm)	22.61425	120.7478	2451.6	comm	comm	2021-09-05T23:24:56.065397987+00:00
