順序	緯度	經度	海拔（約）	類型	名稱	時間
1(start)	24.18171	121.16915	3159.0	comm	start	2025-06-25T03:08:29+00:00
2	24.199798	121.108065	3216.0	gpx		2025-06-25T03:10:27+00:00
3	24.199843	121.107942	3215.0	gpx		2025-06-25T03:11:27+00:00
4	24.200109	121.107812	3223.3	gpx		2025-06-25T03:13:25+00:00
5	24.200205	121.107842	3224.8	gpx		2025-06-25T03:14:25+00:00
6	24.200331	121.10803	3229.5	gpx		2025-06-25T03:15:24+00:00
7	24.200683	121.108181	3235.6	gpx		2025-06-25T03:18:22+00:00
8	24.201051	121.108047	3248.2	gpx		2025-06-25T03:19:21+00:00
9	24.201589	121.108051	3256.9	gpx		2025-06-25T03:22:19+00:00
10	24.201715	121.107948	3256.6	gpx		2025-06-25T03:24:17+00:00
11	24.201784	121.10808	3258.5	gpx		2025-06-25T03:25:17+00:00
12	24.202102	121.108319	3261.2	gpx		2025-06-25T03:27:15+00:00
13	24.202354	121.108702	3267.0	gpx		2025-06-25T03:29:14+00:00
14	24.202724	121.108951	3284.6	gpx		2025-06-25T03:33:11+00:00
