順序	緯度	經度	海拔（約）	類型	名稱	時間
1(comm)	24.18554	121.1477	2519.0	comm	comm	2025-06-26T01:03:22+00:00
2	24.185932	121.147732	2504.6	gpx		2025-06-26T01:04:26+00:00
3	24.186024	121.147998	2497.7	gpx		2025-06-26T01:05:29+00:00
4	24.186237	121.148135	2495.1	gpx		2025-06-26T01:06:33+00:00
5	24.186286	121.14824	2496.8	gpx		2025-06-26T01:07:36+00:00
6	24.186604	121.148362	2489.8	gpx		2025-06-26T01:08:39+00:00
7	24.18674	121.148493	2488.0	gpx		2025-06-26T01:09:43+00:00
8	24.186748	121.148708	2489.2	gpx		2025-06-26T01:10:46+00:00
9	24.18698	121.148916	2473.8	gpx		2025-06-26T01:11:49+00:00
10	24.18721	121.149521	2448.4	gpx		2025-06-26T01:12:53+00:00
11	24.187164	121.150227	2396.2	gpx		2025-06-26T01:13:56+00:00
12	24.187486	121.150916	2364.2	gpx		2025-06-26T01:14:59+00:00
13	24.18744	121.151336	2342.9	gpx		2025-06-26T01:16:03+00:00
14	24.187578	121.151521	2339.5	gpx		2025-06-26T01:17:06+00:00
15	24.187409	121.152126	2322.1	gpx		2025-06-26T01:18:10+00:00
16	24.187593	121.152361	2325.0	gpx		2025-06-26T01:19:13+00:00
17	24.187425	121.153437	2290.5	gpx		2025-06-26T01:21:20+00:00
18	24.187103	121.153757	2275.0	gpx		2025-06-26T01:22:23+00:00
19	24.187072	121.154412	2261.3	gpx		2025-06-26T01:23:26+00:00
20	24.187179	121.154698	2261.3	gpx		2025-06-26T01:24:30+00:00
21	24.18698	121.155522	2251.8	gpx		2025-06-26T01:25:33+00:00
22	24.187041	121.15616	2250.2	gpx		2025-06-26T01:26:36+00:00
23	24.186888	121.156648	2248.3	gpx		2025-06-26T01:27:40+00:00
24	24.186341	121.15724	2236.0	gpx		2025-06-26T01:29:47+00:00
25	24.18572	121.157748	2224.5	gpx		2025-06-26T01:31:53+00:00
26	24.185608	121.157883	2222.0	gpx		2025-06-26T01:32:57+00:00
27	24.18558	121.158087	2215.7	gpx		2025-06-26T01:34:00+00:00
28	24.185646	121.158245	2211.7	gpx		2025-06-26T01:35:03+00:00
29	24.185937	121.158413	2211.7	gpx		2025-06-26T01:36:07+00:00
30	24.186505	121.159522	2153.5	gpx		2025-06-26T01:38:14+00:00
31	24.186627	121.159892	2133.3	gpx		2025-06-26T01:39:17+00:00
32	24.186535	121.160194	2125.1	gpx		2025-06-26T01:40:20+00:00
33	24.186673	121.160329	2109.4	gpx		2025-06-26T01:41:24+00:00
34	24.186689	121.160598	2108.6	gpx		2025-06-26T01:42:27+00:00
35	24.186857	121.160665	2108.0	gpx		2025-06-26T01:43:30+00:00
36	24.186704	121.160951	2108.0	gpx		2025-06-26T01:44:34+00:00
37	24.186903	121.161186	2105.6	gpx		2025-06-26T01:45:37+00:00
38	24.187072	121.161085	2106.0	gpx		2025-06-26T01:46:40+00:00
39	24.187179	121.161371	2077.7	gpx		2025-06-26T01:47:44+00:00
40	24.187103	121.161623	2068.0	gpx		2025-06-26T01:48:47+00:00
41	24.186903	121.161858	2063.4	gpx		2025-06-26T01:49:51+00:00
42	24.187179	121.161808	2061.2	gpx		2025-06-26T01:50:54+00:00
43	24.187149	121.16201	2055.5	gpx		2025-06-26T01:51:57+00:00
44	24.187302	121.162026	2052.6	gpx		2025-06-26T01:53:01+00:00
45	24.187271	121.162262	2045.4	gpx		2025-06-26T01:54:04+00:00
46(comm)	24.18721	121.16254	2028.0	comm	comm	2025-06-26T01:54:54.805082725+00:00
