順序	緯度	經度	海拔（約）	類型	名稱
1(comm)	22.61635	120.72656	1778.9605337409705	comm	comm
2	22.616233	120.726336	1772.6	gpx	
3	22.616233	120.725996	1757.5	gpx	
4	22.615998	120.725581	1730.3	gpx	
5	22.615803	120.725402	1718.5	gpx	
6	22.615294	120.725274	1688.7	gpx	
7	22.615101	120.724985	1679.9	gpx	
8	22.615142	120.724867	1679.2	gpx	
9	22.615667	120.724922	1675.9	gpx	
10	22.615768	120.724745	1673.9	gpx	
11	22.616765	120.724182	1651.5	gpx	
12	22.617414	120.723169	1630.9	gpx	
13	22.617746	120.722332	1624.7	gpx	
14	22.61813	120.721843	1613.1	gpx	
15	22.618615	120.721561	1595.2	gpx	
16	22.619715	120.720103	1561.7	gpx	
17	22.620062	120.719868	1559.7	gpx	
18	22.620363	120.719953	1557.8	gpx	
19	22.620767	120.719769	1555.1	gpx	
20	22.621794	120.71972	1565.3	gpx	
21	22.622927	120.718777	1600.3	gpx	
22	22.623467	120.71773	1569.8	gpx	
23	22.623446	120.717382	1569.7	gpx	
24	22.623824	120.717122	1567.7	gpx	
25	22.624397	120.716434	1562.6	gpx	
26	22.624406	120.716172	1559.0	gpx	
27	22.624235	120.715995	1554.7	gpx	
28	22.624323	120.715595	1544.8	gpx	
29	22.62455	120.715505	1539.0	gpx	
30	22.624673	120.715292	1533.4	gpx	
31	22.624708	120.715113	1530.3	gpx	
32	22.624406	120.714921	1518.2	gpx	
33(comm)	22.6245	120.7145	1510.644883665866	comm	comm
