順序	緯度	經度	海拔（約）	類型	名稱	時間
1(comm)	22.6245	120.7145	1510.6	comm	comm	2021-09-07T00:09:56.525969826+00:00
2	22.624361	120.714203	1505.6	gpx		2021-09-07T00:11:13+00:00
3	22.624145	120.71369	1499.2	gpx		2021-09-07T00:13:07+00:00
4	22.623957	120.71354	1498.3	gpx		2021-09-07T00:14:23+00:00
5	22.623984	120.713167	1498.0	gpx		2021-09-07T00:16:17+00:00
6	22.6238	120.712741	1497.9	gpx		2021-09-07T00:18:50+00:00
7	22.624326	120.711903	1496.3	gpx		2021-09-07T00:22:00+00:00
8	22.623903	120.71113	1492.2	gpx		2021-09-07T00:24:32+00:00
9	22.624925	120.710606	1487.0	gpx		2021-09-07T00:27:43+00:00
10	22.624794	120.710199	1488.5	gpx		2021-09-07T00:30:15+00:00
11	22.624933	120.709549	1489.1	gpx		2021-09-07T00:32:09+00:00
12	22.624932	120.709112	1488.5	gpx		2021-09-07T00:32:48+00:00
13	22.624691	120.708791	1486.1	gpx		2021-09-07T00:35:20+00:00
14	22.624829	120.707695	1464.3	gpx		2021-09-07T00:41:41+00:00
15	22.624361	120.707628	1454.3	gpx		2021-09-07T00:43:35+00:00
16	22.6242	120.707074	1446.6	gpx		2021-09-07T00:46:07+00:00
17	22.623856	120.706697	1441.8	gpx		2021-09-07T00:47:24+00:00
18	22.62372	120.706189	1439.3	gpx		2021-09-07T00:48:02+00:00
19	22.622546	120.705485	1436.1	gpx		2021-09-07T00:48:40+00:00
20	22.621729	120.702874	1430.6	gpx		2021-09-07T00:52:26+00:00
21	22.621214	120.702556	1428.6	gpx		2021-09-07T00:53:22+00:00
22	22.621032	120.702676	1428.3	gpx		2021-09-07T00:54:18+00:00
23	22.620792	120.70262	1427.5	gpx		2021-09-07T00:55:14+00:00
24	22.62073	120.702303	1425.0	gpx		2021-09-07T00:56:10+00:00
25	22.620426	120.701896	1417.5	gpx		2021-09-07T00:57:06+00:00
26	22.619485	120.701458	1376.0	gpx		2021-09-07T01:00:50+00:00
27	22.619656	120.701958	1316.1	gpx		2021-09-07T01:06:10+00:00
28	22.619461	120.701734	1316.5	gpx		2021-09-07T01:08:48+00:00
29	22.618166	120.701233	1314.6	gpx		2021-09-07T01:11:26+00:00
30	22.617318	120.700609	1303.6	gpx		2021-09-07T01:12:29+00:00
31	22.616764	120.700355	1296.9	gpx		2021-09-07T01:14:04+00:00
32	22.616439	120.700561	1291.6	gpx		2021-09-07T01:16:11+00:00
33	22.61655	120.701017	1286.7	gpx		2021-09-07T01:18:17+00:00
34	22.616275	120.701188	1268.5	gpx		2021-09-07T01:20:52+00:00
35	22.616251	120.701439	1265.3	gpx		2021-09-07T01:21:19+00:00
36	22.616116	120.701584	1263.3	gpx		2021-09-07T01:21:32+00:00
37	22.61588	120.70148	1261.9	gpx		2021-09-07T01:21:58+00:00
38	22.615677	120.701779	1260.4	gpx		2021-09-07T01:22:24+00:00
39	22.615405	120.701642	1254.2	gpx		2021-09-07T01:24:22+00:00
40	22.61497	120.701848	1253.4	gpx		2021-09-07T01:27:25+00:00
41	22.615088	120.702209	1230.8	gpx		2021-09-07T01:29:36+00:00
42(start)	22.61505	120.70222	1230.8	comm	start	2021-09-07T01:29:36+00:00
