順序	緯度	經度	海拔（約）	類型	名稱	時間
1(comm)	24.18721	121.16254	2028.0	comm	comm	2025-06-26T01:54:54.805082725+00:00
2	24.187379	121.162598	2023.8	gpx		2025-06-26T01:55:07+00:00
3	24.187118	121.162816	2030.6	gpx		2025-06-26T01:56:11+00:00
4	24.186903	121.162716	2030.6	gpx		2025-06-26T01:57:14+00:00
5	24.186535	121.162901	2030.9	gpx		2025-06-26T01:58:18+00:00
6	24.186213	121.163354	2001.7	gpx		2025-06-26T01:59:21+00:00
7	24.185876	121.16364	2000.6	gpx		2025-06-26T02:00:24+00:00
8	24.185735	121.164182	1980.0	gpx		2025-06-26T02:01:28+00:00
9	24.185806	121.164367	1974.5	gpx		2025-06-26T02:03:34+00:00
10	24.18565	121.164768	1971.8	gpx		2025-06-26T02:06:44+00:00
11	24.185369	121.165047	1971.2	gpx		2025-06-26T02:08:51+00:00
12	24.184876	121.165259	1976.8	gpx		2025-06-26T02:10:58+00:00
13	24.184543	121.165575	1986.1	gpx		2025-06-26T02:14:08+00:00
14	24.184224	121.165709	1994.7	gpx		2025-06-26T02:15:11+00:00
15	24.18384	121.166308	1997.0	gpx		2025-06-26T02:18:22+00:00
16	24.183522	121.166597	1995.4	gpx		2025-06-26T02:20:28+00:00
17	24.183231	121.166994	1993.1	gpx		2025-06-26T02:22:35+00:00
18	24.18274	121.167396	1987.8	gpx		2025-06-26T02:23:38+00:00
19	24.182563	121.167622	1986.3	gpx		2025-06-26T02:24:42+00:00
20	24.182169	121.167907	1983.7	gpx		2025-06-26T02:26:48+00:00
21	24.182082	121.168694	1979.2	gpx		2025-06-26T02:31:02+00:00
22(start)	24.18171	121.16915	1976.1	comm	start	2025-06-26T02:34:01.039537941+00:00
